Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played
Shamsur Rahman,3.75,0.25,30.125,79.8013245033,8
BJ Hodge,3.27272727273,0.181818181818,30.5454545455,86.1538461538,11
DJ Willey,0.666666666667,0,7.5,107.142857143,6
HM Amla,5.16513761468,0.412844036697,48.8348623853,86.991338454,109
AR McBrine,1.0,0,11.5,93.8775510204,4
B Kumar,0.740740740741,0,7.2962962963,73.2342007435,27
GJ Bailey,3.4,0.327272727273,36.7818181818,84.5382365232,55
PJ Ingram,4.66666666667,0.166666666667,29.8333333333,83.2558139535,6
JP Bray,2.7,0.1,23.4,63.0727762803,10
R Dravid,2.875,0.275,30.125,73.8357843137,40
RP Singh,0.384615384615,0,6.15384615385,41.2371134021,13
SHT Kandamby,2.2962962963,0.185185185185,27.7777777778,70.5550329257,27
SB Styris,3.08695652174,0.260869565217,32.3260869565,79.9032778076,46
PJK Mooney,0.5,0,4.5,112.5,2
Raqibul Hasan,1.79545454545,0.113636363636,22.7727272727,58.733880422,44
RN Lewis,1.66666666667,0,19.5,119.387755102,6
Mohammad Salman,0.666666666667,0,7.33333333333,55.0,3
JM Kemp,2.42105263158,0.157894736842,24.3684210526,67.198838897,19
WTS Porterfield,2.66666666667,0.151515151515,25.5151515152,56.9303583502,33
Yuvraj Singh,4.26363636364,0.272727272727,33.8090909091,84.1593120616,110
SW Billings,3.0,0,22.5,128.571428571,4
Tushar Imran,1.0,0,6.75,32.1428571429,4
DS Smith,2.66666666667,0.151515151515,24.0909090909,71.4285714286,33
SW Masakadza,2.6,0,18.6,101.086956522,5
J Louw,4.0,0,17.0,242.857142857,1
MS Dhoni,3.43930635838,0.28323699422,36.1907514451,85.6263676149,173
AC Voges,2.0,0.0909090909091,27.8181818182,83.2653061224,22
AJ Strauss,4.02941176471,0.279411764706,34.9117647059,79.3714476764,68
GO Jones,1.4,0,14.0,109.375,5
A Shahzad,0.285714285714,0,4.28571428571,78.9473684211,7
S Prasanna,1.23529411765,0,9.41176470588,79.2079207921,17
SCJ Broad,0.789473684211,0,8.59649122807,74.6951219512,57
Danish Kaneria,1.0,0,2.0,50.0,1
Saad Nasim,3.33333333333,0.333333333333,33.0,79.2,3
NJ O'Brien,2.5625,0.15625,25.25,69.9567099567,32
HMRKB Herath,0.545454545455,0,5.72727272727,61.4634146341,22
A Balbirnie,3.0,0.222222222222,28.7777777778,81.1912225705,9
BA Parchment,2.33333333333,0,17.8333333333,54.0404040404,6
Mohammad Yousuf,3.18367346939,0.265306122449,34.5102040816,73.266897747,49
Z Khan,1.0,0,8.51428571429,62.4737945493,35
SE Bond,0.5,0,7.5625,77.5641025641,16
Shahadat Hossain,0.375,0,3.5625,50.4424778761,16
SR Thompson,1.16666666667,0,12.0,88.8888888889,6
ML Nkala,2.0,0,14.0,73.6842105263,1
Sharjeel Khan,2.6,0.1,16.9,81.25,10
AD Russell,3.33333333333,0.0769230769231,23.0769230769,129.496402878,39
DT Tiripano,0.666666666667,0,5.66666666667,62.962962963,3
Babar Azam,4.14285714286,0.428571428571,37.0,86.6220735786,7
SW Tait,0.666666666667,0,4.16666666667,86.2068965517,6
R Ashwin,1.02,0.02,10.94,81.2778603269,50
DT Christian,1.1875,0,14.3125,87.7394636015,16
PR Stirling,3.54545454545,0.181818181818,24.8636363636,88.2258064516,22
CL White,2.53333333333,0.166666666667,27.8666666667,79.1292001893,60
KM Jadhav,5.66666666667,0.333333333333,43.0,102.380952381,3
YK Pathan,2.72222222222,0.138888888889,21.3333333333,111.465892598,36
Imran Nazir,5.08333333333,0.166666666667,31.5,101.340482574,12
Imran Farhat,2.81481481481,0.222222222222,24.9259259259,61.5736505032,27
CMW Read,1.0,0,10.0,80.0,6
AM Rahane,3.69090909091,0.272727272727,33.4545454545,78.3645655877,55
F Mutizwa,1.0,0.111111111111,16.1111111111,57.3122529644,9
AU Rashid,2.64285714286,0.0714285714286,18.2142857143,109.913793103,14
Khalid Latif,2.6,0.2,29.4,63.0901287554,5
Mashrafe Mortaza,1.20634920635,0,11.0793650794,73.4736842105,63
CD McMillan,4.33333333333,0.25,34.6666666667,88.5106382979,12
MJ Henry,1.33333333333,0,9.55555555556,103.614457831,9
GB Brent,0.733333333333,0.0666666666667,10.8666666667,61.2781954887,15
MA Wood,1.0,0,8.33333333333,86.2068965517,3
M Vijay,2.2,0,17.8,63.5714285714,15
DP Hyatt,1.75,0,13.875,60.3260869565,8
PM Siddle,0.25,0,4.25,94.4444444444,4
MD Gunathilaka,3.75,0.25,25.0,86.9565217391,4
Sohail Tanvir,1.27586206897,0,9.51724137931,85.1851851852,29
JL Denly,3.55555555556,0.222222222222,29.3333333333,63.1578947368,9
AP Devcich,3.28571428571,0.142857142857,22.5714285714,81.4432989691,7
DI Joyce,1.0,0,5.5,45.8333333333,2
V Sibanda,3.06896551724,0.172413793103,23.775862069,64.109716411,58
Aftab Ahmed,2.34375,0.0625,18.1875,72.3880597015,32
SG Borthwick,1.0,0,9.0,112.5,2
C Kieswetter,3.59375,0.125,26.90625,88.7628865979,32
