Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,ME Trescothick,106,44,62,114,163,3,28,0,8,31,39,80,150,230,0,301,28,0,9,6.625,0.375,49.5,87.4172,8,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,61,12,49,92,163,3,28,0,8,31,39,80,150,230,0,301,28,0,9,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,0,0,0,0,163,3,28,0,8,31,39,80,150,230,0,301,28,0,9,1.41667,0.0833333,19,73.7864,24,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,AR White,30,16,14,36,134,6,21,0,18,20,38,82,111,193,302,263,32,1,9,1.17647,0,14.1765,59.9502,17,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,KJ O'Brien,22,4,18,40,134,6,21,0,18,20,38,82,111,193,302,263,32,1,9,2.64706,0.0588235,22.3824,79.4363,34,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,D Langford-Smith,0,0,0,0,134,6,21,0,18,20,38,82,111,193,302,263,32,1,9,0.888889,0,8.66667,92.8571,9,0
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,JF Mooney,0,0,0,0,134,6,21,0,18,20,38,82,111,193,302,263,32,1,9,1.47619,0,13.7619,72.796,21,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,44,12,32,67,162,4,30,0,8,24,32,92,132,224,0,271,6,1,9,1.41667,0.0833333,19,73.7864,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,PD Collingwood,36,16,20,39,162,4,30,0,8,24,32,92,132,224,0,271,6,1,9,2.62366,0.193548,30.5161,76.8065,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,R Clarke,0,0,0,0,162,4,30,0,8,24,32,92,132,224,0,271,6,1,9,1.5,0,19.5,81.25,2,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,CMW Read,0,0,0,0,162,4,30,0,8,24,32,92,132,224,0,271,6,1,9,1,0,10,80,6,1
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Inzamam-ul-Haq,18,14,4,10,172,2,28,2,6,21,27,112,115,227,272,274,18,0,9,3.16667,0,26.9167,70.989,12,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Shahid Afridi,0,0,0,1,172,2,28,2,6,21,27,112,115,227,272,274,18,0,9,2.72917,0.0972222,21.4097,127.766,144,0
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Abdul Razzaq,0,0,0,0,172,2,28,2,6,21,27,112,115,227,272,274,18,0,9,2.225,0.075,20.475,82.0641,40,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Abdul Razzaq,18,4,14,34,119,6,16,1,10,10,20,64,91,155,0,235,10,0,9,2.225,0.075,20.475,82.0641,40,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Shoaib Akhtar,0,0,0,5,119,6,16,1,10,10,20,64,91,155,0,235,10,0,9,0.421053,0,3.21053,67.033,19,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,74,36,38,100,159,2,26,0,12,11,23,108,100,208,236,237,19,1,9,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,KP Pietersen,20,12,8,23,159,2,26,0,12,11,23,108,100,208,236,237,19,1,9,3.69892,0.236559,33.4946,82.2117,93,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Younis Khan,37,12,25,70,87,7,15,1,4,9,13,34,81,115,0,154,22,0,9,2.64655,0.215517,28.5,73.2713,116,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Iftikhar Anjum,0,0,0,2,87,7,15,1,4,9,13,34,81,115,0,154,22,0,9,0.666667,0,7.33333,58.7786,21,3
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,WPUJC Vaas,0,0,0,0,156,4,18,2,0,17,17,74,117,191,0,257,34,0,9,0.653846,0,8.65385,66.1765,26,1
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,WU Tharanga,102,52,50,137,156,4,18,2,0,17,17,74,117,191,0,257,34,0,9,3.93985,0.263158,32.9699,71.6035,133,4
