Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,37,12,25,60,123,4,15,1,4,26,30,58,110,168,258,237,8,1,8,1.41667,0.0833333,19,73.7864,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,TT Bresnan,0,0,0,0,123,4,15,1,4,26,30,58,110,168,258,237,8,1,8,1.52381,0.015873,13.8095,88.4146,63,0
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,KC Sangakkara,3,0,3,4,167,1,16,1,18,17,35,108,110,218,0,319,24,0,8,4.33659,0.360976,41.9854,80.6276,205,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,ST Jayasuriya,97,56,41,121,167,1,16,1,18,17,35,108,110,218,0,319,24,0,8,4.91549,0.211268,33.9859,98.4898,71,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,PD Collingwood,36,4,32,46,163,3,18,1,4,28,32,88,125,213,320,273,9,1,8,2.62366,0.193548,30.5161,76.8065,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,5,0,5,9,163,3,18,1,4,28,32,88,125,213,320,273,9,1,8,1.41667,0.0833333,19,73.7864,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,GO Jones,0,0,0,0,163,3,18,1,4,28,32,88,125,213,320,273,9,1,8,1.5,0,15.5,110.714,6,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,3,0,3,7,120,3,19,1,8,15,23,60,102,162,0,261,10,1,8,1.41667,0.0833333,19,73.7864,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,29,0,29,68,120,3,19,1,8,15,23,60,102,162,0,261,10,1,8,3.63433,0.246269,35.3806,75.6623,134,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,KC Sangakkara,26,0,26,51,169,2,24,0,24,16,40,138,95,233,262,265,15,0,8,4.33659,0.360976,41.9854,80.6276,205,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,DPMD Jayawardene,103,64,39,110,169,2,24,0,24,16,40,138,95,233,262,265,15,0,8,3.20833,0.244792,31.6979,79.1109,192,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,DPMD Jayawardene,91,28,63,84,159,3,27,1,8,14,22,72,136,208,0,318,24,0,8,3.20833,0.244792,31.6979,79.1109,192,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,RP Arnold,7,0,7,7,159,3,27,1,8,14,22,72,136,208,0,318,24,0,8,1.14286,0.142857,16.4286,73.2484,14,1
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,MF Maharoof,0,0,0,0,159,3,27,1,8,14,22,72,136,208,0,318,24,0,8,1.38889,0.0277778,14.3611,81.2893,36,1
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,WPUJC Vaas,0,0,0,0,159,3,27,1,8,14,22,72,136,208,0,318,24,0,8,0.653846,0,8.65385,66.1765,26,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,GO Jones,1,0,1,1,161,4,15,1,14,21,35,104,107,211,319,285,5,1,8,1.5,0,15.5,110.714,6,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,7,0,7,22,161,4,15,1,14,21,35,104,107,211,319,285,5,1,8,1.41667,0.0833333,19,73.7864,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,AJ Strauss,21,4,17,26,157,2,36,0,8,19,27,102,118,220,0,321,20,1,8,3.93243,0.27027,33.9054,79.8028,74,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,ME Trescothick,113,70,43,110,157,2,36,0,8,19,27,102,118,220,0,321,20,1,8,6.625,0.375,49.5,87.4172,8,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,VS Solanki,0,0,0,0,157,2,36,0,8,19,27,102,118,220,0,321,20,1,8,2,0,27,101.887,2,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,0,0,0,0,157,2,36,0,8,19,27,102,118,220,0,321,20,1,8,1.41667,0.0833333,19,73.7864,24,1
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,KC Sangakkara,4,0,4,7,253,0,17,2,20,6,26,186,110,296,322,324,28,0,8,4.33659,0.360976,41.9854,80.6276,205,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,DPMD Jayawardene,5,0,5,11,253,0,17,2,20,6,26,186,110,296,322,324,28,0,8,3.20833,0.244792,31.6979,79.1109,192,4
