Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Matches Played
PD Collingwood,2.65625,0.197916666667,96
CH Morris,1.83333333333,0.166666666667,6
Asad Shafiq,2.09433962264,0.169811320755,53
Bazid Khan,1.5,0.5,2
PJ Forrest,2.71428571429,0.285714285714,14
Mirwais Ashraf,0.888888888889,0,18
Liton Das,1.0,0,6
AJ Hall,1.4,0.1,10
Sikandar Raza,3.16326530612,0.142857142857,49
RJ Sidebottom,0.6875,0,16
AC Gilchrist,4.52380952381,0.285714285714,42
M Morkel,0.702702702703,0,37
ST Jayasuriya,4.78666666667,0.2,75
CJ Chibhabha,2.48648648649,0.162162162162,74
Tamim Iqbal,4.00735294118,0.272058823529,136
MJ Lumb,5.0,0.333333333333,3
JM How,3.34615384615,0.192307692308,26
Gulbodin Naib,1.75,0,4
N Madziva,0.6,0,10
D Wiese,2.0,0,6
AC Evans,1.5,0,6
Aizaz Cheema,0.333333333333,0,6
Mohammad Tauqir,0.571428571429,0,7
DR Martyn,5.71428571429,0.428571428571,7
Raees Ahmadzai,5.0,0,1
Sohaib Maqsood,2.96,0.2,25
ADS Fletcher,1.8125,0.125,16
G Chapple,2.0,0,1
LE Bosman,3.83333333333,0.166666666667,12
JWA Taylor,3.11538461538,0.307692307692,26
DCC Borden,0.5,0,4
HMCM Bandara,1.0,0,7
Karim Sadiq,2.88888888889,0.111111111111,9
Naeem Islam,1.89130434783,0.108695652174,46
LMP Simmons,3.3125,0.28125,64
DM Richards,3.42857142857,0.285714285714,7
Soumya Sarkar,6.6875,0.3125,16
A Codrington,1.0,0,1
Mohammad Iqbal,3.0,0,2
EC Joyce,3.375,0.25,48
Mushfiqur Rahim,2.6641221374,0.190839694656,131
Mohammad Ashraful,2.35714285714,0.130952380952,84
Sohag Gazi,1.375,0,16
AR Cusack,1.04166666667,0,24
TS Chisoro,0.4,0,5
Farhad Reza,1.6,0,25
NR Kumar,1.5,0,10
TD Paine,3.39130434783,0.217391304348,23
PJ Moor,2.42857142857,0.285714285714,7
