Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Matches Played,ClusterID
SM Pollock,2.34375,0.125,32,2
PD Collingwood,2.65625,0.197916666667,96,2
CH Morris,1.83333333333,0.166666666667,6,2
Asad Shafiq,2.09433962264,0.169811320755,53,2
Bazid Khan,1.5,0.5,2,0
PJ Forrest,2.71428571429,0.285714285714,14,2
Mirwais Ashraf,0.888888888889,0.0,18,0
Liton Das,1.0,0.0,6,0
AJ Hall,1.4,0.1,10,0
Sikandar Raza,3.16326530612,0.142857142857,49,1
RJ Sidebottom,0.6875,0.0,16,4
AC Gilchrist,4.52380952381,0.285714285714,42,3
M Morkel,0.702702702703,0.0,37,4
ST Jayasuriya,4.78666666667,0.2,75,3
CJ Chibhabha,2.48648648649,0.162162162162,74,2
Tamim Iqbal,4.00735294118,0.272058823529,136,1
MJ Lumb,5.0,0.333333333333,3,3
JM How,3.34615384615,0.192307692308,26,1
Gulbodin Naib,1.75,0.0,4,0
N Madziva,0.6,0.0,10,4
D Wiese,2.0,0.0,6,2
AC Evans,1.5,0.0,6,0
Aizaz Cheema,0.333333333333,0.0,6,4
Mohammad Tauqir,0.571428571429,0.0,7,4
DR Martyn,5.71428571429,0.428571428571,7,3
Raees Ahmadzai,5.0,0.0,1,3
Sohaib Maqsood,2.96,0.2,25,1
ADS Fletcher,1.8125,0.125,16,2
G Chapple,2.0,0.0,1,2
LE Bosman,3.83333333333,0.166666666667,12,1
JWA Taylor,3.11538461538,0.307692307692,26,1
DCC Borden,0.5,0.0,4,4
HMCM Bandara,1.0,0.0,7,0
Karim Sadiq,2.88888888889,0.111111111111,9,1
Naeem Islam,1.89130434783,0.108695652174,46,2
LMP Simmons,3.3125,0.28125,64,1
DM Richards,3.42857142857,0.285714285714,7,1
Soumya Sarkar,6.6875,0.3125,16,3
A Codrington,1.0,0.0,1,0
Mohammad Iqbal,3.0,0.0,2,1
EC Joyce,3.375,0.25,48,1
Mushfiqur Rahim,2.6641221374,0.190839694656,131,2
Mohammad Ashraful,2.35714285714,0.130952380952,84,2
Sohag Gazi,1.375,0.0,16,0
AR Cusack,1.04166666667,0.0,24,0
TS Chisoro,0.4,0.0,5,4
Farhad Reza,1.6,0.0,25,0
NR Kumar,1.5,0.0,10,0
TD Paine,3.39130434783,0.217391304348,23,1
PJ Moor,2.42857142857,0.285714285714,7,2
IS Billcliff,1.75,0.25,4,0
Jahurul Islam,2.18181818182,0.0909090909091,11,2
KA Pollard,2.78481012658,0.126582278481,79,2
SM Davies,4.5,0.125,8,3
CT Mutombodzi,1.16666666667,0.0,6,0
Usman Limbada,3.25,0.25,4,1
SR Watson,4.73134328358,0.283582089552,134,3
NLTC Perera,1.67088607595,0.0632911392405,79,0
Gurkeerat Singh,1.0,0.0,2,0
SO Ngoche,0.6,0.0,5,4
R McLaren,1.2,0.025,40,0
KJ Abbott,0.6,0.0,10,4
VR Aaron,0.333333333333,0.0,3,4
JC Buttler,3.44262295082,0.180327868852,61,1
KM Dabengwa,1.2380952381,0.0,21,0
Arshad Ali,2.5,0.0,2,2
GC Smith,4.07766990291,0.300970873786,103,1
A Symonds,3.44186046512,0.302325581395,43,1
AJ Redmond,3.16666666667,0.166666666667,6,1
Inzamam-ul-Haq,3.16666666667,0.0,12,1
MM Sharma,0.625,0.0,8,4
