Batsman,Total Runs Scored,Home Runs,Milestones Reached, avg Balls Faced
JA Morkel,173,19.0,0,9.0
HH Gibbs,63,4.0,0,11.0
T Thushara,99,10.0,0,8.0
V Sehwag,57,6.0,0,14.0
KA Edwards,36,7.0,0,17.0
SC Williams,221,23.0,0,10.0
DE Bernard,19,1.0,0,9.0
WK McCallan,28,4.0,0,8.0
LE Plunkett,72,8.0,0,9.0
Gulbodin Naib,12,2.0,0,11.0
Nasir Aziz,7,1.0,0,7.0
Shaiman Anwar,64,9.0,0,14.0
MJ Guptill,147,17.0,0,12.0
Najibullah Zadran,19,2.0,0,9.0
GB Hogg,46,2.0,0,13.0
Usman Limbada,19,2.0,0,13.0
WD Balaji Rao,16,1.0,0,7.0
CK Kapugedera,168,16.0,0,8.0
N Deonarine,55,6.0,0,13.0
CR Brathwaite,8,1.0,0,8.0
MC Sorensen,33,4.0,0,10.0
NW Bracken,12,1.0,0,5.0
DLS van Bunge,5,1.0,0,10.0
SR Patel,100,10.0,0,10.0
M Kartik,22,3.0,0,12.0
Rubel Hossain,24,3.0,0,5.0
Ziaur Rahman,61,10.0,0,7.0
CK Coventry,77,10.0,0,9.0
D Mongia,14,1.0,0,9.0
MJ Santner,67,8.0,0,9.0
CR Ervine,180,22.0,0,11.0
XM Marshall,23,4.0,0,14.0
IR Bell,200,17.0,0,11.0
A Symonds,257,33.0,0,11.0
J Nyumbu,14,2.0,0,9.0
Umar Gul,140,15.0,0,8.0
HDRL Thirimanne,184,11.0,0,9.0
Abdur Rehman,36,1.0,0,7.0
H Masakadza,56,5.0,0,10.0
Fayyaz Ahmed,7,1.0,0,16.0
B Lee,132,17.0,1.0,9.0
JR Hazlewood,5,1.0,0,5.0
R Mutumbami,21,3.0,0,8.0
PP Ojha,10,1.0,0,8.0
JH Kallis,155,10.0,0,12.0
MM Patel,24,3.0,0,7.0
DE Bollinger,25,3.0,0,8.0
LRPL Taylor,486,53.0,0,10.0
CH Gayle,97,15.0,1.0,9.0
DR Lockhart,12,1.0,0,14.0
PC de Silva,20,2.0,0,6.0
NM Hauritz,60,5.0,0,8.0
MDKJ Perera,0,1.0,0,3.0
SP Narine,65,6.0,0,9.0
SJ Benn,16,2.0,0,7.0
IJL Trott,153,8.0,0,10.0
PD McGlashan,25,3.0,0,20.0
Mohammad Salman,5,2.0,0,4.0
CJ Anderson,144,18.0,0,8.0
Mahbubul Alam,34,3.0,0,13.0
L Balaji,7,1.0,0,9.0
AS Hansra,9,2.0,0,2.0
PG Fulton,30,4.0,0,8.0
ST Finn,48,6.0,0,6.0
JH Davey,36,5.0,0,12.0
SL Malinga,81,10.0,0,6.0
LM Jongwe,57,8.0,0,6.0
Abdur Razzak,118,13.0,0,5.0
Mahmudullah,507,40.0,0,11.0
DJG Sammy,291,35.0,0,7.0
JR Hopes,321,32.0,0,10.0
T Maruma,15,2.0,0,10.0
E Chigumbura,553,58.0,0,10.0
KP Pietersen,233,26.0,0,14.0
Yasir Arafat,15,2.0,0,11.0
Rashid Khan,15,1.0,0,9.0
DL Vettori,180,22.0,0,7.0
Samiullah Shenwari,117,15.0,0,10.0
HJH Marshall,11,1.0,0,14.0
MT Chinouya,6,1.0,0,4.0
JDS Neesham,36,5.0,0,7.0
RA Jadeja,475,45.0,0,11.0
Sami Faridi,14,1.0,0,20.0
LD Chandimal,198,14.0,0,10.0
BMAJ Mendis,204,20.0,0,11.0
SMA Priyanjan,117,16.0,0,11.0
JP Duminy,640,49.0,0,11.0
NO Miller,69,4.0,0,9.0
RJ Trott,22,1.0,0,9.0
DJ Hussey,331,30.0,0,11.0
MG Johnson,205,19.0,0,8.0
Zulqarnain Haider,28,2.0,0,11.0
SM Pollock,143,11.0,0,9.0
PD Collingwood,294,24.0,0,10.0
CH Morris,31,3.0,0,20.0
Asad Shafiq,19,1.0,0,7.0
Bazid Khan,14,2.0,0,14.0
PJ Forrest,32,3.0,0,9.0
Aftab Alam,6,1.0,0,4.0
AJ Hall,28,3.0,0,6.0
Sikandar Raza,173,16.0,0,12.0
RJ Sidebottom,31,4.0,0,8.0
AC Gilchrist,24,2.0,0,9.0
M Morkel,63,10.0,0,6.0
ST Jayasuriya,11,2.0,0,5.0
CJ Chibhabha,15,1.0,0,5.0
Tamim Iqbal,46,5.0,0,8.0
JM How,37,4.0,0,17.0
N Madziva,16,1.0,0,7.0
D Wiese,18,2.0,0,8.0
AC Evans,24,3.0,0,9.0
Mirwais Ashraf,42,2.0,0,9.0
DR Martyn,19,4.0,0,19.0
Raees Ahmadzai,25,4.0,0,14.0
Sohaib Maqsood,72,8.0,0,8.0
JW Hastings,34,4.0,0,15.0
JWA Taylor,60,5.0,0,10.0
LMP Simmons,172,24.0,0,12.0
EC Joyce,53,4.0,0,13.0
Mushfiqur Rahim,454,46.0,0,10.0
Mohammad Ashraful,96,11.0,0,13.0
Sohag Gazi,53,6.0,0,8.0
AR Cusack,19,1.0,0,6.0
Farhad Reza,30,2.0,0,7.0
TD Paine,19,3.0,0,6.0
KA Pollard,315,37.0,0,10.0
MJ Henry,10,2.0,0,6.0
SR Watson,179,19.0,0,11.0
NLTC Perera,310,27.0,0,7.0
R McLaren,90,10.0,0,7.0
KJ Abbott,18,1.0,0,10.0
JC Buttler,379,45.0,0,11.0
KM Dabengwa,75,7.0,0,8.0
GC Smith,61,10.0,0,10.0
RV Uthappa,83,10.0,0,10.0
Inzamam-ul-Haq,40,4.0,0,13.0
MEK Hussey,702,47.0,0,10.0
MM Ali,61,7.0,0,9.0
AM Phangiso,19,1.0,0,7.0
JDP Oram,304,34.0,0,10.0
MJ McClenaghan,32,5.0,0,6.0
Asghar Stanikzai,52,5.0,0,11.0
DJ Bravo,377,37.0,0,11.0
BJ Hodge,108,12.0,0,13.0
DJ Willey,16,1.0,0,13.0
HM Amla,248,27.0,0,11.0
B Kumar,66,8.0,0,8.0
GJ Bailey,291,29.0,0,10.0
JP Bray,7,1.0,0,8.0
SE Marsh,83,11.0,0,14.0
R Dravid,95,9.0,0,7.0
PL Mommsen,69,9.0,0,12.0
RP Singh,22,1.0,0,8.0
SHT Kandamby,120,9.0,0,12.0
SB Styris,192,19.0,0,10.0
N Mushangwe,7,1.0,0,4.0
Raqibul Hasan,87,11.0,0,12.0
RN Lewis,38,3.0,0,9.0
JM Kemp,135,16.0,0,11.0
WTS Porterfield,36,4.0,0,9.0
Yuvraj Singh,436,55.0,0,11.0
Mohammad Nabi,88,11.0,0,11.0
SW Billings,8,3.0,0,6.0
SW Masakadza,22,3.0,0,11.0
MS Dhoni,1192,120.0,0,11.0
AC Voges,130,12.0,0,9.0
AJ Strauss,75,7.0,0,13.0
GO Jones,9,1.0,0,5.0
S Prasanna,65,8.0,0,9.0
SCJ Broad,137,14.0,0,8.0
Saad Nasim,31,3.0,0,15.0
Afsar Zazai,20,2.0,0,10.0
NJ O'Brien,93,9.0,0,10.0
HMRKB Herath,37,3.0,0,8.0
A Balbirnie,34,6.0,0,11.0
Mohammad Yousuf,255,29.0,0,14.0
Z Khan,67,11.0,0,8.0
SE Bond,50,5.0,0,8.0
Ahmed Shehzad,32,2.0,0,15.0
SR Thompson,25,2.0,0,8.0
BP Loots,6,1.0,0,7.0
ML Nkala,13,2.0,0,17.0
AD Russell,137,17.0,0,7.0
DT Tiripano,9,1.0,0,8.0
Babar Azam,19,3.0,0,13.0
ADS Fletcher,0,1.0,0,6.0
BP Kruger,5,1.0,0,5.0
R Ashwin,118,9.0,0,6.0
TT Bresnan,239,22.0,0,9.0
CL White,304,30.0,0,9.0
YK Pathan,165,21.0,0,10.0
Imran Nazir,19,3.0,0,12.0
Imran Farhat,23,3.0,0,11.0
TWM Latham,18,1.0,0,8.0
AM Rahane,76,6.0,0,12.0
F Mutizwa,45,7.0,0,8.0
AU Rashid,65,8.0,0,7.0
Gulbadin Naib,49,5.0,0,8.0
KM Jadhav,21,1.0,0,17.0
Amjad Javed,17,2.0,0,5.0
Mashrafe Mortaza,168,19.0,0,8.0
CD McMillan,88,12.0,0,10.0
GB Brent,45,3.0,0,8.0
MA Wood,11,1.0,0,7.0
SC Ganguly,21,3.0,0,10.0
Sohail Tanvir,100,13.0,0,8.0
Mohammad Naveed,27,3.0,0,7.0
NFI McCallum,14,2.0,0,12.0
Aftab Ahmed,11,1.0,0,8.0
SG Borthwick,13,1.0,0,5.0
C Kieswetter,64,5.0,0,12.0
Abdul Razzaq,191,19.0,0,8.0
FRJ Coleman,16,2.0,0,12.0
DR Tuffey,64,7.0,0,10.0
Mohammad Irfan,9,1.0,0,4.0
Alok Kapali,54,6.0,0,8.0
DM Bravo,157,17.0,0,11.0
GD Elliott,265,25.0,0,11.0
Mohammad Hafeez,177,19.0,0,12.0
Khurram Khan,51,8.0,0,16.0
S Matsikenyeri,151,14.0,0,11.0
D Ramdin,214,21.0,0,8.0
CS Baugh,97,8.0,0,9.0
RP Arnold,31,1.0,0,9.0
S Dhawan,29,3.0,0,12.0
RMS Eranga,4,1.0,0,9.0
JM Bairstow,30,4.0,0,10.0
TG Southee,97,11.0,0,7.0
RD Steede,8,2.0,0,10.0
BRM Taylor,197,17.0,0,10.0
CA Ingram,43,3.0,0,11.0
TM Dowlin,35,5.0,0,16.0
MV Boucher,318,34.0,1.0,10.0
PJ Ongondo,13,1.0,0,4.0
Saqib Ali,6,1.0,0,10.0
AD Mathews,818,71.0,0,11.0
A Mithun,32,4.0,0,12.0
NT Broom,45,8.0,0,7.0
Junaid Khan,20,1.0,0,5.0
KJ Coetzer,32,4.0,0,21.0
Mominul Haque,34,3.0,0,11.0
T Duffin,19,3.0,0,14.0
GC Wilson,112,12.0,0,9.0
Iftikhar Anjum,24,1.0,0,10.0
Bilawal Bhatti,52,8.0,0,7.0
IK Pathan,135,13.0,0,10.0
D Bishoo,10,2.0,0,4.0
SI Mahmood,6,1.0,0,2.0
TA Boult,12,2.0,0,10.0
Mehrab Hossain jnr,5,1.0,0,5.0
Saeed Ajmal,91,8.0,0,6.0
RW Chakabva,40,2.0,0,9.0
Mohammad Rafique,31,4.0,0,14.0
S Chanderpaul,223,20.0,0,11.0
AF Buurman,18,3.0,0,15.0
DA Warner,25,1.0,0,13.0
FL Reifer,7,1.0,0,9.0
J Mubarak,35,3.0,0,7.0
TAM Siriwardana,45,7.0,0,8.0
EJG Morgan,471,54.0,0,10.0
SP Patil,28,3.0,0,15.0
WF Stelling,8,2.0,0,7.0
KC Sangakkara,561,69.0,0,11.0
AT Rayudu,93,10.0,0,8.0
SR Tendulkar,195,22.0,0,13.0
RK Kleinveldt,24,3.0,0,9.0
AD Mascarenhas,42,6.0,0,5.0
GM Hamilton,22,1.0,0,11.0
L Vincent,9,1.0,0,5.0
T Mupariwa,6,1.0,0,5.0
T Panyangara,38,4.0,0,8.0
Younis Khan,135,9.0,0,9.0
Wahab Riaz,193,21.0,0,9.0
MN van Wyk,14,1.0,0,6.0
WW Hinds,26,3.0,0,13.0
F du Plessis,232,27.0,0,9.0
WU Tharanga,177,21.0,0,10.0
Imran Tahir,14,1.0,0,4.0
AN Petersen,48,5.0,0,9.0
V Permaul,11,1.0,0,10.0
NL McCullum,266,28.0,0,10.0
DL Hemp,20,2.0,0,11.0
A Flintoff,106,10.0,0,14.0
G Gambhir,81,12.0,0,9.0
DT Johnston,88,6.0,0,9.0
Sarfraz Ahmed,162,14.0,0,10.0
HM Nicholls,12,1.0,0,9.0
Anwar Ali,70,6.0,0,10.0
Imad Wasim,18,1.0,0,19.0
CR Woakes,102,5.0,0,9.0
Naeem Islam,111,10.0,0,8.0
Anamul Haque,19,2.0,0,15.0
Zahid Shah,4,1.0,0,8.0
RS Morton,90,7.0,0,12.0
FH Edwards,1,1.0,0,4.0
M Muralitharan,39,5.0,0,5.0
GS Ballance,16,2.0,0,12.0
R Dhawan,9,1.0,0,8.0
AF Milne,63,6.0,0,8.0
Sabbir Rahman,102,13.0,0,9.0
AB Dinda,18,1.0,0,10.0
PW Borren,60,7.0,0,11.0
IDR Bradshaw,17,1.0,0,9.0
MM Sharma,10,2.0,0,6.0
Shafiul Islam,48,7.0,0,8.0
MA Starc,32,2.0,0,10.0
AG Cremer,85,4.0,0,9.0
Shoaib Akhtar,38,6.0,0,6.0
I Sharma,11,1.0,0,3.0
MS Panesar,11,2.0,0,16.0
ML Hayden,69,11.0,0,17.0
DPMD Jayawardene,400,44.0,0,11.0
AR White,54,3.0,0,13.0
Shahid Afridi,724,98.0,1.0,7.0
LL Tsotsobe,20,2.0,0,7.0
JK Kamande,18,2.0,0,6.0
Shafiqullah,44,4.0,0,11.0
U Bhatti,31,3.0,0,11.0
PM Seelaar,7,1.0,0,8.0
Mohammad Rizwan,66,6.0,0,11.0
CO Obuya,57,8.0,0,10.0
BJ Watling,56,7.0,0,12.0
Zaheer Maqsood,5,1.0,0,8.0
Kamran Akmal,135,16.0,0,9.0
CJ McKay,48,3.0,0,7.0
CRD Fernando,40,5.0,0,6.0
SPD Smith,233,19.0,0,11.0
ME Trescothick,6,1.0,0,6.0
C Munro,45,4.0,0,12.0
MF Maharoof,157,13.0,0,11.0
Mudassar Bukhari,25,2.0,0,10.0
JE Taylor,46,7.0,0,6.0
JEC Franklin,196,17.0,0,10.0
LJ Wright,126,16.0,0,9.0
RR Rossouw,48,6.0,0,9.0
