Batsman,Total Runs Scored,Home Run Hitting Ability,Home Runs,Non Home Runs,Number of Milestones Reached,Average Balls Faced,Team
JA Morkel,66,7.0,34,32,0,9.55555555556,South Africa
HH Gibbs,137,13.0,64,73,0,13.3,South Africa
T Thushara,28,3.0,12,16,0,9.4,Sri Lanka
V Sehwag,166,21.0,92,74,0,13.4,India
KA Edwards,36,3.0,14,22,0,16.3333333333,West Indies
SC Williams,194,12.0,50,144,0,10.2916666667,Zimbabwe
DE Bernard,12,2.0,8,4,0,9.0,West Indies
MJ Guptill,188,18.0,84,104,0,13.1333333333,New Zealand
CT Tremlett,7,1.0,4,3,0,9.5,England
CK Kapugedera,173,9.0,40,133,0,12.0869565217,Sri Lanka
N Deonarine,18,1.0,4,14,0,7.16666666667,West Indies
CR Brathwaite,8,1.0,4,4,0,8.5,West Indies
MC Sorensen,12,1.0,4,8,0,17.0,Ireland
NW Bracken,11,2.0,8,3,0,12.0,Australia
SR Patel,47,4.0,18,29,0,8.3,England
CK Coventry,42,4.0,16,26,0,12.0,Zimbabwe
D Mongia,20,2.0,8,12,0,12.5,India
D Ganga,5,1.0,4,1,0,4.0,West Indies
MJ Santner,25,2.0,8,17,0,13.3333333333,New Zealand
CT Mutombodzi,10,1.0,4,6,0,7.0,Zimbabwe
CR Ervine,128,11.0,44,84,0,12.3846153846,Zimbabwe
IR Bell,311,18.0,80,231,0,12.2258064516,England
A Symonds,218,20.0,86,132,0,13.35,Australia
Umar Gul,18,1.0,4,14,0,6.71428571429,Pakistan
HDRL Thirimanne,344,26.0,112,232,0,11.9705882353,Sri Lanka
SW Billings,10,1.0,4,6,0,13.0,England
H Masakadza,200,15.0,68,132,0,13.5,Zimbabwe
KO Meth,7,1.0,4,3,0,9.0,Zimbabwe
B Lee,31,3.0,12,19,0,10.5,Australia
R Mutumbami,24,2.0,8,16,0,8.5,Zimbabwe
TWM Latham,32,1.0,4,28,0,11.75,New Zealand
JH Kallis,289,17.0,70,219,0,12.4285714286,South Africa
LRPL Taylor,553,34.0,146,407,0,13.7678571429,New Zealand
CH Gayle,147,17.0,78,69,0,13.25,West Indies
PC de Silva,24,3.0,12,12,0,12.5,Sri Lanka
MDKJ Perera,39,4.0,20,19,0,6.4,Sri Lanka
SP Narine,38,3.0,14,24,0,8.25,West Indies
SJ Benn,40,5.0,22,18,0,9.5,West Indies
IJL Trott,285,17.0,68,217,0,13.1153846154,England
CJ Anderson,103,10.0,50,53,0,9.14285714286,New Zealand
Mahbubul Alam,8,1.0,4,4,0,12.0,Bangladesh
Hammad Azam,12,1.0,4,8,0,10.0,Pakistan
DPMD Jayawardene,810,69.0,290,520,0,12.9027777778,Sri Lanka
PG Fulton,81,3.0,12,69,0,11.875,New Zealand
ST Finn,15,1.0,4,11,0,9.5,England
SL Malinga,27,2.0,12,15,0,5.66666666667,Sri Lanka
LM Jongwe,10,1.0,4,6,0,7.5,Zimbabwe
Abdur Razzak,83,10.0,42,41,0,8.0,Bangladesh
Mahmudullah,265,21.0,90,175,0,14.2941176471,Bangladesh
DJG Sammy,323,44.0,204,119,0,11.0,West Indies
JR Hopes,78,3.0,12,66,0,9.14285714286,Australia
E Chigumbura,363,24.0,106,257,0,12.5714285714,Zimbabwe
KP Pietersen,222,12.0,54,168,0,12.16,England
VD Philander,18,2.0,8,10,0,8.0,South Africa
CJ Ferguson,80,6.0,24,56,0,12.9,Australia
DL Vettori,197,18.0,76,121,0,9.79166666667,New Zealand
A Mishra,5,1.0,4,1,0,7.0,India
RA Jadeja,183,16.0,70,113,0,11.0,India
LD Chandimal,319,21.0,92,227,0,11.4848484848,Sri Lanka
BMAJ Mendis,63,7.0,30,33,0,11.625,Sri Lanka
SMA Priyanjan,61,5.0,20,41,0,12.5714285714,Sri Lanka
JP Duminy,446,22.0,88,358,0,12.0181818182,South Africa
NO Miller,62,6.0,28,34,0,12.3333333333,West Indies
DJ Hussey,266,22.0,92,174,0,11.8518518519,Australia
MG Johnson,34,3.0,14,20,0,6.4,Australia
SM Pollock,92,10.0,44,48,0,13.8571428571,South Africa
PD Collingwood,459,33.0,142,317,0,12.9782608696,England
CH Morris,15,3.0,12,3,0,7.66666666667,South Africa
Asad Shafiq,193,14.0,56,137,0,10.5909090909,Pakistan
Bazid Khan,13,1.0,6,7,0,18.0,Pakistan
PJ Forrest,54,5.0,22,32,0,16.0,Australia
Sikandar Raza,75,6.0,24,51,0,9.72727272727,Zimbabwe
IK Pathan,49,5.0,26,23,0,9.88888888889,India
AC Gilchrist,22,1.0,4,18,0,10.5,Australia
M Morkel,17,2.0,8,9,0,5.42857142857,South Africa
ST Jayasuriya,68,5.0,24,44,0,15.6,Sri Lanka
CJ Chibhabha,113,6.0,26,87,0,11.0714285714,Zimbabwe
Tamim Iqbal,129,11.0,48,81,0,11.1428571429,Bangladesh
JM How,57,6.0,26,31,0,14.75,New Zealand
N Madziva,11,1.0,4,7,0,22.0,Zimbabwe
D Wiese,20,2.0,8,12,0,7.66666666667,South Africa
DR Martyn,40,5.0,20,20,0,15.6666666667,Australia
Sohaib Maqsood,127,12.0,56,71,0,11.5384615385,Pakistan
JWA Taylor,86,9.0,40,46,0,12.7142857143,England
HMCM Bandara,9,1.0,4,5,0,6.5,Sri Lanka
LMP Simmons,160,15.0,68,92,0,13.0,West Indies
EC Joyce,99,8.0,32,67,0,14.625,England
Mushfiqur Rahim,505,50.0,212,293,0,11.8653846154,Bangladesh
Mohammad Ashraful,122,13.0,54,68,0,11.1428571429,Bangladesh
Sohag Gazi,12,1.0,4,8,0,8.0,Bangladesh
Iftikhar Anjum,31,3.0,12,19,0,12.4,Pakistan
Farhad Reza,39,4.0,16,23,0,10.2222222222,Bangladesh
TD Paine,19,2.0,8,11,0,13.5,Australia
KA Pollard,214,18.0,92,122,0,10.5666666667,West Indies
SR Watson,255,28.0,130,125,0,9.68,Australia
NLTC Perera,125,14.0,76,49,0,9.06666666667,Sri Lanka
R McLaren,72,7.0,30,42,0,11.8,South Africa
JC Buttler,254,24.0,96,158,0,11.32,England
KM Dabengwa,42,4.0,18,24,0,12.6,Zimbabwe
GC Smith,136,14.0,62,74,0,12.5454545455,South Africa
MK Tiwary,29,3.0,12,17,0,10.0,India
Inzamam-ul-Haq,53,6.0,24,29,0,9.83333333333,Pakistan
MEK Hussey,604,42.0,174,430,0,13.2666666667,Australia
JDP Oram,161,13.0,56,105,0,11.5882352941,New Zealand
Khurram Manzoor,27,4.0,16,11,0,23.0,Pakistan
DJ Bravo,330,28.0,128,202,0,12.2162162162,West Indies
Shamsur Rahman,15,2.0,10,5,0,19.0,Bangladesh
BJ Hodge,31,2.0,8,23,0,9.8,Australia
HM Amla,388,35.0,154,234,0,12.1290322581,South Africa
GJ Bailey,340,32.0,138,202,0,12.2666666667,Australia
R Dravid,133,9.0,36,97,0,10.1333333333,India
RP Singh,17,2.0,8,9,0,10.25,India
SHT Kandamby,111,8.0,32,79,0,12.3571428571,Sri Lanka
SB Styris,266,24.0,100,166,0,12.375,New Zealand
N Mushangwe,6,1.0,6,0,0,5.0,Zimbabwe
Raqibul Hasan,132,9.0,40,92,0,13.9375,Bangladesh
Fawad Alam,127,9.0,38,89,0,11.7333333333,Pakistan
JM Kemp,68,7.0,32,36,0,10.0,South Africa
WTS Porterfield,39,2.0,8,31,0,10.8,Ireland
Yuvraj Singh,602,63.0,280,322,0,12.9230769231,India
Abdur Rehman,14,2.0,8,6,0,9.0,Pakistan
SW Masakadza,17,3.0,12,5,0,7.33333333333,Zimbabwe
MS Dhoni,964,75.0,322,642,0,12.3063063063,India
AC Voges,91,5.0,20,71,0,11.0,Australia
AJ Strauss,106,11.0,48,58,0,14.0,England
S Prasanna,33,5.0,26,7,0,8.4,Sri Lanka
SCJ Broad,54,5.0,22,32,0,8.77777777778,England
Saad Nasim,14,2.0,8,6,0,21.0,Pakistan
NJ O'Brien,97,10.0,44,53,0,13.75,Ireland
A Balbirnie,33,3.0,12,21,0,11.0,Ireland
Mohammad Yousuf,270,19.0,80,190,0,12.8518518519,Pakistan
Z Khan,44,2.0,8,36,0,12.7142857143,India
Ahmed Shehzad,127,15.0,66,61,0,10.9090909091,Pakistan
AD Russell,89,10.0,46,43,0,8.4,West Indies
Babar Azam,25,2.0,8,17,0,12.0,Pakistan
R Ashwin,89,9.0,36,53,0,10.5384615385,India
CL White,269,21.0,90,179,0,11.875,Australia
YK Pathan,84,11.0,54,30,0,10.75,India
Imran Nazir,18,2.0,8,10,0,12.0,Pakistan
Imran Farhat,34,4.0,16,18,0,11.3333333333,Pakistan
CMW Read,15,1.0,4,11,0,11.0,England
AM Rahane,169,19.0,78,91,0,14.2727272727,India
AU Rashid,28,4.0,18,10,0,12.0,England
KM Jadhav,16,2.0,8,8,0,9.5,India
Mashrafe Mortaza,55,1.0,4,51,0,8.94117647059,Bangladesh
SF Mire,48,4.0,22,26,0,13.25,Zimbabwe
GB Brent,17,1.0,4,13,0,9.5,Zimbabwe
M Vijay,11,1.0,6,5,0,8.0,India
CD McMillan,67,8.0,38,29,0,11.625,New Zealand
Sohail Tanvir,27,5.0,20,7,0,12.25,Pakistan
