Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
RJ Sidebottom,0.0,0.0,0.0,0,125.0,6,22.0,1,20.0,16.0,36,88,95,183,267,215,20,England,1,9
KP Pietersen,46.0,8.0,38.0,55,132.0,3,39.0,0,16.0,20.0,36,62,145,207,0,275,11,England,1,9
A Flintoff,36.0,12.0,24.0,41,132.0,3,39.0,0,16.0,20.0,36,62,145,207,0,275,11,England,1,9
VD Philander,1.0,0.0,1.0,3,168.0,5,21.0,1,0.0,14.0,14,90,113,203,276,255,18,South Africa,0,9
J Botha,20.0,8.0,12.0,22,168.0,5,21.0,1,0.0,14.0,14,90,113,203,276,255,18,South Africa,0,9
A Nel,0.0,0.0,0.0,0,168.0,5,21.0,1,0.0,14.0,14,90,113,203,276,255,18,South Africa,0,9
A Flintoff,38.0,16.0,22.0,46,168.0,5,31.0,0,20.0,17.0,37,132,104,236,0,296,19,England,1,9
SR Patel,13.0,4.0,9.0,19,168.0,5,31.0,0,20.0,17.0,37,132,104,236,0,296,19,England,1,9
J Botha,16.0,4.0,12.0,28,138.0,7,17.0,1,0.0,5.0,5,60,100,160,297,170,10,South Africa,0,9
DW Steyn,1.0,0.0,1.0,3,138.0,7,17.0,1,0.0,5.0,5,60,100,160,297,170,10,South Africa,0,9
M Ntini,0.0,0.0,0.0,0,138.0,7,17.0,1,0.0,5.0,5,60,100,160,297,170,10,South Africa,0,9
BJ Haddin,30.0,16.0,14.0,36,172.0,4,29.0,0,20.0,22.0,42,126,117,243,0,306,15,Australia,0,9
A Symonds,66.0,40.0,26.0,65,172.0,4,29.0,0,20.0,22.0,42,126,117,243,0,306,15,Australia,0,9
S Sreesanth,1.0,0.0,1.0,3,160.0,8,10.0,1,4.0,11.0,15,94,91,185,307,222,25,India,1,9
MS Dhoni,39.0,10.0,29.0,65,160.0,8,10.0,1,4.0,11.0,15,94,91,185,307,222,25,India,1,9
A Symonds,33.0,10.0,23.0,38,164.0,3,30.0,0,34.0,17.0,51,120,125,245,0,290,13,Australia,0,9
MJ Clarke,47.0,12.0,35.0,59,164.0,3,30.0,0,34.0,17.0,51,120,125,245,0,290,13,Australia,0,9
Yuvraj Singh,93.0,46.0,47.0,102,161.0,4,19.0,3,20.0,17.0,37,106,111,217,291,243,9,India,1,9
Harbhajan Singh,1.0,0.0,1.0,8,161.0,4,19.0,3,20.0,17.0,37,106,111,217,291,243,9,India,1,9
Z Khan,0.0,0.0,0.0,0,161.0,4,19.0,3,20.0,17.0,37,106,111,217,291,243,9,India,1,9
S Sreesanth,0.0,0.0,0.0,0,161.0,4,19.0,3,20.0,17.0,37,106,111,217,291,243,9,India,1,9
SR Tendulkar,73.0,24.0,49.0,119,140.0,1,28.0,1,12.0,18.0,30,88,110,198,0,291,37,India,1,9
MS Dhoni,15.0,8.0,7.0,12,140.0,1,28.0,1,12.0,18.0,30,88,110,198,0,291,37,India,1,9
R Dravid,0.0,0.0,0.0,0,140.0,1,28.0,1,12.0,18.0,30,88,110,198,0,291,37,India,1,9
BJ Hodge,8.0,0.0,8.0,21,181.0,4,26.0,0,4.0,25.0,29,112,124,236,292,283,18,Australia,0,9
A Symonds,54.0,18.0,36.0,65,181.0,4,26.0,0,4.0,25.0,29,112,124,236,292,283,18,Australia,0,9
JR Hopes,0.0,0.0,0.0,0,181.0,4,26.0,0,4.0,25.0,29,112,124,236,292,283,18,Australia,0,9
JR Hopes,6.0,4.0,2.0,7,185.0,4,23.0,1,28.0,17.0,45,146,107,253,0,317,7,Australia,0,9
A Symonds,57.0,26.0,31.0,61,185.0,4,23.0,1,28.0,17.0,45,146,107,253,0,317,7,Australia,0,9
MS Dhoni,3.0,0.0,3.0,6,188.0,2,15.0,2,32.0,11.0,43,142,104,246,318,299,16,India,1,9
R Dravid,7.0,0.0,7.0,13,188.0,2,15.0,2,32.0,11.0,43,142,104,246,318,299,16,India,1,9
RV Uthappa,0.0,0.0,0.0,0,188.0,2,15.0,2,32.0,11.0,43,142,104,246,318,299,16,India,1,9
MG Johnson,14.0,4.0,10.0,25,141.0,8,9.0,1,10.0,0.0,10,98,62,160,0,193,33,Australia,0,9
NW Bracken,3.0,0.0,3.0,15,141.0,8,9.0,1,10.0,0.0,10,98,62,160,0,193,33,Australia,0,9
Z Khan,14.0,4.0,10.0,27,116.0,7,19.0,1,18.0,4.0,22,90,67,157,194,195,32,India,1,9
M Kartik,14.0,8.0,6.0,16,116.0,7,19.0,1,18.0,4.0,22,90,67,157,194,195,32,India,1,9
Shoaib Malik,2.0,0.0,2.0,6,130.0,3,28.0,1,8.0,19.0,27,66,119,185,0,239,9,Pakistan,0,9
Misbah-ul-Haq,0.0,0.0,0.0,0,130.0,3,28.0,1,8.0,19.0,27,66,119,185,0,239,9,Pakistan,0,9
Mohammad Yousuf,38.0,8.0,30.0,58,130.0,3,28.0,1,8.0,19.0,27,66,119,185,0,239,9,Pakistan,0,9
MS Dhoni,47.0,24.0,23.0,64,156.0,3,23.0,0,16.0,16.0,32,124,87,211,240,242,18,India,1,9
Yuvraj Singh,45.0,22.0,23.0,66,156.0,3,23.0,0,16.0,16.0,32,124,87,211,240,242,18,India,1,9
RV Uthappa,0.0,0.0,0.0,0,156.0,3,23.0,0,16.0,16.0,32,124,87,211,240,242,18,India,1,9
IK Pathan,0.0,0.0,0.0,0,156.0,3,23.0,0,16.0,16.0,32,124,87,211,240,242,18,India,1,9
MS Dhoni,2.0,0.0,2.0,4,200.0,3,23.0,3,0.0,16.0,16,110,129,239,0,321,40,India,1,9
IK Pathan,0.0,0.0,0.0,0,200.0,3,23.0,3,0.0,16.0,16,110,129,239,0,321,40,India,1,9
Harbhajan Singh,0.0,0.0,0.0,0,200.0,3,23.0,3,0.0,16.0,16,110,129,239,0,321,40,India,1,9
Z Khan,0.0,0.0,0.0,0,200.0,3,23.0,3,0.0,16.0,16,110,129,239,0,321,40,India,1,9
Misbah-ul-Haq,23.0,4.0,19.0,24,167.0,4,40.0,0,16.0,27.0,43,104,146,250,322,322,25,Pakistan,0,9
Younis Khan,97.0,40.0,57.0,103,167.0,4,40.0,0,16.0,27.0,43,104,146,250,322,322,25,Pakistan,0,9
Yuvraj Singh,46.0,20.0,26.0,76,157.0,3,25.0,0,14.0,25.0,39,108,113,221,0,294,23,India,1,9
MS Dhoni,43.0,28.0,15.0,48,157.0,3,25.0,0,14.0,25.0,39,108,113,221,0,294,23,India,1,9
RV Uthappa,0.0,0.0,0.0,0,157.0,3,25.0,0,14.0,25.0,39,108,113,221,0,294,23,India,1,9
Misbah-ul-Haq,27.0,4.0,23.0,41,150.0,4,37.0,0,12.0,23.0,35,112,110,222,295,248,12,Pakistan,0,9
Salman Butt,99.0,56.0,43.0,118,150.0,4,37.0,0,12.0,23.0,35,112,110,222,295,248,12,Pakistan,0,9
Kamran Akmal,0.0,0.0,0.0,0,150.0,4,37.0,0,12.0,23.0,35,112,110,222,295,248,12,Pakistan,0,9
Abdur Rehman,0.0,0.0,0.0,0,150.0,4,37.0,0,12.0,23.0,35,112,110,222,295,248,12,Pakistan,0,9
Mohammad Yousuf,55.0,16.0,39.0,72,145.0,4,28.0,0,14.0,20.0,34,76,131,207,0,255,5,Pakistan,0,9
Misbah-ul-Haq,18.0,8.0,10.0,19,145.0,4,28.0,0,14.0,20.0,34,76,131,207,0,255,5,Pakistan,0,9
MS Dhoni,18.0,4.0,14.0,28,181.0,4,19.0,0,18.0,18.0,36,124,112,236,256,260,14,India,1,9
Yuvraj Singh,34.0,12.0,22.0,45,181.0,4,19.0,0,18.0,18.0,36,124,112,236,256,260,14,India,1,9
Mohammad Yousuf,64.0,16.0,48.0,70,156.0,3,43.0,0,18.0,20.0,38,98,139,237,0,306,28,Pakistan,0,9
Shoaib Malik,78.0,28.0,50.0,83,156.0,3,43.0,0,18.0,20.0,38,98,139,237,0,306,28,Pakistan,0,9
Misbah-ul-Haq,0.0,0.0,0.0,0,156.0,3,43.0,0,18.0,20.0,38,98,139,237,0,306,28,Pakistan,0,9
Fawad Alam,0.0,0.0,0.0,0,156.0,3,43.0,0,18.0,20.0,38,98,139,237,0,306,28,Pakistan,0,9
P Kumar,5.0,0.0,5.0,6,170.0,5,24.0,2,22.0,15.0,37,102,129,231,307,275,14,India,1,9
IK Pathan,10.0,4.0,6.0,13,170.0,5,24.0,2,22.0,15.0,37,102,129,231,307,275,14,India,1,9
M Kartik,0.0,0.0,0.0,0,170.0,5,24.0,2,22.0,15.0,37,102,129,231,307,275,14,India,1,9
S Sreesanth,0.0,0.0,0.0,0,170.0,5,24.0,2,22.0,15.0,37,102,129,231,307,275,14,India,1,9
JM How,71.0,36.0,35.0,104,140.0,2,22.0,1,18.0,15.0,33,80,115,195,0,248,9,New Zealand,0,9
LRPL Taylor,5.0,0.0,5.0,13,140.0,2,22.0,1,18.0,15.0,33,80,115,195,0,248,9,New Zealand,0,9
MS Sinclair,0.0,0.0,0.0,0,140.0,2,22.0,1,18.0,15.0,33,80,115,195,0,248,9,New Zealand,0,9
MV Boucher,2.0,0.0,2.0,9,138.0,3,26.0,1,14.0,21.0,35,78,121,199,249,249,12,South Africa,1,9
JP Duminy,30.0,12.0,18.0,47,138.0,3,26.0,1,14.0,21.0,35,78,121,199,249,249,12,South Africa,1,9
MV Boucher,35.0,4.0,31.0,68,111.0,5,22.0,0,4.0,17.0,21,52,102,154,0,209,5,South Africa,1,9
SM Pollock,41.0,16.0,25.0,60,111.0,5,22.0,0,4.0,17.0,21,52,102,154,0,209,5,South Africa,1,9
JA Morkel,0.0,0.0,0.0,0,111.0,5,22.0,0,4.0,17.0,21,52,102,154,0,209,5,South Africa,1,9
MS Sinclair,32.0,4.0,28.0,52,123.0,5,21.0,0,10.0,19.0,29,62,111,173,0,238,15,New Zealand,0,9
JDP Oram,16.0,4.0,12.0,23,123.0,5,21.0,0,10.0,19.0,29,62,111,173,0,238,15,New Zealand,0,9
KD Mills,0.0,0.0,0.0,0,123.0,5,21.0,0,10.0,19.0,29,62,111,173,0,238,15,New Zealand,0,9
JH Kallis,18.0,8.0,10.0,32,183.0,3,18.0,1,16.0,11.0,27,126,102,228,239,242,9,South Africa,1,9
MV Boucher,10.0,8.0,2.0,16,183.0,3,18.0,1,16.0,11.0,27,126,102,228,239,242,9,South Africa,1,9
SM Pollock,0.0,0.0,0.0,0,183.0,3,18.0,1,16.0,11.0,27,126,102,228,239,242,9,South Africa,1,9
MV Boucher,2.0,0.0,2.0,6,152.0,3,26.0,1,14.0,21.0,35,108,105,213,0,255,11,South Africa,1,9
JP Duminy,33.0,8.0,25.0,50,152.0,3,26.0,1,14.0,21.0,35,108,105,213,0,255,11,South Africa,1,9
SM Pollock,0.0,0.0,0.0,0,152.0,3,26.0,1,14.0,21.0,35,108,105,213,0,255,11,South Africa,1,9
R Rampaul,1.0,0.0,1.0,3,94.0,6,35.0,1,16.0,7.0,23,72,80,152,256,169,10,West Indies,0,9
S Chanderpaul,33.0,8.0,25.0,55,94.0,6,35.0,1,16.0,7.0,23,72,80,152,256,169,10,West Indies,0,9
FH Edwards,0.0,0.0,0.0,0,94.0,6,35.0,1,16.0,7.0,23,72,80,152,256,169,10,West Indies,0,9
DJ Bravo,2.0,0.0,2.0,3,122.0,3,23.0,1,36.0,13.0,49,104,90,194,0,252,17,West Indies,0,9
MN Samuels,38.0,10.0,28.0,55,122.0,3,23.0,1,36.0,13.0,49,104,90,194,0,252,17,West Indies,0,9
DJG Sammy,0.0,0.0,0.0,0,122.0,3,23.0,1,36.0,13.0,49,104,90,194,0,252,17,West Indies,0,9
D Ramdin,0.0,0.0,0.0,0,122.0,3,23.0,1,36.0,13.0,49,104,90,194,0,252,17,West Indies,0,9
JP Duminy,12.0,0.0,12.0,23,171.0,3,19.0,0,8.0,20.0,28,94,124,218,253,256,7,South Africa,1,9
JH Kallis,89.0,42.0,47.0,109,171.0,3,19.0,0,8.0,20.0,28,94,124,218,253,256,7,South Africa,1,9
PA Browne,3.0,0.0,3.0,9,138.0,3,13.0,2,28.0,19.0,47,104,94,198,0,263,10,West Indies,0,9
DJG Sammy,2.0,0.0,2.0,5,138.0,3,13.0,2,28.0,19.0,47,104,94,198,0,263,10,West Indies,0,9
RN Lewis,0.0,0.0,0.0,0,138.0,3,13.0,2,28.0,19.0,47,104,94,198,0,263,10,West Indies,0,9
JE Taylor,0.0,0.0,0.0,0,138.0,3,13.0,2,28.0,19.0,47,104,94,198,0,263,10,West Indies,0,9
DBL Powell,0.0,0.0,0.0,0,138.0,3,13.0,2,28.0,19.0,47,104,94,198,0,263,10,West Indies,0,9
SM Pollock,1.0,0.0,1.0,3,187.0,3,24.0,1,8.0,18.0,26,116,121,237,264,266,12,South Africa,1,9
AB de Villiers,76.0,28.0,48.0,85,187.0,3,24.0,1,8.0,18.0,26,116,121,237,264,266,12,South Africa,1,9
MV Boucher,0.0,0.0,0.0,0,187.0,3,24.0,1,8.0,18.0,26,116,121,237,264,266,12,South Africa,1,9
PA Browne,18.0,4.0,14.0,44,169.0,3,34.0,1,4.0,15.0,19,100,122,222,0,295,23,West Indies,0,9
RS Morton,1.0,0.0,1.0,2,169.0,3,34.0,1,4.0,15.0,19,100,122,222,0,295,23,West Indies,0,9
D Ramdin,0.0,0.0,0.0,0,169.0,3,34.0,1,4.0,15.0,19,100,122,222,0,295,23,West Indies,0,9
DJG Sammy,0.0,0.0,0.0,0,169.0,3,34.0,1,4.0,15.0,19,100,122,222,0,295,23,West Indies,0,9
RN Lewis,0.0,0.0,0.0,0,169.0,3,34.0,1,4.0,15.0,19,100,122,222,0,295,23,West Indies,0,9
HH Gibbs,95.0,50.0,45.0,123,154.0,2,39.0,0,4.0,19.0,23,98,118,216,0,294,27,South Africa,0,9
AB de Villiers,56.0,20.0,36.0,70,154.0,2,39.0,0,4.0,19.0,23,98,118,216,0,294,27,South Africa,0,9
JM Kemp,0.0,0.0,0.0,0,154.0,2,39.0,0,4.0,19.0,23,98,118,216,0,294,27,South Africa,0,9
MV Boucher,0.0,0.0,0.0,0,154.0,2,39.0,0,4.0,19.0,23,98,118,216,0,294,27,South Africa,0,9
Shahid Afridi,26.0,16.0,10.0,15,152.0,5,44.0,2,30.0,13.0,43,116,123,239,295,249,6,Pakistan,1,9
Sohail Tanvir,10.0,6.0,4.0,5,152.0,5,44.0,2,30.0,13.0,43,116,123,239,295,249,6,Pakistan,1,9
Iftikhar Anjum,0.0,0.0,0.0,0,152.0,5,44.0,2,30.0,13.0,43,116,123,239,295,249,6,Pakistan,1,9
Misbah-ul-Haq,2.0,0.0,2.0,7,160.0,3,19.0,1,24.0,16.0,40,84,135,219,0,265,13,Pakistan,1,9
Mohammad Yousuf,87.0,24.0,63.0,117,160.0,3,19.0,1,24.0,16.0,40,84,135,219,0,265,13,Pakistan,1,9
Shahid Afridi,0.0,0.0,0.0,0,160.0,3,19.0,1,24.0,16.0,40,84,135,219,0,265,13,Pakistan,1,9
JA Morkel,27.0,18.0,9.0,21,130.0,6,42.0,0,0.0,22.0,22,72,122,194,266,240,18,South Africa,0,9
SM Pollock,23.0,14.0,9.0,29,130.0,6,42.0,0,0.0,22.0,22,72,122,194,266,240,18,South Africa,0,9
J Botha,0.0,0.0,0.0,0,130.0,6,42.0,0,0.0,22.0,22,72,122,194,266,240,18,South Africa,0,9
JM Kemp,31.0,6.0,25.0,65,122.0,4,15.0,0,10.0,15.0,25,68,94,162,0,197,12,South Africa,0,9
MV Boucher,9.0,0.0,9.0,23,122.0,4,15.0,0,10.0,15.0,25,68,94,162,0,197,12,South Africa,0,9
JA Morkel,0.0,0.0,0.0,0,122.0,4,15.0,0,10.0,15.0,25,68,94,162,0,197,12,South Africa,0,9
Mohammad Yousuf,41.0,4.0,37.0,89,123.0,3,23.0,1,0.0,21.0,21,58,109,167,198,202,8,Pakistan,1,9
Misbah-ul-Haq,3.0,0.0,3.0,7,123.0,3,23.0,1,0.0,21.0,21,58,109,167,198,202,8,Pakistan,1,9
Abdur Rehman,3.0,0.0,3.0,6,135.0,4,22.0,2,0.0,11.0,11,56,112,168,0,230,12,Pakistan,1,9
Kamran Akmal,5.0,0.0,5.0,7,135.0,4,22.0,2,0.0,11.0,11,56,112,168,0,230,12,Pakistan,1,9
JP Duminy,34.0,12.0,22.0,55,145.0,3,20.0,0,6.0,20.0,26,78,113,191,0,233,12,South Africa,0,9
JH Kallis,60.0,12.0,48.0,110,145.0,3,20.0,0,6.0,20.0,26,78,113,191,0,233,12,South Africa,0,9
MV Boucher,0.0,0.0,0.0,0,145.0,3,20.0,0,6.0,20.0,26,78,113,191,0,233,12,South Africa,0,9
SM Pollock,0.0,0.0,0.0,0,145.0,3,20.0,0,6.0,20.0,26,78,113,191,0,233,12,South Africa,0,9
Misbah-ul-Haq,16.0,4.0,12.0,19,165.0,4,26.0,0,6.0,8.0,14,102,103,205,234,219,9,Pakistan,1,9
Shoaib Malik,23.0,12.0,11.0,31,165.0,4,26.0,0,6.0,8.0,14,102,103,205,234,219,9,Pakistan,1,9
Shahid Afridi,0.0,0.0,0.0,0,165.0,4,26.0,0,6.0,8.0,14,102,103,205,234,219,9,Pakistan,1,9
Sohail Tanvir,0.0,0.0,0.0,0,165.0,4,26.0,0,6.0,8.0,14,102,103,205,234,219,9,Pakistan,1,9
Abdur Rehman,0.0,0.0,0.0,0,165.0,4,26.0,0,6.0,8.0,14,102,103,205,234,219,9,Pakistan,1,9
Farhad Reza,4.0,0.0,4.0,27,153.0,7,12.0,0,18.0,7.0,25,112,78,190,0,201,5,Bangladesh,0,9
Abdur Razzak,0.0,0.0,0.0,0,153.0,7,12.0,0,18.0,7.0,25,112,78,190,0,201,5,Bangladesh,0,9
Mashrafe Mortaza,11.0,4.0,7.0,22,153.0,7,12.0,0,18.0,7.0,25,112,78,190,0,201,5,Bangladesh,0,9
Shahadat Hossain,0.0,0.0,0.0,0,153.0,7,12.0,0,18.0,7.0,25,112,78,190,0,201,5,Bangladesh,0,9
LRPL Taylor,1.0,0.0,1.0,4,151.0,2,27.0,1,12.0,7.0,19,84,113,197,202,203,6,New Zealand,1,9
SB Styris,14.0,6.0,8.0,14,151.0,2,27.0,1,12.0,7.0,19,84,113,197,202,203,6,New Zealand,1,9
MS Sinclair,0.0,0.0,0.0,0,151.0,2,27.0,1,12.0,7.0,19,84,113,197,202,203,6,New Zealand,1,9
PG Fulton,79.0,26.0,53.0,86,198.0,2,34.0,1,0.0,21.0,21,108,145,253,0,335,10,New Zealand,1,9
LRPL Taylor,3.0,0.0,3.0,3,198.0,2,34.0,1,0.0,21.0,21,108,145,253,0,335,10,New Zealand,1,9
JDP Oram,0.0,0.0,0.0,0,198.0,2,34.0,1,0.0,21.0,21,108,145,253,0,335,10,New Zealand,1,9
Farhad Reza,4.0,0.0,4.0,6,132.0,4,24.0,2,4.0,7.0,11,92,75,167,336,181,14,Bangladesh,0,9
Mushfiqur Rahim,0.0,0.0,0.0,3,132.0,4,24.0,2,4.0,7.0,11,92,75,167,336,181,14,Bangladesh,0,9
SCJ Broad,2.0,0.0,2.0,12,95.0,6,4.0,2,4.0,7.0,11,28,82,110,0,130,9,England,0,9
RJ Sidebottom,2.0,0.0,2.0,15,95.0,6,4.0,2,4.0,7.0,11,28,82,110,0,130,9,England,0,9
JDP Oram,45.0,22.0,23.0,60,123.0,6,27.0,0,16.0,25.0,41,82,109,191,0,234,5,New Zealand,1,9
DL Vettori,30.0,12.0,18.0,30,123.0,6,27.0,0,16.0,25.0,41,82,109,191,0,234,5,New Zealand,1,9
KD Mills,0.0,0.0,0.0,0,123.0,6,27.0,0,16.0,25.0,41,82,109,191,0,234,5,New Zealand,1,9
PD Collingwood,32.0,14.0,18.0,35,158.0,4,24.0,0,28.0,16.0,44,120,106,226,235,229,3,England,0,9
OA Shah,12.0,0.0,12.0,18,158.0,4,24.0,0,28.0,16.0,44,120,106,226,235,229,3,England,0,9
KP Pietersen,38.0,18.0,20.0,36,192.0,2,41.0,1,22.0,20.0,42,148,127,275,0,340,7,England,0,9
PD Collingwood,0.0,0.0,0.0,1,192.0,2,41.0,1,22.0,20.0,42,148,127,275,0,340,7,England,0,9
OA Shah,0.0,0.0,0.0,0,192.0,2,41.0,1,22.0,20.0,42,148,127,275,0,340,7,England,0,9
JM How,103.0,48.0,55.0,89,219.0,2,36.0,1,18.0,19.0,37,146,146,292,341,340,16,New Zealand,1,9
SB Styris,7.0,4.0,3.0,8,219.0,2,36.0,1,18.0,19.0,37,146,146,292,341,340,16,New Zealand,1,9
PG Fulton,0.0,0.0,0.0,0,219.0,2,36.0,1,18.0,19.0,37,146,146,292,341,340,16,New Zealand,1,9
OA Shah,15.0,4.0,11.0,32,126.0,5,24.0,0,6.0,17.0,23,64,109,173,0,242,4,England,0,9
LJ Wright,14.0,10.0,4.0,15,126.0,5,24.0,0,6.0,17.0,23,64,109,173,0,242,4,England,0,9
GB Brent,30.0,12.0,18.0,56,94.0,7,30.0,0,10.0,11.0,21,66,79,145,0,206,15,Zimbabwe,1,9
E Chigumbura,30.0,12.0,18.0,52,94.0,7,30.0,0,10.0,11.0,21,66,79,145,0,206,15,Zimbabwe,1,9
AB de Villiers,47.0,16.0,31.0,69,138.0,2,15.0,2,8.0,22.0,30,76,107,183,207,210,10,South Africa,0,9
SM Pollock,2.0,0.0,2.0,5,138.0,2,15.0,2,8.0,22.0,30,76,107,183,207,210,10,South Africa,0,9
VD Philander,0.0,0.0,0.0,0,138.0,2,15.0,2,8.0,22.0,30,76,107,183,207,210,10,South Africa,0,9
S Matsikenyeri,17.0,8.0,9.0,21,138.0,4,27.0,0,16.0,23.0,39,112,92,204,0,247,12,Zimbabwe,1,9
SC Williams,27.0,8.0,19.0,32,138.0,4,27.0,0,16.0,23.0,39,112,92,204,0,247,12,Zimbabwe,1,9
JA Morkel,92.0,52.0,40.0,100,195.0,2,43.0,0,14.0,20.0,34,158,114,272,0,323,12,South Africa,0,9
AB de Villiers,90.0,58.0,32.0,80,195.0,2,43.0,0,14.0,20.0,34,158,114,272,0,323,12,South Africa,0,9
SM Pollock,0.0,0.0,0.0,0,195.0,2,43.0,0,14.0,20.0,34,158,114,272,0,323,12,South Africa,0,9
VD Philander,0.0,0.0,0.0,0,195.0,2,43.0,0,14.0,20.0,34,158,114,272,0,323,12,South Africa,0,9
JJ van der Wath,0.0,0.0,0.0,0,195.0,2,43.0,0,14.0,20.0,34,158,114,272,0,323,12,South Africa,0,9
SC Williams,0.0,0.0,0.0,0,198.0,2,25.0,2,12.0,25.0,37,144,116,260,324,295,8,Zimbabwe,1,9
T Taibu,79.0,34.0,45.0,77,198.0,2,25.0,2,12.0,25.0,37,144,116,260,324,295,8,Zimbabwe,1,9
S Matsikenyeri,0.0,0.0,0.0,0,198.0,2,25.0,2,12.0,25.0,37,144,116,260,324,295,8,Zimbabwe,1,9
S Matsikenyeri,4.0,0.0,4.0,7,157.0,3,23.0,2,12.0,23.0,35,92,123,215,0,274,14,Zimbabwe,1,9
E Chigumbura,16.0,0.0,16.0,16,157.0,3,23.0,2,12.0,23.0,35,92,123,215,0,274,14,Zimbabwe,1,9
S Chanderpaul,91.0,24.0,67.0,110,128.0,3,31.0,0,6.0,23.0,29,50,138,188,275,244,6,West Indies,0,9
RS Morton,36.0,4.0,32.0,60,128.0,3,31.0,0,6.0,23.0,29,50,138,188,275,244,6,West Indies,0,9
MN Samuels,39.0,22.0,17.0,37,163.0,4,37.0,0,6.0,17.0,23,86,137,223,0,286,13,West Indies,0,9
DJ Bravo,10.0,4.0,6.0,9,163.0,4,37.0,0,6.0,17.0,23,86,137,223,0,286,13,West Indies,0,9
D Ramdin,0.0,0.0,0.0,0,163.0,4,37.0,0,6.0,17.0,23,86,137,223,0,286,13,West Indies,0,9
RN Lewis,0.0,0.0,0.0,0,163.0,4,37.0,0,6.0,17.0,23,86,137,223,0,286,13,West Indies,0,9
GB Brent,4.0,0.0,4.0,19,125.0,8,11.0,0,6.0,12.0,18,64,90,154,287,176,22,Zimbabwe,1,9
P Utseya,13.0,0.0,13.0,23,125.0,8,11.0,0,6.0,12.0,18,64,90,154,287,176,22,Zimbabwe,1,9
RW Price,0.0,0.0,0.0,0,125.0,8,11.0,0,6.0,12.0,18,64,90,154,287,176,22,Zimbabwe,1,9
V Sibanda,89.0,38.0,51.0,138,151.0,0,23.0,3,4.0,26.0,30,80,124,204,0,232,5,Zimbabwe,1,9
BRM Taylor,1.0,0.0,1.0,5,151.0,0,23.0,3,4.0,26.0,30,80,124,204,0,232,5,Zimbabwe,1,9
S Matsikenyeri,0.0,0.0,0.0,0,151.0,0,23.0,3,4.0,26.0,30,80,124,204,0,232,5,Zimbabwe,1,9
KM Dabengwa,0.0,0.0,0.0,0,151.0,0,23.0,3,4.0,26.0,30,80,124,204,0,232,5,Zimbabwe,1,9
N Deonarine,6.0,0.0,6.0,10,151.0,2,28.0,2,6.0,16.0,22,86,115,201,233,234,14,West Indies,0,9
DJ Bravo,7.0,0.0,7.0,11,151.0,2,28.0,2,6.0,16.0,22,86,115,201,233,234,14,West Indies,0,9
D Ramdin,0.0,0.0,0.0,0,151.0,2,28.0,2,6.0,16.0,22,86,115,201,233,234,14,West Indies,0,9
CK Kapugedera,50.0,20.0,30.0,83,109.0,5,29.0,0,12.0,20.0,32,72,98,170,0,235,23,Sri Lanka,0,9
LPC Silva,52.0,20.0,32.0,84,109.0,5,29.0,0,12.0,20.0,32,72,98,170,0,235,23,Sri Lanka,0,9
PA Browne,2.0,0.0,2.0,2,144.0,4,25.0,1,6.0,16.0,22,100,91,191,236,236,10,West Indies,1,9
S Chanderpaul,30.0,12.0,18.0,35,144.0,4,25.0,1,6.0,16.0,22,100,91,191,236,236,10,West Indies,1,9
BJ Haddin,30.0,14.0,16.0,32,151.0,4,31.0,0,8.0,21.0,29,72,139,211,0,273,21,Australia,0,9
MEK Hussey,26.0,0.0,26.0,45,151.0,4,31.0,0,8.0,21.0,29,72,139,211,0,273,21,Australia,0,9
CL White,0.0,0.0,0.0,0,151.0,4,31.0,0,8.0,21.0,29,72,139,211,0,273,21,Australia,0,9
MEK Hussey,48.0,10.0,38.0,92,111.0,3,22.0,1,12.0,20.0,32,58,107,165,0,213,10,Australia,0,9
CL White,4.0,0.0,4.0,10,111.0,3,22.0,1,12.0,20.0,32,58,107,165,0,213,10,Australia,0,9
S Chanderpaul,44.0,4.0,40.0,76,102.0,8,27.0,0,0.0,2.0,2,52,79,131,214,140,9,West Indies,1,9
SJ Benn,22.0,8.0,14.0,22,102.0,8,27.0,0,0.0,2.0,2,52,79,131,214,140,9,West Indies,1,9
D Ramdin,8.0,0.0,8.0,11,155.0,3,19.0,2,8.0,13.0,21,82,113,195,0,223,18,West Indies,1,9
ADS Fletcher,8.0,4.0,4.0,11,155.0,3,19.0,2,8.0,13.0,21,82,113,195,0,223,18,West Indies,1,9
DJG Sammy,0.0,0.0,0.0,0,155.0,3,19.0,2,8.0,13.0,21,82,113,195,0,223,18,West Indies,1,9
DBL Powell,0.0,0.0,0.0,0,155.0,3,19.0,2,8.0,13.0,21,82,113,195,0,223,18,West Indies,1,9
MJ Clarke,11.0,0.0,11.0,20,188.0,2,26.0,1,0.0,0.0,0,104,110,214,224,227,13,Australia,0,9
DJ Hussey,23.0,4.0,19.0,30,144.0,4,39.0,0,22.0,18.0,40,104,119,223,0,282,14,Australia,0,9
A Symonds,51.0,26.0,25.0,57,144.0,4,39.0,0,22.0,18.0,40,104,119,223,0,282,14,Australia,0,9
