Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
RR Powar,0.0,0.0,0.0,0,189.0,3,11.0,2,0.0,11.0,11,82,129,211,0,245,15,India,0,9
AB Agarkar,0.0,0.0,0.0,0,189.0,3,11.0,2,0.0,11.0,11,82,129,211,0,245,15,India,0,9
S Chanderpaul,27.0,12.0,15.0,40,147.0,4,18.0,0,6.0,25.0,31,96,100,196,246,248,16,West Indies,1,9
RR Sarwan,82.0,44.0,38.0,94,147.0,4,18.0,0,6.0,25.0,31,96,100,196,246,248,16,West Indies,1,9
M Kaif,45.0,16.0,29.0,69,121.0,4,24.0,0,8.0,10.0,18,60,103,163,0,217,15,India,0,9
MS Dhoni,15.0,4.0,11.0,26,121.0,4,24.0,0,8.0,10.0,18,60,103,163,0,217,15,India,0,9
WW Hinds,0.0,0.0,0.0,0,138.0,3,37.0,1,22.0,7.0,29,110,94,204,218,218,14,West Indies,1,9
DJ Bravo,45.0,8.0,37.0,53,138.0,3,37.0,1,22.0,7.0,29,110,94,204,218,218,14,West Indies,1,9
DJ Bravo,13.0,0.0,13.0,13,131.0,3,24.0,1,4.0,27.0,31,58,128,186,0,255,20,West Indies,1,9
WW Hinds,3.0,0.0,3.0,9,131.0,3,24.0,1,4.0,27.0,31,58,128,186,0,255,20,West Indies,1,9
AB Agarkar,8.0,0.0,8.0,16,160.0,5,18.0,2,8.0,15.0,23,86,115,201,256,236,20,India,0,9
Harbhajan Singh,3.0,0.0,3.0,6,160.0,5,18.0,2,8.0,15.0,23,86,115,201,256,236,20,India,0,9
MN Samuels,46.0,24.0,22.0,57,129.0,3,19.0,0,18.0,10.0,28,100,76,176,0,241,8,West Indies,1,9
BC Lara,32.0,14.0,18.0,55,129.0,3,19.0,0,18.0,10.0,28,100,76,176,0,241,8,West Indies,1,9
DJ Bravo,0.0,0.0,0.0,0,129.0,3,19.0,0,18.0,10.0,28,100,76,176,0,241,8,West Indies,1,9
D Ramdin,0.0,0.0,0.0,0,129.0,3,19.0,0,18.0,10.0,28,100,76,176,0,241,8,West Indies,1,9
DR Smith,0.0,0.0,0.0,0,129.0,3,19.0,0,18.0,10.0,28,100,76,176,0,241,8,West Indies,1,9
Shoaib Malik,30.0,12.0,18.0,30,121.0,6,19.0,0,14.0,17.0,31,68,103,171,242,187,4,Pakistan,0,9
Naved-ul-Hasan,11.0,0.0,11.0,28,121.0,6,19.0,0,14.0,17.0,31,68,103,171,242,187,4,Pakistan,0,9
Iftikhar Anjum,0.0,0.0,0.0,0,121.0,6,19.0,0,14.0,17.0,31,68,103,171,242,187,4,Pakistan,0,9
DT Johnston,8.0,4.0,4.0,8,121.0,5,31.0,1,8.0,12.0,20,88,84,172,0,221,10,Ireland,0,9
JP Bray,83.0,40.0,43.0,114,121.0,5,31.0,1,8.0,12.0,20,88,84,172,0,221,10,Ireland,0,9
WK McCallan,0.0,0.0,0.0,0,121.0,5,31.0,1,8.0,12.0,20,88,84,172,0,221,10,Ireland,0,9
D Langford-Smith,0.0,0.0,0.0,0,121.0,5,31.0,1,8.0,12.0,20,88,84,172,0,221,10,Ireland,0,9
BRM Taylor,14.0,8.0,6.0,31,149.0,5,17.0,0,16.0,16.0,32,110,88,198,222,221,10,Zimbabwe,0,9
S Matsikenyeri,43.0,30.0,13.0,48,149.0,5,17.0,0,16.0,16.0,32,110,88,198,222,221,10,Zimbabwe,0,9
GB Brent,0.0,0.0,0.0,0,149.0,5,17.0,0,16.0,16.0,32,110,88,198,222,221,10,Zimbabwe,0,9
PA Nixon,8.0,4.0,4.0,10,122.0,4,12.0,3,4.0,13.0,17,50,101,151,0,209,11,England,0,9
LE Plunkett,1.0,0.0,1.0,4,122.0,4,12.0,3,4.0,13.0,17,50,101,151,0,209,11,England,0,9
SB Styris,86.0,36.0,50.0,113,147.0,4,26.0,0,8.0,3.0,11,74,110,184,210,210,26,New Zealand,0,9
JDP Oram,53.0,14.0,39.0,82,147.0,4,26.0,0,8.0,3.0,11,74,110,184,210,210,26,New Zealand,0,9
SC Ganguly,59.0,16.0,43.0,123,104.0,4,20.0,0,14.0,7.0,21,46,99,145,0,191,14,India,0,9
