Batsman,Total Runs Scored,Home Runs,Milestones Reached, avg Balls Faced
V Sehwag,902,155.0,0,12.0
KA Edwards,44,4.0,0,12.0
SC Williams,70,12.0,0,10.0
Shaiman Anwar,33,5.0,0,11.0
SD Outerbridge,13,2.0,0,10.0
MJ Guptill,1019,160.0,0,13.0
Najibullah Zadran,17,3.0,0,14.0
Usman Limbada,6,1.0,0,12.0
CK Kapugedera,26,2.0,0,9.0
RR Watson,36,4.0,0,12.0
N Deonarine,50,8.0,0,16.0
ML Udawatte,52,7.0,0,14.0
DLS van Bunge,21,2.0,0,11.0
MJ Lumb,34,4.0,0,14.0
CK Coventry,67,10.0,0,12.0
D Ganga,9,1.0,0,18.0
CR Ervine,113,17.0,0,10.0
XM Marshall,18,4.0,0,15.0
IR Bell,959,139.0,0,13.0
A Symonds,34,6.0,0,8.0
Javed Ahmadi,96,15.0,0,9.0
Tabarak Dar,16,3.0,0,13.0
Umar Gul,7,1.0,0,7.0
HDRL Thirimanne,307,42.0,0,12.0
D Elgar,4,1.0,0,7.0
Saqib Ali,0,1.0,0,5.0
H Masakadza,738,111.0,0,12.0
AM Samad,45,7.0,0,13.0
LOB Cann,4,2.0,0,4.0
DF Watts,39,4.0,0,15.0
R Mutumbami,85,13.0,0,11.0
Nawroz Mangal,58,8.0,0,8.0
JH Kallis,466,76.0,0,10.0
LRPL Taylor,297,41.0,0,8.0
CH Gayle,1086,187.0,0,13.0
MDKJ Perera,324,44.0,0,12.0
IJL Trott,302,42.0,0,12.0
CJ Anderson,9,1.0,0,6.0
DPMD Jayawardene,697,91.0,0,10.0
AS Hansra,10,1.0,0,9.0
PG Fulton,141,19.0,0,12.0
JH Davey,20,2.0,0,13.0
LM Jongwe,22,3.0,0,21.0
KOA Powell,185,30.0,0,10.0
Mahmudullah,105,13.0,0,13.0
DJG Sammy,20,3.0,0,10.0
JR Hopes,41,6.0,0,10.0
T Maruma,13,2.0,0,8.0
E Chigumbura,38,6.0,0,8.0
KP Pietersen,466,71.0,0,11.0
DO Obuya,57,9.0,0,10.0
CJ Ferguson,24,4.0,0,10.0
Rashid Khan,9,2.0,0,5.0
DL Vettori,19,2.0,0,13.0
Samiullah Shenwari,19,2.0,0,8.0
CAK Walton,10,1.0,0,10.0
SR Waters,22,2.0,0,11.0
LD Chandimal,142,14.0,0,10.0
SMA Priyanjan,21,4.0,0,14.0
JP Duminy,136,23.0,0,10.0
LJ Wright,20,3.0,0,9.0
DJ Hussey,29,3.0,0,7.0
PD Collingwood,86,14.0,0,9.0
Asad Shafiq,100,12.0,0,10.0
