Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Runs Made,Team,Home
V Sehwag,8.0,4.0,4.0,15,0.0,0,21.0,1,16,7,256,236,India,0
R Dravid,0.0,0.0,0.0,0,0.0,0,21.0,1,16,7,256,236,India,0
RR Sarwan,9.0,8.0,1.0,8,0.0,0,19.0,1,12,6,0,241,West Indies,1
S Chanderpaul,8.0,4.0,4.0,19,0.0,0,19.0,1,12,6,0,241,West Indies,1
Mohammad Yousuf,0.0,0.0,0.0,0,0.0,0,20.0,2,4,11,242,187,Pakistan,0
Mohammad Hafeez,5.0,4.0,1.0,14,0.0,0,20.0,2,4,11,242,187,Pakistan,0
EJG Morgan,2.0,0.0,2.0,8,0.0,0,15.0,1,16,9,0,221,Ireland,0
JP Bray,13.0,10.0,3.0,18,0.0,0,15.0,1,16,9,0,221,Ireland,0
NJ O'Brien,0.0,0.0,0.0,0,0.0,0,15.0,1,16,9,0,221,Ireland,0
T Duffin,12.0,8.0,4.0,17,0.0,0,23.0,0,16,6,222,221,Zimbabwe,0
V Sibanda,11.0,4.0,7.0,16,0.0,0,23.0,0,16,6,222,221,Zimbabwe,0
CJ Chibhabha,0.0,0.0,0.0,0,0.0,0,23.0,0,16,6,222,221,Zimbabwe,0
IR Bell,4.0,0.0,4.0,15,0.0,0,7.0,1,8,9,0,209,England,0
MP Vaughan,3.0,0.0,3.0,18,0.0,0,7.0,1,8,9,0,209,England,0
KP Pietersen,0.0,0.0,0.0,0,0.0,0,7.0,1,8,9,0,209,England,0
CD McMillan,0.0,0.0,0.0,0,0.0,0,16.0,3,12,12,210,210,New Zealand,0
SB Styris,9.0,8.0,1.0,12,0.0,0,16.0,3,12,12,210,210,New Zealand,0
RV Uthappa,3.0,0.0,3.0,8,0.0,0,7.0,1,4,5,0,191,India,0
SC Ganguly,2.0,0.0,2.0,21,0.0,0,7.0,1,4,5,0,191,India,0
SR Tendulkar,0.0,0.0,0.0,0,0.0,0,7.0,1,4,5,0,191,India,0
Tamim Iqbal,14.0,8.0,6.0,20,0.0,0,16.0,1,14,6,192,192,Bangladesh,0
Mushfiqur Rahim,0.0,0.0,0.0,4,0.0,0,16.0,1,14,6,192,192,Bangladesh,0
Imran Nazir,11.0,4.0,7.0,21,0.0,0,19.0,2,4,6,0,132,Pakistan,0
Mohammad Yousuf,4.0,4.0,0.0,4,0.0,0,19.0,2,4,6,0,132,Pakistan,0
