Batsman,Total Runs Scored,Home Run Hitting Ability,Home Runs,Non Home Runs,Number of Milestones Reached,Average Balls Faced,Team
D Ramdin,1575,143.0,622,953,8.0,23.6463414634,West Indies
DJG Sammy,1826,225.0,1066,760,9.0,19.05,West Indies
JE Taylor,216,28.0,120,96,0,8.35483870968,West Indies
JEC Franklin,973,87.0,372,601,4.0,24.1346153846,New Zealand
LJ Wright,655,73.0,324,331,1.0,21.0526315789,England
RR Rossouw,817,99.0,434,383,6.0,33.6923076923,South Africa
MS Atapattu,269,29.0,116,153,0,36.5454545455,Sri Lanka
Junaid Siddique,861,93.0,386,475,5.0,29.3488372093,Bangladesh
Liton Das,46,6.0,28,18,0,11.0,Bangladesh
MKDI Amerasinghe,5,1.0,4,1,0,2.33333333333,Sri Lanka
KAJ Roach,216,20.0,86,130,0,11.2368421053,West Indies
Ehsan Adil,22,2.0,8,14,0,11.0,Pakistan
HH Dippenaar,110,9.0,36,74,1.0,40.6,South Africa
GP Swann,474,50.0,208,266,0,11.3695652174,England
Adnan Akmal,62,3.0,12,50,0,23.0,Pakistan
Naved-ul-Hasan,231,23.0,110,121,0,13.6,Pakistan
RS Bopara,2617,231.0,990,1627,15.0,33.125,England
Mohammed Shami,108,13.0,64,44,0,6.42105263158,India
Haris Sohail,704,65.0,280,424,6.0,43.55,Pakistan
Shoaib Malik,2813,272.0,1168,1645,19.0,35.2448979592,Pakistan
Nasir Jamshed,1394,167.0,706,688,11.0,40.9347826087,Pakistan
Shuvagoto Hom,70,9.0,36,34,0,29.3333333333,Bangladesh
RW Price,258,24.0,104,154,0,12.5277777778,Zimbabwe
DC Thomas,225,20.0,84,141,0,20.2777777778,West Indies
MP Vaughan,206,26.0,108,98,1.0,31.0,England
WD Parnell,364,34.0,146,218,1.0,21.1739130435,South Africa
TT Bresnan,871,96.0,398,473,1.0,15.619047619,England
MS Wade,1038,95.0,414,624,6.0,25.9803921569,Australia
CK Langeveldt,66,8.0,32,34,0,7.92857142857,South Africa
DAJ Bracewell,59,3.0,12,47,0,12.8571428571,New Zealand
KD Mills,759,90.0,420,339,2.0,14.1694915254,New Zealand
UT Yadav,52,8.0,34,18,0,6.13333333333,India
Dolar Mahmud,41,7.0,34,7,0,11.6666666667,Bangladesh
JWM Dalrymple,458,34.0,142,316,2.0,25.75,England
KMDN Kulasekara,1180,121.0,558,622,4.0,14.58,Sri Lanka
K Weeraratne,38,3.0,12,26,0,19.5,Sri Lanka
UT Khawaja,108,14.0,60,48,1.0,25.6,Australia
Suhrawadi Shuvo,98,10.0,42,56,0,13.8,Bangladesh
RR Sarwan,1836,178.0,748,1088,14.0,42.1746031746,West Indies
CA Pujara,24,2.0,8,16,0,17.25,India
WB Rankin,38,1.0,4,34,0,8.58333333333,Ireland
Arafat Sunny,48,5.0,20,28,0,9.4,Bangladesh
Q de Kock,2112,277.0,1166,946,13.0,42.8703703704,South Africa
Yasir Hameed,141,6.0,24,117,1.0,55.0,Pakistan
MJ Prior,1041,109.0,448,593,3.0,28.3541666667,England
TMK Mawoyo,58,4.0,16,42,0,23.7142857143,Zimbabwe
J Botha,474,45.0,184,290,0,14.0487804878,South Africa
DA Miller,1697,175.0,794,903,9.0,25.6470588235,South Africa
RT Ponting,4153,455.0,1892,2261,37.0,47.119266055,Australia
Zafar Gohar,15,1.0,6,9,0,15.0,Pakistan
Yasir Arafat,53,8.0,34,19,0,29.6666666667,Pakistan
MJ Clarke,4886,422.0,1742,3144,41.0,48.5294117647,Australia
Habibul Bashar,244,18.0,76,168,0,29.75,Bangladesh
GH Dockrell,145,14.0,62,83,0,13.0,Ireland
GJ Maxwell,1499,201.0,892,607,12.0,23.5849056604,Australia
RJ Nicol,585,66.0,290,295,4.0,39.85,New Zealand
RJ Peterson,458,47.0,196,262,1.0,18.8965517241,South Africa
MA Starc,110,9.0,40,70,0,12.0769230769,Australia
MR Marsh,840,94.0,422,418,7.0,33.8076923077,Australia
SJ Harmison,36,1.0,4,32,0,7.14285714286,England
J Lewis,43,4.0,16,27,0,7.0,England
R Rampaul,327,43.0,198,129,1.0,12.7878787879,West Indies
D Langford-Smith,79,8.0,36,43,0,9.33333333333,Ireland
BW Hilfenhaus,29,2.0,8,21,0,7.88888888889,Australia
KD Karthik,1214,138.0,576,638,6.0,30.1607142857,India
AG Prince,127,8.0,34,93,0,23.7142857143,South Africa
PA Browne,134,13.0,64,70,0,36.6,West Indies
JM Anderson,204,19.0,76,128,0,7.44230769231,England
RT Crandon,5,1.0,4,1,0,9.0,West Indies
PA Nixon,274,23.0,104,170,0,20.1764705882,England
Mohammad Amir,168,21.0,90,78,1.0,16.2857142857,Pakistan
S Randiv,254,27.0,110,144,1.0,22.6875,Sri Lanka
NM Lyon,12,2.0,10,2,0,3.0,Australia
TC Mutombodzi,25,3.0,16,9,0,8.66666666667,Zimbabwe
JP Faulkner,821,98.0,446,375,5.0,22.0294117647,Australia
RN Lewis,119,10.0,56,63,0,16.3333333333,West Indies
JL Carter,162,18.0,78,84,0,26.3636363636,West Indies
SR Clark,29,2.0,8,21,0,7.28571428571,Australia
F Behardien,703,67.0,298,405,3.0,23.2424242424,South Africa
P Mustard,219,30.0,130,89,1.0,27.1111111111,England
A Mishra,28,3.0,12,16,0,8.25,India
Nasir Hossain,1190,121.0,512,678,7.0,34.0681818182,Bangladesh
IG Butler,78,8.0,36,42,0,17.7142857143,New Zealand
TT Samaraweera,609,57.0,228,381,2.0,31.7307692308,Sri Lanka
JS Patel,84,7.0,32,52,0,14.0,New Zealand
FDM Karunaratne,107,8.0,32,75,0,16.5,Sri Lanka
SM Katich,56,7.0,30,26,0,37.0,Australia
Misbah-ul-Haq,4410,372.0,1622,2788,36.0,48.7222222222,Pakistan
DBL Powell,99,9.0,46,53,0,7.47058823529,West Indies
LS Baker,11,2.0,8,3,0,5.66666666667,West Indies
Shakib Al Hasan,3679,353.0,1470,2209,31.0,37.8536585366,Bangladesh
Shahriar Nafees,906,126.0,506,400,6.0,35.4324324324,Bangladesh
HJH Marshall,115,11.0,46,69,1.0,16.4,New Zealand
Javed Omar,146,16.0,68,78,1.0,50.6666666667,Bangladesh
KS Williamson,3531,354.0,1474,2057,32.0,51.9390243902,New Zealand
GA Lamb,169,4.0,16,153,0,30.5,Zimbabwe
K Rabada,50,6.0,24,26,0,12.3333333333,South Africa
Asad Ali,13,1.0,6,7,0,8.0,Pakistan
LPC Silva,1171,115.0,478,693,11.0,37.4666666667,Sri Lanka
P Utseya,899,64.0,272,627,2.0,21.1842105263,Zimbabwe
AJ Ireland,11,1.0,4,7,0,12.4,Zimbabwe
KM Jarvis,45,4.0,16,29,0,10.3333333333,Zimbabwe
GJ Hopkins,236,21.0,88,148,0,19.8125,New Zealand
AR Patel,90,9.0,46,44,0,6.64285714286,India
TL Chatara,99,12.0,52,47,0,10.1764705882,Zimbabwe
L Ronchi,1133,149.0,672,461,4.0,19.2352941176,Australia
WPUJC Vaas,226,17.0,70,156,0,13.0769230769,Sri Lanka
BJ Haddin,2548,299.0,1318,1230,14.0,32.9052631579,Australia
XJ Doherty,91,4.0,18,73,0,8.2380952381,Australia
AN Cook,3146,367.0,1488,1658,24.0,47.3181818182,England
BC Lara,822,94.0,408,414,5.0,38.75,West Indies
PJ Hughes,814,95.0,390,424,6.0,51.8571428571,Australia
JF Mooney,289,31.0,130,159,0,18.9047619048,Ireland
PA Patel,509,61.0,258,251,3.0,27.8695652174,India
A Mithun,51,6.0,32,19,0,19.0,India
CJ Jordan,148,15.0,66,82,0,9.77777777778,England
Mohammad Sami,65,7.0,30,35,0,28.25,Pakistan
MB Loye,142,24.0,106,36,0,27.1428571429,England
BM Wheeler,58,7.0,34,24,0,11.75,New Zealand
Jubair Hossain,5,1.0,4,1,0,10.0,Bangladesh
T Taibu,1617,130.0,556,1061,14.0,41.4,Zimbabwe
Litton Das,78,8.0,32,46,0,35.0,Bangladesh
MD Bates,13,2.0,10,3,0,10.0,New Zealand
SMSM Senanayake,276,34.0,146,130,0,9.90625,Sri Lanka
KTGD Prasad,112,12.0,54,58,0,11.6666666667,Sri Lanka
AM Ellis,154,12.0,52,102,0,15.75,New Zealand
AB de Villiers,7602,813.0,3560,4042,65.0,47.7701863354,South Africa
A Nel,115,16.0,70,45,0,9.4,South Africa
Aamer Yamin,63,9.0,44,19,1.0,36.5,Pakistan
JE Root,2542,225.0,952,1590,20.0,50.0,England
LR Johnson,19,3.0,14,5,0,21.6666666667,West Indies
GJ Batty,24,1.0,4,20,0,18.3333333333,England
Salman Butt,1653,212.0,860,793,15.0,53.7435897436,Pakistan
DT Johnston,272,28.0,128,144,0,16.4090909091,Ireland
BV Vitori,63,9.0,44,19,0,7.3,Zimbabwe
TM Dilshan,7712,925.0,3786,3926,55.0,44.5970149254,Sri Lanka
KJ O'Brien,763,90.0,400,363,2.0,28.1764705882,Ireland
RG Sharma,4814,513.0,2272,2542,36.0,43.2313432836,India
Iftikhar Ahmed,8,1.0,4,4,0,15.5,Pakistan
DR Flynn,167,20.0,82,85,0,24.7,New Zealand
Sami Aslam,45,7.0,28,17,0,52.0,Pakistan
A Nehra,54,5.0,22,32,0,6.57894736842,India
Harbhajan Singh,610,55.0,260,350,0,13.0655737705,India
KDK Vithanage,75,11.0,44,31,0,15.3333333333,Sri Lanka
Umar Amin,266,30.0,124,142,1.0,28.0,Pakistan
JO Holder,372,47.0,216,156,2.0,17.2727272727,West Indies
SS Pathirana,66,7.0,32,34,0,25.3333333333,Sri Lanka
Umar Akmal,2613,263.0,1134,1479,19.0,33.2210526316,Pakistan
M Kaif,215,16.0,64,151,2.0,38.8888888889,India
MH Yardy,326,21.0,86,240,2.0,20.4166666667,England
Sohail Khan,25,2.0,8,17,0,8.66666666667,Pakistan
PJ Cummins,34,4.0,16,18,0,9.0,Australia
JC Tredwell,163,13.0,60,103,0,9.88,England
Imrul Kayes,1392,159.0,678,714,11.0,41.2641509434,Bangladesh
MN Samuels,3257,386.0,1700,1557,24.0,42.3980582524,West Indies
VS Solanki,54,4.0,18,36,0,26.5,England
MK Pandey,181,15.0,64,117,2.0,58.6666666667,India
SF Mire,189,19.0,88,101,2.0,32.0,Zimbabwe
AD Hales,925,116.0,494,431,8.0,40.0740740741,England
STR Binny,205,24.0,106,99,1.0,21.4,India
Dhiman Ghosh,124,10.0,42,82,0,18.6363636364,Bangladesh
TJ Murtagh,41,5.0,20,21,0,8.8,Ireland
T Kamungozi,25,5.0,20,5,0,6.22222222222,Zimbabwe
DR Smith,899,125.0,562,337,6.0,21.24,West Indies
BB McCullum,4306,574.0,2604,1702,29.0,30.3888888889,New Zealand
AB Agarkar,92,5.0,20,72,0,12.875,India
SK Raina,4944,532.0,2348,2596,37.0,31.4561403509,India
BA Stokes,685,76.0,336,349,4.0,22.3823529412,England
S Sreesanth,40,2.0,8,32,0,7.5,India
P Kumar,290,32.0,142,148,1.0,10.5,India
OA Shah,1503,144.0,626,877,11.0,40.2391304348,England
JL Ontong,67,8.0,32,35,0,29.3333333333,South Africa
Azhar Ali,1157,115.0,474,683,9.0,52.3,Pakistan
V Kohli,7109,737.0,3096,4013,60.0,50.9367088608,India
SE Findlay,88,11.0,48,40,1.0,35.0,West Indies
WP Saha,25,3.0,12,13,0,9.25,India
