Batsman,Total Runs Scored,Home Runs,Milestones Reached, avg Balls Faced
JA Morkel,199,30.0,0,8.0
T Thushara,124,12.0,0,7.0
V Sehwag,16,3.0,0,7.0
SC Williams,143,17.0,0,8.0
DE Bernard,12,1.0,0,9.0
WK McCallan,22,2.0,0,6.0
LE Plunkett,149,14.0,0,7.0
S Mukuddem,26,2.0,0,13.0
RK Whelan,5,1.0,0,5.0
Shaiman Anwar,32,2.0,0,13.0
MJ Guptill,148,25.0,1.0,13.0
Najibullah Zadran,36,8.0,0,13.0
GB Hogg,86,8.0,0,7.0
CT Tremlett,32,3.0,0,5.0
PA Hitchcock,10,1.0,0,11.0
CK Kapugedera,113,11.0,0,8.0
N Deonarine,30,2.0,0,10.0
MC Sorensen,43,5.0,0,9.0
NW Bracken,66,4.0,0,5.0
SR Patel,127,16.0,0,12.0
Rubel Hossain,33,2.0,0,3.0
Ziaur Rahman,31,4.0,0,7.0
CK Coventry,41,6.0,0,11.0
MJ Santner,117,15.0,0,13.0
CR Ervine,76,13.0,0,8.0
A Symonds,132,16.0,0,8.0
KM Dabengwa,75,8.0,0,6.0
Saeed Ajmal,155,14.0,0,4.0
Umar Gul,162,17.0,0,5.0
HDRL Thirimanne,145,18.0,0,7.0
D Elgar,12,2.0,0,5.0
Abdur Rehman,63,7.0,0,5.0
H Masakadza,20,2.0,0,11.0
KO Meth,19,3.0,0,5.0
B Lee,226,18.0,0,6.0
R Mutumbami,28,6.0,0,10.0
PP Ojha,13,1.0,0,8.0
TWM Latham,73,11.0,0,9.0
Nawroz Mangal,20,4.0,0,9.0
JH Kallis,160,20.0,0,11.0
MM Patel,36,4.0,0,3.0
DE Bollinger,19,2.0,0,3.0
LRPL Taylor,421,62.0,2.0,11.0
CH Gayle,19,3.0,0,12.0
PC de Silva,6,1.0,0,4.0
Mohammad Yousuf,127,13.0,0,9.0
Khurram Chohan,46,4.0,0,10.0
AF Buurman,4,1.0,0,17.0
SJ Benn,44,5.0,0,5.0
IJL Trott,88,7.0,0,9.0
BAW Mendis,131,16.0,0,5.0
PD McGlashan,6,1.0,0,5.0
RJ Sidebottom,57,4.0,0,7.0
CJ Anderson,93,11.0,0,11.0
DPMD Jayawardene,186,31.0,0,6.0
AS Hansra,17,3.0,0,16.0
ST Finn,25,2.0,0,4.0
JAR Blain,19,2.0,0,6.0
JH Davey,27,2.0,0,10.0
SL Malinga,173,21.0,0,4.0
LM Jongwe,27,3.0,0,6.0
Abdur Razzak,265,27.0,0,7.0
Mahmudullah,505,56.0,0,9.0
DJG Sammy,580,79.0,1.0,9.0
JR Hopes,383,42.0,0,9.0
T Maruma,22,2.0,0,6.0
E Chigumbura,420,49.0,0,10.0
KP Pietersen,152,18.0,0,9.0
VD Philander,74,10.0,0,6.0
Yasir Arafat,6,1.0,0,6.0
Rashid Khan,25,4.0,0,6.0
DL Vettori,176,20.0,0,6.0
Samiullah Shenwari,153,21.0,0,10.0
Shapoor Zadran,22,2.0,0,5.0
Syed Rasel,25,1.0,0,6.0
JDS Neesham,67,8.0,0,9.0
RA Jadeja,503,59.0,0,9.0
LD Chandimal,149,15.0,0,8.0
BMAJ Mendis,124,11.0,0,7.0
SMA Priyanjan,39,5.0,0,6.0
JP Duminy,633,72.0,0,10.0
NO Miller,43,5.0,0,3.0
RJ Trott,11,1.0,0,9.0
DJ Hussey,241,28.0,0,9.0
MG Johnson,475,61.0,0,6.0
Zulqarnain Haider,19,1.0,0,12.0
SM Pollock,127,12.0,0,5.0
PD Collingwood,255,29.0,0,9.0
CH Morris,23,4.0,0,6.0
AJ Hall,66,6.0,0,11.0
Sikandar Raza,154,16.0,0,11.0
IK Pathan,157,15.0,0,7.0
M Morkel,114,13.0,0,5.0
ST Jayasuriya,24,4.0,0,9.0
CJ Chibhabha,28,4.0,0,10.0
N Madziva,22,3.0,0,5.0
D Wiese,21,3.0,0,8.0
AC Evans,29,3.0,0,11.0
Aizaz Cheema,19,2.0,0,6.0
Mirwais Ashraf,60,9.0,0,5.0
DR Martyn,6,1.0,0,3.0
Raees Ahmadzai,6,1.0,0,6.0
JW Hastings,102,14.0,0,6.0
G Chapple,13,2.0,0,7.0
JWA Taylor,22,2.0,0,6.0
HMCM Bandara,45,6.0,0,8.0
Naeem Islam,184,21.0,0,9.0
LMP Simmons,54,6.0,0,8.0
K Karate,6,2.0,0,12.0
RE van der Merwe,19,3.0,0,4.0
EC Joyce,43,6.0,0,7.0
Mushfiqur Rahim,307,41.0,0,10.0
Mohammad Ashraful,42,6.0,0,9.0
Sohag Gazi,75,9.0,0,8.0
AR Cusack,24,2.0,0,5.0
PJ Moor,5,1.0,0,4.0
KA Pollard,242,33.0,0,9.0
MJ Henry,73,10.0,0,9.0
SR Watson,212,29.0,1.0,10.0
NLTC Perera,439,60.0,0,7.0
Gurkeerat Singh,8,1.0,0,7.0
SO Ngoche,9,1.0,0,5.0
R McLaren,161,21.0,0,7.0
KJ Abbott,30,2.0,0,7.0
VR Aaron,8,1.0,0,5.0
JC Buttler,453,65.0,1.0,11.0
N Mushangwe,15,2.0,0,8.0
GC Smith,8,2.0,0,2.0
RV Uthappa,136,21.0,0,10.0
Inzamam-ul-Haq,15,2.0,0,4.0
MEK Hussey,696,84.0,0,8.0
AM Phangiso,33,2.0,0,5.0
JDP Oram,315,42.0,1.0,11.0
MJ McClenaghan,55,7.0,0,6.0
Asghar Stanikzai,61,10.0,0,13.0
SS Tiwary,32,6.0,0,12.0
NM Coulter-Nile,34,3.0,0,8.0
DJ Bravo,287,37.0,0,8.0
BJ Hodge,81,9.0,0,12.0
DJ Willey,35,2.0,0,7.0
HM Amla,84,10.0,0,8.0
AR McBrine,30,4.0,0,9.0
