Batsman,Total Runs Scored,Home Runs,Milestones Reached, avg Balls Faced
JA Morkel,45,7.0,0,11.0
Nasir Aziz,9,2.0,0,17.0
T Thushara,16,3.0,0,15.0
V Sehwag,288,31.0,0,13.0
KA Edwards,29,2.0,0,10.0
SC Williams,355,28.0,0,11.0
DE Bernard,14,1.0,0,16.0
WK McCallan,17,1.0,0,8.0
Gulbodin Naib,23,3.0,0,13.0
Shaiman Anwar,39,3.0,0,11.0
SD Outerbridge,10,1.0,0,14.0
MJ Guptill,475,50.0,0,12.0
Najibullah Zadran,56,9.0,0,12.0
GB Hogg,17,1.0,0,11.0
Usman Limbada,14,1.0,0,10.0
CK Kapugedera,176,15.0,0,12.0
RR Watson,31,5.0,0,10.0
N Deonarine,47,3.0,0,13.0
CR Brathwaite,18,2.0,0,5.0
ML Udawatte,11,1.0,0,18.0
DLS van Bunge,18,2.0,0,19.0
MM Iqbal,16,1.0,0,13.0
CK Coventry,40,4.0,0,12.0
D Mongia,24,2.0,0,14.0
MJ Santner,11,1.0,0,13.0
Mohammad Shahzad (2),11,1.0,0,8.0
CR Ervine,153,13.0,0,10.0
ME Trescothick,45,3.0,0,14.0
A Symonds,122,9.0,0,9.0
KW Richardson,19,3.0,0,13.0
HDRL Thirimanne,313,25.0,0,13.0
MBS Jonkman,8,1.0,0,15.0
D Elgar,12,1.0,0,13.0
H Masakadza,363,33.0,0,12.0
AM Samad,38,3.0,0,13.0
LOB Cann,61,12.0,0,11.0
DF Watts,23,2.0,0,10.0
R Mutumbami,39,5.0,0,13.0
TWM Latham,111,10.0,0,13.0
Nawroz Mangal,41,3.0,0,9.0
JH Kallis,449,28.0,0,13.0
Babar Hayat,19,2.0,0,15.0
LRPL Taylor,720,62.0,0,12.0
CH Gayle,195,15.0,0,11.0
MDKJ Perera,80,7.0,0,12.0
IJL Trott,387,17.0,0,13.0
BAW Mendis,20,2.0,0,20.0
CJ Anderson,117,16.0,0,9.0
Hammad Azam,13,2.0,0,13.0
DPMD Jayawardene,880,71.0,0,12.0
AS Hansra,49,3.0,0,14.0
PG Fulton,126,9.0,0,12.0
JH Davey,19,1.0,0,13.0
SL Malinga,40,6.0,0,6.0
KOA Powell,77,7.0,0,14.0
Abdur Razzak,18,1.0,0,10.0
Qaiser Ali,8,1.0,0,6.0
DJG Sammy,109,11.0,0,9.0
JR Hopes,2,1.0,0,2.0
T Maruma,11,1.0,0,8.0
E Chigumbura,251,23.0,0,10.0
KP Pietersen,372,30.0,0,11.0
CJ Ferguson,44,3.0,0,8.0
DL Vettori,95,6.0,0,7.0
Samiullah Shenwari,85,9.0,0,12.0
GW Flower,7,1.0,0,8.0
RA Jadeja,90,7.0,0,13.0
LD Chandimal,400,31.0,0,13.0
SMA Priyanjan,30,4.0,0,10.0
JP Duminy,452,34.0,0,12.0
NO Miller,11,1.0,0,16.0
LJ Wright,30,1.0,0,10.0
DJ Hussey,180,17.0,0,10.0
MG Johnson,35,4.0,0,12.0
SM Pollock,35,4.0,0,10.0
PD Collingwood,441,40.0,0,11.0
Asad Shafiq,228,16.0,0,13.0
PJ Forrest,45,4.0,0,12.0
Sikandar Raza,102,11.0,0,15.0
IK Pathan,52,6.0,0,17.0
AC Gilchrist,73,9.0,0,14.0
ST Jayasuriya,175,20.0,0,14.0
CJ Chibhabha,169,14.0,0,11.0
Tamim Iqbal,370,37.0,0,12.0
JM How,91,10.0,0,13.0
DR Martyn,45,3.0,0,13.0
Sohaib Maqsood,114,10.0,0,10.0
JW Hastings,8,2.0,0,9.0
JWA Taylor,132,10.0,0,13.0
Karim Sadiq,18,1.0,0,14.0
LMP Simmons,215,15.0,0,12.0
EC Joyce,194,20.0,0,14.0
Mushfiqur Rahim,521,42.0,0,11.0
Mohammad Ashraful,217,17.0,0,12.0
Sohag Gazi,9,1.0,0,15.0
AR Cusack,41,4.0,0,9.0
Farhad Reza,69,11.0,0,9.0
TD Paine,30,2.0,0,15.0
PJ Moor,4,1.0,0,10.0
IS Billcliff,11,1.0,0,13.0
KA Pollard,308,34.0,0,11.0
SM Davies,16,2.0,0,12.0
CT Mutombodzi,31,4.0,0,17.0
SR Watson,495,53.0,1.0,13.0
NLTC Perera,42,5.0,0,10.0
JC Buttler,181,21.0,0,10.0
KM Dabengwa,39,4.0,0,10.0
GC Smith,312,29.0,0,13.0
MK Tiwary,57,6.0,0,12.0
Inzamam-ul-Haq,64,7.0,0,15.0
MEK Hussey,397,26.0,0,10.0
MM Ali,35,3.0,0,11.0
JDP Oram,70,7.0,0,8.0
Asghar Stanikzai,49,1.0,0,12.0
DJ Bravo,255,20.0,0,9.0
BJ Hodge,44,4.0,0,12.0
HM Amla,558,38.0,0,12.0
AA Mulla,14,2.0,0,18.0
GJ Bailey,308,25.0,0,12.0
JP Bray,26,4.0,0,13.0
Umair Ali,7,1.0,0,6.0
R Dravid,218,20.0,0,14.0
PL Mommsen,72,9.0,0,11.0
RR Rossouw,106,11.0,0,13.0
GA Rogers,6,1.0,0,6.0
SHT Kandamby,100,4.0,0,12.0
SB Styris,219,10.0,0,11.0
TLW Cooper,44,3.0,0,14.0
Raqibul Hasan,212,16.0,0,14.0
Fawad Alam,134,5.0,0,11.0
JM Kemp,93,9.0,0,14.0
WTS Porterfield,133,9.0,0,12.0
Yuvraj Singh,588,68.0,0,13.0
Mohammad Nabi,106,8.0,0,11.0
Tushar Imran,8,1.0,0,16.0
DS Smith,82,5.0,0,15.0
SW Masakadza,8,1.0,0,9.0
MS Dhoni,660,39.0,0,11.0
TM Dilshan,706,62.0,0,12.0
AJ Strauss,180,12.0,0,12.0
Nasir Jamal,29,2.0,0,14.0
SCJ Broad,6,1.0,0,2.0
Saad Nasim,8,1.0,0,17.0
Afsar Zazai,27,1.0,0,12.0
NJ O'Brien,140,10.0,0,10.0
A Balbirnie,58,5.0,0,14.0
BA Parchment,10,1.0,0,21.0
Mohammad Yousuf,326,20.0,0,12.0
Z Khan,9,1.0,0,6.0
Ahmed Shehzad,227,17.0,0,12.0
SR Thompson,21,2.0,0,6.0
AD Russell,90,13.0,0,10.0
Babar Azam,62,7.0,0,10.0
ADS Fletcher,23,1.0,0,11.0
R Ashwin,36,4.0,0,7.0
PR Stirling,88,14.0,0,14.0
CL White,245,22.0,0,12.0
YK Pathan,53,5.0,0,6.0
Imran Nazir,11,1.0,0,12.0
Imran Farhat,88,8.0,0,10.0
CMW Read,4,1.0,0,6.0
AM Rahane,251,25.0,0,12.0
F Mutizwa,35,3.0,0,11.0
W Barresi,44,6.0,0,9.0
Abdul Shakoor,6,1.0,0,11.0
AU Rashid,24,4.0,0,11.0
KM Jadhav,7,1.0,0,9.0
Mashrafe Mortaza,50,8.0,0,10.0
CD McMillan,53,7.0,0,9.0
MA Wood,9,2.0,0,14.0
JPR Lamsam,4,1.0,0,5.0
DP Hyatt,18,2.0,0,19.0
SC Ganguly,125,8.0,0,13.0
Mohammad Naveed,0,1.0,0,7.0
AP Devcich,7,1.0,0,13.0
V Sibanda,129,11.0,0,10.0
Aftab Ahmed,110,9.0,0,13.0
C Kieswetter,67,8.0,0,10.0
Abdul Razzaq,21,1.0,0,13.0
FRJ Coleman,35,6.0,0,14.0
MA Carberry,14,1.0,0,14.0
HM Nicholls,48,6.0,0,10.0
J Edness,15,3.0,0,10.0
DM Bravo,279,26.0,0,11.0
GD Elliott,220,16.0,0,11.0
Mohammad Hafeez,476,44.0,0,14.0
MW Machan,66,3.0,0,11.0
Khurram Khan,63,3.0,0,13.0
GH Bodi,12,2.0,0,16.0
S Matsikenyeri,78,6.0,0,9.0
PP Chawla,7,1.0,0,7.0
CS Baugh,14,1.0,0,9.0
Haris Sohail,81,4.0,0,10.0
S Dhawan,444,63.0,0,13.0
JM Bairstow,40,6.0,0,7.0
PVD Chameera,6,1.0,0,11.0
TG Southee,10,2.0,0,3.0
SE Marsh,212,17.0,0,13.0
AD Mascarenhas,18,3.0,0,9.0
BRM Taylor,411,37.0,0,11.0
CA Ingram,77,6.0,0,13.0
TM Dowlin,33,2.0,0,14.0
MV Boucher,92,5.0,0,11.0
ES Szwarczynski,36,4.0,0,12.0
Adeel Raja,6,1.0,0,10.0
AD Mathews,306,27.0,0,11.0
T Duffin,10,1.0,0,15.0
NT Broom,42,2.0,0,9.0
KJ Coetzer,39,6.0,0,9.0
Mominul Haque,67,8.0,0,10.0
AN Kervezee,16,3.0,0,16.0
GC Wilson,94,9.0,0,11.0
SR Patel,29,2.0,0,8.0
Hashmatullah Shahidi,21,1.0,0,17.0
Salman Butt,135,10.0,0,12.0
SI Mahmood,4,1.0,0,6.0
NJ Astle,20,1.0,0,9.0
RW Chakabva,56,3.0,0,11.0
S Chanderpaul,243,11.0,0,10.0
FL Reifer,8,1.0,0,18.0
J Mubarak,42,2.0,0,10.0
TAM Siriwardana,11,1.0,0,6.0
A Bagai,93,9.0,0,13.0
DA Miller,172,14.0,0,11.0
SP Patil,7,1.0,0,7.0
KC Sangakkara,1078,68.0,0,12.0
Irfan Ahmed,9,3.0,0,18.0
AT Rayudu,155,19.0,0,13.0
SR Tendulkar,356,36.0,0,12.0
RK Kleinveldt,6,1.0,0,10.0
NFI McCallum,47,7.0,0,12.0
DM Richards,18,2.0,0,15.0
GM Hamilton,20,3.0,0,15.0
L Vincent,51,2.0,0,13.0
Younis Khan,533,46.0,0,12.0
AB Barath,27,2.0,0,15.0
MN van Wyk,42,4.0,0,14.0
F du Plessis,310,23.0,0,13.0
WU Tharanga,419,38.0,0,14.0
AN Petersen,40,3.0,0,11.0
AC Botha,51,6.0,0,12.0
Noor Ali Zadran,35,3.0,0,16.0
JJ Tucker,13,1.0,0,10.0
NL McCullum,122,17.0,0,8.0
DL Hemp,35,6.0,0,13.0
IA Karim,19,1.0,0,14.0
A Flintoff,37,3.0,0,8.0
J Charles,86,12.0,0,10.0
G Gambhir,482,31.0,0,12.0
DT Johnston,17,1.0,0,8.0
Faisal Iqbal,9,1.0,0,18.0
Sarfraz Ahmed,62,3.0,0,9.0
S Chattergoon,8,1.0,0,7.0
CR Woakes,13,1.0,0,4.0
Naeem Islam,78,8.0,0,10.0
Anamul Haque,91,8.0,0,14.0
RS Morton,55,3.0,0,12.0
KJ O'Brien,138,15.0,0,8.0
CJO Smith,21,2.0,0,10.0
Sabbir Rahman,25,2.0,0,10.0
PW Borren,42,7.0,0,9.0
R Clarke,7,1.0,0,8.0
JD Ryder,38,1.0,0,10.0
RV Uthappa,40,4.0,0,7.0
TC Bastiampillai,6,1.0,0,19.0
MA Starc,14,2.0,0,10.0
AG Cremer,41,4.0,0,14.0
AJ Finch,207,20.0,0,14.0
ML Hayden,207,19.0,0,12.0
AR White,30,4.0,0,9.0
Shahid Afridi,165,16.0,0,6.0
LL Tsotsobe,4,1.0,0,10.0
JK Kamande,20,2.0,0,12.0
SP Fleming,90,10.0,0,13.0
AD Poynter,15,1.0,0,13.0
PM Seelaar,8,1.0,0,13.0
JJ Roy,13,1.0,0,15.0
Mohammad Rizwan,26,3.0,0,9.0
CO Obuya,85,10.0,0,9.0
BJ Watling,64,8.0,0,16.0
Kamran Akmal,120,13.0,0,8.0
SPD Smith,193,11.0,0,11.0
IR Bell,544,33.0,0,13.0
JJ Atkinson,17,2.0,0,11.0
MF Maharoof,9,1.0,0,11.0
Mahmudullah,175,17.0,0,10.0
Mudassar Bukhari,17,2.0,0,17.0
D Ramdin,207,16.0,0,9.0
ND McKenzie,13,2.0,0,17.0
JEC Franklin,106,9.0,0,14.0
Jahurul Islam,31,3.0,0,12.0
Junaid Siddique,65,3.0,0,9.0
S Dhaniram,27,2.0,0,16.0
Mohammad Shahzad,99,15.0,0,16.0
HH Dippenaar,22,1.0,0,13.0
GP Swann,10,2.0,0,8.0
RS Bopara,290,23.0,0,11.0
Shoaib Malik,339,28.0,0,11.0
Nasir Jamshed,103,11.0,0,11.0
MA Ouma,34,5.0,0,10.0
R Gunasekera,35,2.0,0,10.0
MP Vaughan,17,1.0,0,9.0
Rizwan Cheema,29,6.0,0,9.0
TT Bresnan,20,3.0,0,8.0
MS Wade,66,2.0,0,9.0
D Daesrath,9,1.0,0,13.0
RD Berrington,63,6.0,0,11.0
KD Mills,29,6.0,0,6.0
UT Yadav,17,3.0,0,12.0
JWM Dalrymple,29,1.0,0,11.0
KMDN Kulasekara,42,4.0,0,11.0
RG Aga,19,3.0,0,8.0
RR Sarwan,330,27.0,0,13.0
Q de Kock,228,27.0,0,14.0
Yasir Hameed,21,1.0,0,14.0
MJ Prior,85,5.0,0,10.0
DA Warner,183,16.0,0,12.0
LP van Troost,9,1.0,0,12.0
RT Ponting,618,55.0,0,13.0
Yasir Arafat,15,4.0,0,17.0
MJ Clarke,733,51.0,0,12.0
Habibul Bashar,21,1.0,0,7.0
RR Patel,13,1.0,0,10.0
IH Romaine,10,1.0,0,11.0
Krishna Chandran,8,1.0,0,12.0
GH Dockrell,4,1.0,0,5.0
GJ Maxwell,139,17.0,0,11.0
L Sreekumar,5,1.0,0,10.0
RJ Nicol,60,4.0,0,12.0
KAD Hurdle,6,1.0,0,3.0
RJ Peterson,40,3.0,0,15.0
SO Tikolo,97,12.0,0,10.0
JM Davison,10,1.0,0,6.0
T Mishra,56,4.0,0,13.0
MR Marsh,75,8.0,0,13.0
MN Waller,87,8.0,0,10.0
D Langford-Smith,19,3.0,0,12.0
RN ten Doeschate,79,10.0,0,13.0
KD Karthik,94,9.0,0,11.0
AG Prince,25,1.0,0,9.0
PA Browne,12,2.0,0,17.0
JM Anderson,8,1.0,0,10.0
PA Nixon,8,1.0,0,13.0
Raza-ur-Rehman,15,1.0,0,14.0
JDS Neesham,34,2.0,0,8.0
S Randiv,34,2.0,0,14.0
JP Faulkner,20,3.0,0,6.0
AJ Redmond,11,1.0,0,26.0
JL Carter,32,3.0,0,7.0
F Behardien,40,4.0,0,9.0
NN Odhiambo,29,2.0,0,8.0
P Mustard,19,2.0,0,8.0
MS Chapman,15,1.0,0,14.0
Nasir Hossain,121,11.0,0,12.0
HH Gibbs,211,23.0,0,12.0
B Zuiderent,25,3.0,0,7.0
AL Kandappah,16,2.0,0,13.0
HJW Gardiner,23,2.0,0,14.0
CS MacLeod,32,2.0,0,16.0
JS Patel,6,1.0,0,7.0
AA Obanda,51,5.0,0,13.0
SM Katich,8,1.0,0,12.0
Misbah-ul-Haq,572,45.0,0,12.0
Shakib Al Hasan,581,53.0,0,11.0
Shahriar Nafees,63,8.0,0,13.0
MH Cross,9,1.0,0,5.0
Amjad Ali,45,4.0,0,14.0
Javed Omar,10,1.0,0,14.0
ZE Surkari,17,1.0,0,9.0
KS Williamson,499,42.0,0,12.0
Soumya Sarkar,81,12.0,0,11.0
LPC Silva,148,17.0,0,12.0
P Utseya,51,4.0,0,10.0
AJ Ireland,4,1.0,0,17.0
L Ronchi,93,12.0,0,9.0
BJ Haddin,172,20.0,0,12.0
XJ Doherty,5,1.0,0,12.0
AN Cook,240,15.0,0,12.0
BC Lara,80,10.0,0,11.0
RD Shah,26,5.0,0,19.0
PJ Hughes,85,7.0,0,14.0
JF Mooney,36,4.0,0,8.0
PA Patel,22,2.0,0,9.0
DT Christian,6,1.0,0,13.0
MR Swart,13,2.0,0,14.0
Mohammad Sami,7,1.0,0,13.0
T Taibu,311,27.0,0,13.0
SMSM Senanayake,12,1.0,0,5.0
AB de Villiers,972,70.0,0,12.0
Aamer Yamin,5,1.0,0,14.0
TM Odoyo,38,2.0,0,9.0
JE Root,383,30.0,0,13.0
AC Voges,68,2.0,0,14.0
GS Ballance,34,1.0,0,9.0
RG Sharma,546,42.0,0,12.0
EJG Morgan,588,57.0,0,12.0
DR Flynn,25,3.0,0,9.0
Harbhajan Singh,26,3.0,0,10.0
Umar Amin,7,1.0,0,7.0
JO Holder,82,10.0,0,8.0
Umar Akmal,307,19.0,0,10.0
M Kaif,21,1.0,0,13.0
MH Yardy,32,1.0,0,11.0
Hamza Tariq,16,2.0,0,25.0
DA Minors,22,4.0,0,9.0
Imrul Kayes,139,8.0,0,16.0
MN Samuels,416,44.0,0,12.0
MK Pandey,16,1.0,0,15.0
SF Mire,35,6.0,0,15.0
AD Hales,78,8.0,0,11.0
Dhiman Ghosh,26,3.0,0,7.0
MA Leask,26,5.0,0,7.0
DW Steyn,22,4.0,0,11.0
DR Smith,65,8.0,0,8.0
BB McCullum,241,20.0,0,10.0
SK Raina,569,55.0,0,11.0
BA Stokes,74,5.0,0,9.0
OA Shah,159,12.0,0,12.0
JL Ontong,13,1.0,0,16.0
Azhar Ali,95,3.0,0,11.0
V Kohli,880,59.0,0,13.0
SE Findlay,19,3.0,0,17.0
