Batsman,Total Runs Scored,Number of Home Runs,Number of Milestones Reached,Average Balls Faced,Team
JA Morkel,198,30.0,0,8.57142857143,South Africa
T Thushara,124,12.0,0,7.53846153846,Sri Lanka
V Sehwag,16,3.0,0,7.5,India
SC Williams,122,14.0,0,8.90909090909,Zimbabwe
DE Bernard,12,1.0,0,9.0,West Indies
WK McCallan,22,2.0,0,6.25,Ireland
LE Plunkett,149,14.0,0,7.0,England
RK Whelan,5,1.0,0,5.0,Ireland
MJ Guptill,148,25.0,1.0,13.2,New Zealand
GB Hogg,47,2.0,0,6.4,Australia
CT Tremlett,32,3.0,0,5.14285714286,England
PA Hitchcock,10,1.0,0,11.0,New Zealand
CK Kapugedera,111,11.0,0,9.33333333333,Sri Lanka
N Deonarine,30,2.0,0,10.0,West Indies
MC Sorensen,24,3.0,0,10.0,Ireland
NW Bracken,66,4.0,0,5.4,Australia
SR Patel,127,16.0,0,12.1428571429,England
Rubel Hossain,29,2.0,0,3.6875,Bangladesh
Ziaur Rahman,31,4.0,0,7.5,Bangladesh
CK Coventry,41,6.0,0,11.5,Zimbabwe
MJ Santner,117,15.0,0,13.8,New Zealand
CR Ervine,63,11.0,0,9.75,Zimbabwe
A Symonds,132,16.0,0,8.54545454545,Australia
KW Richardson,9,1.0,0,2.5,Australia
Umar Gul,142,15.0,0,4.96875,Pakistan
HDRL Thirimanne,145,18.0,0,7.73333333333,Sri Lanka
D Elgar,12,2.0,0,5.0,South Africa
Abdur Rehman,58,7.0,0,5.5,Pakistan
KO Meth,19,3.0,0,5.66666666667,Zimbabwe
B Lee,226,18.0,0,6.69696969697,Australia
R Mutumbami,28,6.0,0,10.0,Zimbabwe
PP Ojha,13,1.0,0,8.33333333333,India
TWM Latham,73,11.0,0,9.75,New Zealand
JH Kallis,160,20.0,0,11.6666666667,South Africa
MM Patel,36,4.0,0,3.21428571429,India
DE Bollinger,19,2.0,0,3.5,Australia
LRPL Taylor,421,62.0,2.0,11.5454545455,New Zealand
CH Gayle,19,3.0,0,12.0,West Indies
PC de Silva,6,1.0,0,4.0,Sri Lanka
Mohammad Yousuf,119,13.0,0,9.45454545455,Pakistan
SP Narine,85,11.0,0,5.23529411765,West Indies
SJ Benn,41,5.0,0,5.9,West Indies
IJL Trott,88,7.0,0,9.375,England
BAW Mendis,116,15.0,0,5.22727272727,Sri Lanka
PD McGlashan,6,1.0,0,5.0,New Zealand
RJ Sidebottom,57,4.0,0,7.22222222222,England
CJ Anderson,93,11.0,0,11.0,New Zealand
DPMD Jayawardene,179,30.0,0,7.0625,Sri Lanka
ST Finn,24,2.0,0,4.54545454545,England
SL Malinga,172,21.0,0,4.16666666667,Sri Lanka
LM Jongwe,0,1.0,0,2.0,Zimbabwe
Abdur Razzak,261,26.0,0,7.05714285714,Bangladesh
Mahmudullah,497,56.0,0,9.925,Bangladesh
DJG Sammy,580,79.0,1.0,9.4358974359,West Indies
JR Hopes,383,42.0,0,9.1875,Australia
T Maruma,9,1.0,0,5.0,Zimbabwe
E Chigumbura,380,43.0,0,10.7777777778,Zimbabwe
KP Pietersen,152,18.0,0,9.27272727273,England
VD Philander,64,9.0,0,6.375,South Africa
Yasir Arafat,6,1.0,0,6.0,Pakistan
DL Vettori,163,18.0,0,6.13636363636,New Zealand
Syed Rasel,25,1.0,0,6.44444444444,Bangladesh
JDS Neesham,67,8.0,0,9.75,New Zealand
RA Jadeja,503,59.0,0,9.43902439024,India
LD Chandimal,149,15.0,0,8.5,Sri Lanka
BMAJ Mendis,121,11.0,0,7.46666666667,Sri Lanka
SMA Priyanjan,39,5.0,0,6.2,Sri Lanka
JP Duminy,582,66.0,0,10.1052631579,South Africa
NO Miller,32,3.0,0,2.76923076923,West Indies
LJ Wright,104,14.0,0,6.3,England
DJ Hussey,241,28.0,0,9.6875,Australia
MG Johnson,462,59.0,0,6.92452830189,Australia
Zulqarnain Haider,19,1.0,0,12.5,Pakistan
SM Pollock,88,6.0,0,5.05882352941,South Africa
PD Collingwood,210,24.0,0,9.0,England
CH Morris,23,4.0,0,6.0,South Africa
AJ Hall,66,6.0,0,11.2,South Africa
Sikandar Raza,117,13.0,0,11.3333333333,Zimbabwe
IK Pathan,157,15.0,0,7.875,India
M Morkel,90,9.0,0,5.35294117647,South Africa
ST Jayasuriya,24,4.0,0,9.0,Sri Lanka
CJ Chibhabha,28,4.0,0,10.0,Zimbabwe
N Madziva,14,2.0,0,5.33333333333,Zimbabwe
D Wiese,21,3.0,0,8.5,South Africa
Aizaz Cheema,19,2.0,0,6.0,Pakistan
DR Martyn,6,1.0,0,3.0,Australia
JW Hastings,102,14.0,0,6.7,Australia
DT Johnston,74,10.0,0,8.5,Ireland
JWA Taylor,22,2.0,0,6.5,England
HMCM Bandara,45,6.0,0,8.4,Sri Lanka
G Chapple,13,2.0,0,7.0,England
LMP Simmons,54,6.0,0,8.5,West Indies
RE van der Merwe,19,3.0,0,4.25,South Africa
EC Joyce,29,4.0,0,11.0,England
