Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
ME Trescothick,66.0,40.0,26.0,66,75.0,3,21.0,0,0.0,25.0,25,60,61,121,0,301,22,England,0,5
IR Bell,6.0,4.0,2.0,17,75.0,3,21.0,0,0.0,25.0,25,60,61,121,0,301,22,England,0,5
AC Botha,36.0,16.0,20.0,70,51.0,2,16.0,0,8.0,18.0,26,40,53,93,302,263,23,Ireland,1,5
WK McCallan,9.0,4.0,5.0,27,51.0,2,16.0,0,8.0,18.0,26,40,53,93,302,263,23,Ireland,1,5
PD Collingwood,22.0,12.0,10.0,34,38.0,3,22.0,1,8.0,15.0,23,40,43,83,0,166,9,England,1,5
JWM Dalrymple,6.0,4.0,2.0,16,38.0,3,22.0,1,8.0,15.0,23,40,43,83,0,166,9,England,1,5
R Clarke,0.0,0.0,0.0,0,38.0,3,22.0,1,8.0,15.0,23,40,43,83,0,166,9,England,1,5
Mohammad Yousuf,18.0,8.0,10.0,33,36.0,2,25.0,0,12.0,17.0,29,44,46,90,167,169,9,Pakistan,0,5
Younis Khan,32.0,24.0,8.0,62,36.0,2,25.0,0,12.0,17.0,29,44,46,90,167,169,9,Pakistan,0,5
KP Pietersen,14.0,8.0,6.0,17,78.0,2,19.0,0,16.0,9.0,25,64,58,122,0,271,3,England,1,5
IR Bell,33.0,8.0,25.0,57,78.0,2,19.0,0,16.0,9.0,25,64,58,122,0,271,3,England,1,5
PD Collingwood,0.0,0.0,0.0,0,78.0,2,19.0,0,16.0,9.0,25,64,58,122,0,271,3,England,1,5
JWM Dalrymple,0.0,0.0,0.0,0,78.0,2,19.0,0,16.0,9.0,25,64,58,122,0,271,3,England,1,5
Mohammad Yousuf,32.0,16.0,16.0,45,68.0,2,28.0,0,8.0,14.0,22,70,48,118,272,274,10,Pakistan,0,5
Younis Khan,43.0,32.0,11.0,58,68.0,2,28.0,0,8.0,14.0,22,70,48,118,272,274,10,Pakistan,0,5
Mohammad Yousuf,13.0,4.0,9.0,51,43.0,3,28.0,0,4.0,18.0,22,50,43,93,0,235,8,Pakistan,0,5
Inzamam-ul-Haq,27.0,20.0,7.0,31,43.0,3,28.0,0,4.0,18.0,22,50,43,93,0,235,8,Pakistan,0,5
IR Bell,19.0,12.0,7.0,29,55.0,1,26.0,0,20.0,12.0,32,68,45,113,236,237,5,England,1,5
AJ Strauss,49.0,28.0,21.0,72,55.0,1,26.0,0,20.0,12.0,32,68,45,113,236,237,5,England,1,5
Younis Khan,4.0,0.0,4.0,16,35.0,3,15.0,0,0.0,4.0,4,18,36,54,0,154,20,Pakistan,0,5
Mohammad Yousuf,11.0,6.0,5.0,15,35.0,3,15.0,0,0.0,4.0,4,18,36,54,0,154,20,Pakistan,0,5
