Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Target,Team
Wahab Riaz,0,0,0,1,166,8,21,1,188,Pakistan
Raqibul Hasan,62,12,50,96,102,4,24,0,0,Bangladesh
Alok Kapali,13,4,9,17,102,4,24,0,0,Bangladesh
Mahmudullah,0,0,0,0,102,4,24,0,0,Bangladesh
G Gambhir,105,58,47,102,186,2,30,1,219,India
Younis Khan,75,36,39,72,147,1,32,0,0,Pakistan
Salman Butt,89,40,49,113,147,1,32,0,0,Pakistan
MS Dhoni,11,0,11,18,170,5,17,1,271,India
IK Pathan,5,0,5,10,170,5,17,1,272,India
MJ Clarke,33,12,21,52,126,3,24,0,0,Australia
CJ Ferguson,18,0,18,31,126,3,24,0,0,Australia
OA Shah,33,12,21,42,115,3,22,0,241,England
PD Collingwood,15,4,11,24,115,3,22,0,242,England
LJ Wright,0,0,0,0,115,3,22,0,243,England
SCJ Broad,0,0,0,0,115,3,22,0,244,England
MEK Hussey,5,0,5,7,121,3,22,1,0,Australia
CJ Ferguson,32,12,20,34,121,3,22,1,0,Australia
JR Hopes,0,0,0,0,121,3,22,1,0,Australia
TT Bresnan,4,0,4,10,140,5,15,1,197,England
PD Collingwood,30,8,22,50,140,5,15,1,198,England
GP Swann,0,0,0,0,140,5,15,1,199,England
LJ Wright,8,4,4,12,123,4,17,1,0,England
EJG Morgan,23,4,19,36,123,4,17,1,0,England
TT Bresnan,0,0,0,0,123,4,17,1,0,England
MJ Clarke,36,0,36,67,109,2,27,0,222,Australia
CL White,64,24,40,92,109,2,27,0,223,Australia
OA Shah,14,0,14,31,133,3,11,1,0,England
EJG Morgan,1,0,1,9,133,3,11,1,0,England
LJ Wright,0,0,0,0,133,3,11,1,0,England
CJ Ferguson,1,0,1,2,153,2,10,1,211,Australia
MJ Clarke,37,16,21,56,153,2,10,1,212,Australia
EJG Morgan,6,0,6,6,145,3,22,1,0,England
OA Shah,26,12,14,35,145,3,22,1,0,England
AD Mascarenhas,0,0,0,0,145,3,22,1,0,England
MJ Clarke,50,20,30,59,165,2,34,0,296,Australia
RT Ponting,97,58,39,92,165,2,34,0,297,Australia
MEK Hussey,0,0,0,0,165,2,34,0,298,Australia
CJ Ferguson,0,0,0,0,165,2,34,0,299,Australia
MEK Hussey,52,18,34,59,134,2,27,0,0,Australia
TD Paine,99,58,41,133,134,2,27,0,0,Australia
CJ Ferguson,0,0,0,0,134,2,27,0,0,Australia
TT Bresnan,22,12,10,24,116,7,30,1,172,England
RJ Sidebottom,0,0,0,1,116,7,30,1,173,England
JM Anderson,0,0,0,0,116,7,30,1,174,England
MEK Hussey,24,8,16,32,109,5,21,0,0,Australia
JR Hopes,10,4,6,19,109,5,21,0,0,Australia
MG Johnson,0,0,0,0,109,5,21,0,0,Australia
PD Collingwood,5,4,1,14,121,4,16,1,157,England
MJ Prior,10,8,2,10,121,4,16,1,158,England
TT Bresnan,0,0,0,0,121,4,16,1,159,England
MV Boucher,7,4,3,6,137,3,33,1,0,South Africa
JP Duminy,16,8,8,17,137,3,33,1,0,South Africa
JA Morkel,0,0,0,0,137,3,33,1,0,South Africa
Naeem Islam,1,0,1,1,115,4,35,2,185,Bangladesh
Shakib Al Hasan,48,24,24,69,115,4,35,2,186,Bangladesh
Mashrafe Mortaza,0,0,0,0,115,4,35,2,187,Bangladesh
Abdur Razzak,0,0,0,0,115,4,35,2,188,Bangladesh
Syed Rasel,0,0,0,0,115,4,35,2,189,Bangladesh
MEK Hussey,31,12,19,38,143,4,22,1,0,Australia
JR Hopes,0,0,0,1,143,4,22,1,0,Australia
CJ Ferguson,49,12,37,82,94,6,17,1,0,Australia
NM Hauritz,6,0,6,12,94,6,17,1,0,Australia
NW Bracken,0,0,0,0,94,6,17,1,0,Australia
B Laughlin,0,0,0,0,94,6,17,1,0,Australia
JH Kallis,68,20,48,82,126,2,30,0,0,South Africa
AB de Villiers,54,12,42,70,126,2,30,0,0,South Africa
JP Duminy,0,0,0,0,126,2,30,0,0,South Africa
JR Hopes,7,0,7,14,110,4,20,1,237,Australia
CJ Ferguson,32,8,24,41,110,4,20,1,238,Australia
HH Gibbs,94,40,54,107,140,2,46,0,0,South Africa
AB de Villiers,55,26,29,52,140,2,46,0,0,South Africa
JA Morkel,0,0,0,0,140,2,46,0,0,South Africa
DJ Hussey,10,0,10,15,155,4,16,0,246,Australia
RT Ponting,28,0,28,52,155,4,16,0,247,Australia
JR Hopes,0,0,0,0,155,4,16,0,248,Australia
RT Ponting,27,4,23,38,184,2,18,1,0,Australia
MEK Hussey,6,0,6,15,184,2,18,1,0,Australia
DJ Hussey,0,0,0,0,184,2,18,1,0,Australia
JR Hopes,0,0,0,0,184,2,18,1,0,Australia
MG Johnson,0,0,0,0,184,2,18,1,0,Australia
JP Duminy,1,0,1,3,158,2,25,1,249,South Africa
MV Boucher,0,0,0,0,158,2,25,1,250,South Africa
AB de Villiers,16,0,16,22,158,2,25,1,251,South Africa
JA Morkel,0,0,0,0,158,2,25,1,252,South Africa
SE Marsh,78,22,56,94,140,2,20,1,0,Australia
DJ Hussey,11,0,11,14,140,2,20,1,0,Australia
CL White,0,0,0,0,140,2,20,1,0,Australia
JP Duminy,55,0,55,77,124,3,32,0,255,South Africa
ND McKenzie,37,16,21,57,124,3,32,0,256,South Africa
DJ Hussey,3,0,3,6,151,2,18,1,0,Australia
MEK Hussey,19,8,11,23,151,2,18,1,0,Australia
CL White,0,0,0,0,151,2,18,1,0,Australia
AB de Villiers,38,4,34,58,113,2,26,1,235,South Africa
JP Duminy,2,0,2,1,113,2,26,1,236,South Africa
ND McKenzie,0,0,0,0,113,2,26,1,237,South Africa
JR Hopes,4,0,4,8,161,4,19,1,0,Australia
DJ Hussey,17,4,13,22,161,4,19,1,0,Australia
ND McKenzie,10,0,10,23,158,5,11,0,254,South Africa
MV Boucher,8,0,8,18,158,5,11,0,255,South Africa
JR Hopes,7,0,7,10,139,5,17,1,0,Australia
CL White,17,4,13,40,139,5,17,1,0,Australia
AB de Villiers,77,30,47,78,169,2,27,0,214,South Africa
HM Amla,68,20,48,94,169,2,27,0,215,South Africa
AB de Villiers,53,12,41,65,129,2,24,0,0,South Africa
HM Amla,83,22,61,107,129,2,24,0,0,South Africa
JP Duminy,0,0,0,0,129,2,24,0,0,South Africa
MEK Hussey,58,12,46,84,115,5,21,0,235,Australia
BJ Haddin,7,0,7,13,115,5,21,0,236,Australia
JR Hopes,0,0,0,0,115,5,21,0,237,Australia
MEK Hussey,31,4,27,44,96,5,18,1,0,Australia
JR Hopes,0,0,0,0,96,5,18,1,0,Australia
NT Broom,29,8,21,50,65,4,22,0,160,New Zealand
KD Mills,0,0,0,0,65,4,22,0,161,New Zealand
LRPL Taylor,30,12,18,62,65,4,22,0,162,New Zealand
MEK Hussey,41,16,25,59,106,3,23,0,0,Australia
MJ Clarke,64,20,44,98,106,3,23,0,0,Australia
GD Elliott,15,0,15,31,103,3,21,0,207,New Zealand
LRPL Taylor,37,4,33,58,103,3,21,0,208,New Zealand
BJ Haddin,99,46,53,106,166,1,20,2,0,Australia
CL White,0,0,0,5,166,1,20,2,0,Australia
MEK Hussey,0,0,0,0,166,1,20,2,0,Australia
CJ Ferguson,0,0,0,0,166,1,20,2,0,Australia
TG Southee,5,0,5,5,126,3,24,3,247,New Zealand
GD Elliott,76,16,60,95,126,3,24,3,248,New Zealand
BB McCullum,0,0,0,0,126,3,24,3,249,New Zealand
LRPL Taylor,30,14,16,40,110,3,29,2,0,New Zealand
NT Broom,0,0,0,0,110,3,29,2,0,New Zealand
MEK Hussey,29,14,15,30,125,3,19,0,240,Australia
DJ Hussey,43,8,35,69,125,3,19,0,241,Australia
PD Collingwood,35,12,23,38,132,3,28,0,0,England
OA Shah,50,16,34,68,132,3,28,0,0,England
S Chanderpaul,11,4,7,11,115,1,24,2,222,West Indies
KA Pollard,7,6,1,7,115,1,24,2,223,West Indies
S Chanderpaul,55,12,43,93,130,2,19,1,0,West Indies
KA Pollard,0,0,0,2,130,2,19,1,0,West Indies
AJ Strauss,58,12,46,89,116,5,22,0,220,England
SCJ Broad,0,0,0,0,116,5,22,0,221,England
GJ Batty,0,0,0,0,116,5,22,0,222,England
GJ Batty,9,0,9,34,70,8,13,0,0,England
AD Mascarenhas,29,12,17,54,70,8,13,0,0,England
DJ Bravo,9,0,9,27,136,4,7,2,0,West Indies
DJG Sammy,0,0,0,2,136,4,7,2,0,West Indies
SK Raina,37,18,19,37,172,2,38,0,0,India
Yuvraj Singh,37,18,19,40,172,2,38,0,0,India
YK Pathan,0,0,0,0,172,2,38,0,0,India
MS Dhoni,0,0,0,0,172,2,38,0,0,India
RS Bopara,19,6,13,29,157,7,29,0,224,England
SCJ Broad,24,8,16,23,157,7,29,0,225,England
JM Anderson,0,0,0,0,157,7,29,0,226,England
Yuvraj Singh,88,56,32,97,152,4,20,0,0,India
MS Dhoni,6,0,6,14,152,4,20,0,0,India
YK Pathan,0,0,0,0,152,4,20,0,0,India
KP Pietersen,22,4,18,41,112,3,40,0,228,England
A Flintoff,33,26,7,27,112,3,40,0,229,England
PD Collingwood,0,0,0,0,112,3,40,0,230,England
SR Patel,0,0,0,0,112,3,40,0,231,England
RS Bopara,0,0,0,0,112,3,40,0,232,England
A Flintoff,25,8,17,42,136,4,21,0,0,England
OA Shah,12,0,12,15,136,4,21,0,0,England
SR Patel,0,0,0,0,136,4,21,0,0,England
MS Dhoni,14,8,6,39,136,4,27,0,191,India
Yuvraj Singh,38,14,24,30,136,4,27,0,192,India
YK Pathan,0,0,0,0,136,4,27,0,193,India
KP Pietersen,76,42,34,85,140,3,21,1,0,England
OA Shah,10,8,2,10,140,3,21,1,0,England
MS Dhoni,27,8,19,40,170,3,25,0,259,India
SK Raina,21,12,9,31,170,3,25,0,260,India
SK Raina,60,20,40,67,141,3,34,0,0,India
MS Dhoni,44,12,32,53,141,3,34,0,0,India
KMDN Kulasekara,6,0,6,9,124,5,20,1,197,Sri Lanka
WPUJC Vaas,14,4,10,22,124,5,20,1,198,Sri Lanka
T Thushara,0,0,0,0,124,5,20,1,199,Sri Lanka
MS Dhoni,73,24,49,81,187,3,51,1,0,India
YK Pathan,0,0,0,0,187,3,51,1,0,India
MJ Guptill,22,0,22,44,131,2,23,2,0,New Zealand
PD McGlashan,3,0,3,2,131,2,23,2,0,New Zealand
GD Elliott,0,0,0,0,131,2,23,2,0,New Zealand
I Sharma,1,0,1,2,108,7,18,2,0,India
RG Sharma,40,10,30,70,108,7,18,2,0,India
MS Dhoni,23,14,9,22,192,3,34,0,0,India
SR Tendulkar,98,52,46,104,192,3,34,0,0,India
IG Butler,2,0,2,6,200,4,18,3,327,New Zealand
KD Mills,0,0,0,2,200,4,18,3,328,New Zealand
TG Southee,0,0,0,0,200,4,18,3,329,New Zealand
NO Miller,17,8,9,20,69,8,32,1,0,West Indies
FH Edwards,1,0,1,3,69,8,32,1,0,West Indies
RR Sarwan,43,12,31,53,165,1,24,1,0,West Indies
S Chanderpaul,0,0,0,0,165,1,24,1,0,West Indies
XM Marshall,0,0,0,0,165,1,24,1,0,West Indies
Shoaib Malik,7,0,7,10,132,2,26,1,277,Pakistan
Younis Khan,51,12,39,52,132,2,26,1,278,Pakistan
Kamran Akmal,26,0,26,36,107,4,26,1,0,Pakistan
Shahid Afridi,4,0,4,5,107,4,26,1,0,Pakistan
S Chanderpaul,60,12,48,110,98,3,15,1,187,West Indies
SE Findlay,7,4,3,17,98,3,15,1,188,West Indies
CS Baugh,0,0,0,0,98,3,15,1,189,West Indies
SHT Kandamby,24,0,24,70,64,4,11,0,0,Sri Lanka
J Mubarak,13,4,9,32,64,4,11,0,0,Sri Lanka
AD Mathews,0,0,0,0,64,4,11,0,0,Sri Lanka
P Utseya,25,0,25,78,67,6,25,0,110,Zimbabwe
KM Dabengwa,31,10,21,77,67,6,25,0,111,Zimbabwe
MS Dhoni,11,0,11,16,161,3,48,0,0,India
Yuvraj Singh,114,70,44,98,161,3,48,0,0,India
RA Jadeja,0,0,0,0,161,3,48,0,0,India
YK Pathan,0,0,0,0,161,3,48,0,0,India
S Chanderpaul,56,24,32,57,170,3,32,1,291,West Indies
DM Bravo,14,8,6,9,170,3,32,1,292,West Indies
JE Taylor,0,0,0,0,170,3,32,1,293,West Indies
D Ramdin,0,0,0,0,170,3,32,1,294,West Indies
DE Bernard,0,0,0,0,170,3,32,1,295,West Indies
MS Dhoni,51,14,37,92,100,8,11,0,0,India
RP Singh,6,4,2,39,100,8,11,0,0,India
KM Dabengwa,10,0,10,24,102,5,16,0,0,Zimbabwe
P Utseya,0,0,0,0,102,5,16,0,0,Zimbabwe
E Chigumbura,18,4,14,53,102,5,16,0,0,Zimbabwe
Naeem Islam,13,4,9,33,103,6,18,1,158,Bangladesh
Mashrafe Mortaza,0,0,0,4,103,6,18,1,159,Bangladesh
Mahbubul Alam,0,0,0,0,103,6,18,1,160,Bangladesh
KM Dabengwa,9,4,5,37,87,7,12,1,0,Zimbabwe
EC Rainsford,0,0,0,7,87,7,12,1,0,Zimbabwe
CB Mpofu,0,0,0,0,87,7,12,1,0,Zimbabwe
KA Pollard,8,0,8,18,120,6,16,1,0,West Indies
SJ Benn,0,0,0,0,120,6,16,1,0,West Indies
DJG Sammy,11,8,3,14,120,6,16,1,0,West Indies
R Rampaul,0,0,0,0,120,6,16,1,0,West Indies
EJG Morgan,1,0,1,1,117,3,27,1,146,England
OA Shah,28,4,24,37,153,2,26,0,0,England
MJ Prior,50,8,42,54,153,2,26,0,0,England
D Ramdin,30,8,22,36,129,4,24,0,262,West Indies
S Chanderpaul,56,16,40,100,129,4,24,0,263,West Indies
KA Pollard,0,0,0,0,129,4,24,0,264,West Indies
JE Taylor,0,0,0,0,129,4,24,0,265,West Indies
JL Denly,59,8,51,102,90,4,18,0,0,England
OA Shah,11,0,11,22,90,4,18,0,0,England
LJ Wright,0,0,0,0,90,4,18,0,0,England
MF Maharoof,2,0,2,8,150,4,17,3,0,Sri Lanka
KMDN Kulasekara,0,0,0,2,150,4,17,3,0,Sri Lanka
Khurram Manzoor,79,36,43,119,121,0,36,0,215,Pakistan
Salman Butt,78,40,38,93,121,0,36,0,216,Pakistan
Younis Khan,0,0,0,0,121,0,36,0,217,Pakistan
DPMD Jayawardene,7,0,7,12,155,3,22,0,0,Sri Lanka
SHT Kandamby,59,16,43,77,155,3,22,0,0,Sri Lanka
CK Kapugedera,0,0,0,0,155,3,22,0,0,Sri Lanka
SHT Kandamby,7,0,7,8,153,1,23,1,0,Sri Lanka
TM Dilshan,74,8,66,95,153,1,23,1,0,Sri Lanka
ST Jayasuriya,93,46,47,102,123,2,23,0,0,Sri Lanka
SHT Kandamby,9,0,9,22,123,2,23,0,0,Sri Lanka
MF Maharoof,0,0,0,0,123,2,23,0,0,Sri Lanka
DPMD Jayawardene,0,0,0,0,123,2,23,0,0,Sri Lanka
Yuvraj Singh,21,8,13,34,138,3,22,0,231,India
MS Dhoni,18,8,10,21,138,3,22,0,232,India
RG Sharma,0,0,0,0,138,3,22,0,233,India
YK Pathan,3,0,3,9,156,3,23,2,0,India
MS Dhoni,6,0,6,7,156,3,23,2,0,India
CK Kapugedera,1,0,1,3,108,3,22,1,224,Sri Lanka
SHT Kandamby,48,12,36,94,108,3,22,1,225,Sri Lanka
SK Raina,0,0,0,0,220,2,35,2,0,India
MS Dhoni,5,0,5,7,220,2,35,2,0,India
YK Pathan,0,0,0,0,220,2,35,2,0,India
KMDN Kulasekara,3,0,3,8,163,5,18,3,209,Sri Lanka
CRD Fernando,0,0,0,0,163,5,18,3,210,Sri Lanka
BAW Mendis,0,0,0,0,163,5,18,3,211,Sri Lanka
G Gambhir,88,30,58,103,167,1,28,3,0,India
SK Raina,3,0,3,1,167,1,28,3,0,India
CK Kapugedera,9,0,9,16,155,3,15,2,258,Sri Lanka
AD Mathews,2,0,2,5,155,3,15,2,259,Sri Lanka
MF Maharoof,0,0,0,0,155,3,15,2,260,Sri Lanka
TM Dilshan,83,32,51,102,178,1,31,1,0,Sri Lanka
SHT Kandamby,5,0,5,6,178,1,31,1,0,Sri Lanka
RA Jadeja,19,4,15,37,150,6,31,0,243,India
MS Dhoni,52,16,36,55,150,6,31,0,244,India
IK Pathan,0,0,0,0,150,6,31,0,245,India
AN Petersen,34,10,24,39,131,4,25,1,0,South Africa
JA Morkel,5,0,5,8,131,4,25,1,0,South Africa
MV Boucher,0,0,0,0,131,4,25,1,0,South Africa
PD Collingwood,62,18,44,82,129,2,22,0,240,England
IJL Trott,69,24,45,105,129,2,22,0,241,England
AB de Villiers,60,16,44,49,183,1,23,1,0,South Africa
JP Duminy,6,0,6,15,183,1,23,1,0,South Africa
AN Petersen,0,0,0,0,183,1,23,1,0,South Africa
PD Collingwood,69,30,39,75,168,5,18,0,229,England
MJ Prior,15,4,11,20,168,5,18,0,230,England
TT Bresnan,0,0,0,0,168,5,18,0,231,England
SCJ Broad,0,0,0,0,168,5,18,0,232,England
GP Swann,0,0,0,0,168,5,18,0,233,England
AN Petersen,46,16,30,72,88,8,21,1,0,South Africa
CK Langeveldt,0,0,0,1,88,8,21,1,0,South Africa
JR Hopes,23,8,15,32,113,8,19,1,0,Australia
BW Hilfenhaus,1,0,1,10,113,8,19,1,0,Australia
Misbah-ul-Haq,15,8,7,39,97,4,30,1,160,Pakistan
Nasir Jamshed,0,0,0,1,97,4,30,1,161,Pakistan
Umar Gul,0,0,0,0,97,4,30,1,162,Pakistan
Shahid Afridi,16,8,8,17,110,4,16,1,0,Pakistan
Kamran Akmal,2,0,2,7,110,4,16,1,0,Pakistan
A Symonds,45,18,27,51,118,3,28,0,194,Australia
MJ Clarke,15,4,11,35,118,3,28,0,195,Australia
CJ Ferguson,21,8,13,39,104,4,12,0,0,Australia
MJ Clarke,47,24,23,76,104,4,12,0,0,Australia
DJ Hussey,0,0,0,0,104,4,12,0,0,Australia
Shoaib Malik,15,4,11,31,113,5,13,0,156,Pakistan
Kamran Akmal,8,0,8,19,113,5,13,0,157,Pakistan
Yasir Arafat,0,0,0,0,113,5,13,0,158,Pakistan
Shoaib Malik,27,4,23,31,105,3,28,1,0,Pakistan
Kamran Akmal,0,0,0,0,105,3,28,1,0,Pakistan
Shahid Afridi,20,12,8,13,105,3,28,1,0,Pakistan
Yasir Arafat,0,0,0,0,105,3,28,1,0,Pakistan
SR Watson,62,18,44,115,103,2,29,0,187,Australia
MJ Clarke,69,36,33,95,103,2,29,0,188,Australia
SR Watson,79,32,47,101,140,3,17,0,0,Australia
A Symonds,11,0,11,22,140,3,17,0,0,Australia
CJ Ferguson,0,0,0,0,140,3,17,0,0,Australia
Kamran Akmal,71,28,43,72,137,3,23,0,239,Pakistan
Misbah-ul-Haq,43,20,23,52,137,3,23,0,240,Pakistan
Mushfiqur Rahim,7,0,7,13,115,3,20,1,0,Bangladesh
Mahmudullah,0,0,0,0,115,3,20,1,0,Bangladesh
Shakib Al Hasan,23,0,23,31,115,3,20,1,0,Bangladesh
DJG Sammy,10,0,10,17,123,5,13,1,188,West Indies
RN Lewis,4,0,4,10,123,5,13,1,189,West Indies
NO Miller,0,0,0,0,123,5,13,1,190,West Indies
DE Bernard,11,8,3,11,116,3,28,1,0,West Indies
TM Dowlin,40,4,36,75,116,3,28,1,0,West Indies
Shakib Al Hasan,33,8,25,33,142,3,25,0,250,Bangladesh
Mohammad Ashraful,62,18,44,74,142,3,25,0,251,Bangladesh
Mushfiqur Rahim,0,0,0,0,142,3,25,0,252,Bangladesh
FL Reifer,39,18,21,73,125,5,42,0,0,West Indies
DJG Sammy,33,28,5,23,125,5,42,0,0,West Indies
DC Thomas,0,0,0,0,125,5,42,0,0,West Indies
NO Miller,0,0,0,0,125,5,42,0,0,West Indies
Mahmudullah,13,4,9,32,134,5,17,0,240,Bangladesh
Mushfiqur Rahim,13,4,9,26,134,5,17,0,241,Bangladesh
Naeem Islam,0,0,0,0,134,5,17,0,242,Bangladesh
KMDN Kulasekara,1,0,1,3,113,4,12,2,0,Sri Lanka
AD Mathews,5,0,5,11,113,4,12,2,0,Sri Lanka
Fawad Alam,21,0,21,51,108,6,10,0,186,Pakistan
Abdul Razzaq,16,4,12,31,108,6,10,0,187,Pakistan
Umar Gul,0,0,0,0,108,6,10,0,188,Pakistan
Mohammad Amir,0,0,0,0,108,6,10,0,189,Pakistan
Umar Gul,9,0,9,19,79,7,16,0,0,Pakistan
Abdul Razzaq,15,4,11,37,79,7,16,0,0,Pakistan
Mohammad Amir,0,0,0,0,79,7,16,0,0,Pakistan
Saeed Ajmal,0,0,0,0,79,7,16,0,0,Pakistan
CK Kapugedera,41,22,19,71,101,4,16,0,160,Sri Lanka
TT Samaraweera,22,8,14,42,101,4,16,0,161,Sri Lanka
Shahid Afridi,13,8,5,8,134,4,25,1,0,Pakistan
Umar Akmal,31,8,23,44,134,4,25,1,0,Pakistan
Abdul Razzaq,0,0,0,0,134,4,25,1,0,Pakistan
KC Sangakkara,4,0,4,5,174,0,29,2,277,Sri Lanka
TT Samaraweera,0,0,0,1,174,0,29,2,278,Sri Lanka
SHT Kandamby,0,0,0,0,174,0,29,2,279,Sri Lanka
Umar Akmal,28,6,22,26,145,4,22,0,0,Pakistan
Younis Khan,44,8,36,71,145,4,22,0,0,Pakistan
AD Mathews,4,0,4,8,155,4,12,4,172,Sri Lanka
BAW Mendis,0,0,0,0,155,4,12,4,173,Sri Lanka
SL Malinga,0,0,0,0,155,4,12,4,174,Sri Lanka
Younis Khan,71,20,51,94,152,3,35,0,0,Pakistan
Misbah-ul-Haq,38,12,26,38,152,3,35,0,0,Pakistan
Umar Akmal,0,0,0,0,152,3,35,0,0,Pakistan
Shahid Afridi,0,0,0,0,152,3,35,0,0,Pakistan
AD Mathews,15,4,11,26,91,5,18,0,0,Sri Lanka
TT Samaraweera,50,12,38,80,91,5,18,0,0,Sri Lanka
DR Tuffey,2,0,2,4,78,7,22,1,103,New Zealand
SE Bond,0,0,0,0,78,7,22,1,104,New Zealand
IG Butler,24,10,14,36,78,7,22,1,105,New Zealand
SHT Kandamby,15,4,11,19,162,4,23,1,0,Sri Lanka
CK Kapugedera,8,0,8,11,162,4,23,1,0,Sri Lanka
RP Singh,9,0,9,16,124,8,17,1,153,India
I Sharma,12,8,4,24,124,8,17,1,154,India
KD Mills,5,0,5,9,104,6,22,1,0,New Zealand
DL Vettori,18,4,14,21,104,6,22,1,0,New Zealand
IG Butler,0,0,0,0,104,6,22,1,0,New Zealand
MS Dhoni,26,12,14,47,105,4,26,0,153,India
SK Raina,33,20,13,39,105,4,26,0,154,India
SR Tendulkar,101,32,69,99,170,1,23,0,0,India
MS Dhoni,53,12,41,57,170,1,23,0,0,India
Yuvraj Singh,0,0,0,0,170,1,23,0,0,India
CK Kapugedera,14,0,14,19,178,6,25,0,259,Sri Lanka
SHT Kandamby,48,16,32,68,178,6,25,0,260,Sri Lanka
MJ Clarke,13,0,13,22,131,3,22,0,0,Australia
CL White,12,4,8,20,131,3,22,0,0,Australia
MEK Hussey,0,0,0,0,131,3,22,0,0,Australia
DR Smith,22,4,18,44,106,7,28,1,0,West Indies
R Rampaul,14,12,2,14,106,7,28,1,0,West Indies
CL White,51,14,37,61,163,2,27,0,0,Australia
RT Ponting,89,32,57,92,163,2,27,0,0,Australia
KA Pollard,22,10,12,24,136,5,18,1,258,West Indies
DR Smith,1,0,1,12,136,5,18,1,259,West Indies
MJ Clarke,45,6,39,56,167,2,27,1,0,Australia
CL White,5,4,1,9,167,2,27,1,0,Australia
AC Voges,0,0,0,0,167,2,27,1,0,Australia
NO Miller,22,4,18,19,146,8,39,0,195,West Indies
R Rampaul,0,0,0,0,146,8,39,0,196,West Indies
DJG Sammy,42,26,16,39,146,8,39,0,197,West Indies
Shoaib Malik,16,4,12,19,150,3,24,1,0,Pakistan
Younis Khan,27,4,23,50,150,3,24,1,0,Pakistan
CL White,51,22,29,53,137,3,18,0,253,Australia
MJ Clarke,57,4,53,75,137,3,18,0,254,Australia
MEK Hussey,0,0,0,0,137,3,18,0,255,Australia
CL White,11,4,7,18,134,3,25,0,0,Australia
MJ Clarke,25,8,17,34,134,3,25,0,0,Australia
MEK Hussey,0,0,0,0,134,3,25,0,0,Australia
Mohammad Yousuf,58,18,40,94,89,7,29,1,123,Pakistan
Saeed Ajmal,0,0,0,0,89,7,29,1,124,Pakistan
Umar Gul,0,0,0,5,89,7,29,1,125,Pakistan
MJ Clarke,35,0,35,50,140,2,13,1,0,Australia
CL White,2,0,2,8,140,2,13,1,0,Australia
Shahid Afridi,6,0,6,8,131,4,22,1,233,Pakistan
Fawad Alam,30,4,26,47,131,4,22,1,234,Pakistan
Naved-ul-Hasan,0,0,0,0,131,4,22,1,235,Pakistan
JR Hopes,0,0,0,0,134,4,17,1,0,Australia
MEK Hussey,23,0,23,42,134,4,17,1,0,Australia
NM Hauritz,0,0,0,0,134,4,17,1,0,Australia
Iftikhar Anjum,3,0,3,13,116,7,15,2,134,Pakistan
Mohammad Asif,0,0,0,2,116,7,15,2,135,Pakistan
Fawad Alam,28,12,16,30,93,4,23,0,0,Pakistan
Umar Akmal,49,8,41,89,93,4,23,0,0,Pakistan
AC Voges,24,4,20,46,115,3,16,1,204,Australia
JR Hopes,0,0,0,0,115,3,16,1,205,Australia
MEK Hussey,7,0,7,17,115,3,16,1,206,Australia
MG Johnson,0,0,0,0,115,3,16,1,207,Australia
MA Vermeulen,75,20,55,108,112,4,17,1,0,Zimbabwe
S Matsikenyeri,2,0,2,6,112,4,17,1,0,Zimbabwe
E Chigumbura,0,0,0,0,112,4,17,1,0,Zimbabwe
Raqibul Hasan,7,4,3,7,126,2,31,1,0,Bangladesh
Shakib Al Hasan,22,4,18,25,126,2,31,1,0,Bangladesh
SC Williams,58,16,42,57,157,5,23,0,262,Zimbabwe
S Matsikenyeri,15,0,15,30,157,5,23,0,263,Zimbabwe
P Utseya,0,0,0,0,157,5,23,0,264,Zimbabwe
E Chigumbura,0,0,0,0,157,5,23,0,265,Zimbabwe
H Masakadza,91,28,63,100,148,3,29,0,0,Zimbabwe
BRM Taylor,53,0,53,69,148,3,29,0,0,Zimbabwe
Mehrab Hossain jnr,12,0,12,24,151,6,24,1,244,Bangladesh
Mahbubul Alam,8,4,4,12,151,6,24,1,245,Bangladesh
CK Coventry,96,48,48,106,135,4,27,0,0,Zimbabwe
S Matsikenyeri,27,4,23,42,135,4,27,0,0,Zimbabwe
Tamim Iqbal,100,34,66,112,160,2,20,0,297,Bangladesh
Raqibul Hasan,32,4,28,53,160,2,20,0,298,Bangladesh
Shakib Al Hasan,0,0,0,0,160,2,20,0,299,Bangladesh
BRM Taylor,42,14,28,65,118,7,16,0,0,Zimbabwe
RW Price,10,4,6,25,118,7,16,0,0,Zimbabwe
Shakib Al Hasan,28,8,20,37,114,3,24,0,192,Bangladesh
Mushfiqur Rahim,78,36,42,99,114,3,24,0,193,Bangladesh
Mahmudullah,0,0,0,0,114,3,24,0,194,Bangladesh
TT Samaraweera,10,0,10,21,171,3,22,0,0,Sri Lanka
DPMD Jayawardene,13,4,9,17,171,3,22,0,0,Sri Lanka
JA Morkel,20,8,12,24,160,5,24,1,205,South Africa
J Botha,13,8,5,16,160,5,24,1,206,South Africa
RE van der Merwe,0,0,0,0,160,5,24,1,207,South Africa
GD Elliott,25,8,17,35,105,3,22,0,0,New Zealand
LRPL Taylor,29,8,21,70,105,3,22,0,0,New Zealand
NT Broom,0,0,0,0,105,3,22,0,0,New Zealand
AB de Villiers,51,24,27,57,137,4,32,0,210,South Africa
MV Boucher,26,16,10,25,137,4,32,0,211,South Africa
JA Morkel,0,0,0,0,137,4,32,0,212,South Africa
SHT Kandamby,51,20,31,81,111,5,24,0,0,Sri Lanka
