Batsman,Total Runs Scored,Home Runs,Milestones Reached, avg Balls Faced
H Patel,11,1.0,0,8.0
JL Denly,40,5.0,0,9.0
AP Devcich,34,3.0,0,11.0
DI Joyce,21,4.0,0,17.0
NFI McCallum,26,4.0,0,10.0
Rahmat Shah,11,2.0,0,10.0
C Kieswetter,112,11.0,0,10.0
FRJ Coleman,20,1.0,0,5.0
Nazimuddin,38,6.0,0,11.0
GR Codrington,24,4.0,0,11.0
AR Berenger,11,1.0,0,7.0
Alok Kapali,25,5.0,0,10.0
DM Bravo,359,33.0,0,13.0
GD Elliott,119,12.0,0,10.0
Mohammad Hafeez,867,102.0,0,13.0
MW Machan,99,11.0,0,9.0
Khurram Khan,40,6.0,0,8.0
GH Bodi,9,1.0,0,15.0
S Matsikenyeri,94,15.0,0,10.0
D Ramdin,97,7.0,0,8.0
Haris Sohail,86,9.0,0,12.0
S Dhawan,440,42.0,0,13.0
JM Bairstow,30,3.0,0,14.0
Abdul Jabbar,24,4.0,0,8.0
SE Marsh,228,24.0,0,11.0
BRM Taylor,477,50.0,0,11.0
CA Ingram,87,8.0,0,11.0
SC Ganguly,179,22.0,0,13.0
DR Brown,4,1.0,0,4.0
TM Dowlin,25,3.0,0,14.0
MV Boucher,37,3.0,0,8.0
J Charles,156,16.0,0,12.0
AD Mathews,133,16.0,0,9.0
T Duffin,27,4.0,0,16.0
NT Broom,14,2.0,0,12.0
MDK Perera,10,2.0,0,11.0
MA Carberry,10,1.0,0,11.0
KJ Coetzer,64,9.0,0,10.0
Mominul Haque,73,6.0,0,10.0
AN Kervezee,27,3.0,0,11.0
GC Wilson,64,9.0,0,11.0
Hashmatullah Shahidi,5,1.0,0,13.0
Salman Butt,252,33.0,0,14.0
Mehrab Hossain jnr,14,1.0,0,16.0
RW Chakabva,37,2.0,0,9.0
S Chanderpaul,263,27.0,0,13.0
Salman Faris,7,1.0,0,12.0
TAM Siriwardana,19,3.0,0,9.0
A Bagai,66,8.0,0,12.0
DA Miller,48,3.0,0,10.0
SP Patil,16,1.0,0,11.0
KC Sangakkara,1184,114.0,0,12.0
AT Rayudu,100,8.0,0,13.0
SR Tendulkar,610,83.0,0,14.0
V Sibanda,281,35.0,0,12.0
DM Richards,30,4.0,0,9.0
Aftab Ahmed,130,23.0,0,8.0
GM Hamilton,18,3.0,0,9.0
MM Ali,90,8.0,0,11.0
Younis Khan,532,62.0,0,10.0
AB Barath,47,5.0,0,12.0
MN van Wyk,61,9.0,0,12.0
WW Hinds,12,1.0,0,15.0
F du Plessis,378,33.0,0,12.0
WU Tharanga,686,86.0,0,13.0
SM Warnapura,14,2.0,0,14.0
AN Petersen,55,6.0,0,12.0
AC Botha,33,4.0,0,16.0
