Batsman,Total Runs Scored,Home Runs,Milestones Reached, avg Balls Faced
JA Morkel,66,7.0,0,9.0
HH Gibbs,141,14.0,0,12.0
T Thushara,37,4.0,0,10.0
V Sehwag,166,21.0,0,13.0
KA Edwards,35,3.0,0,16.0
SC Williams,225,15.0,0,10.0
DE Bernard,12,2.0,0,9.0
Shaiman Anwar,49,6.0,0,11.0
MJ Guptill,187,18.0,0,13.0
Najibullah Zadran,58,7.0,0,9.0
CT Tremlett,7,1.0,0,9.0
WD Balaji Rao,6,1.0,0,7.0
CK Kapugedera,173,9.0,0,12.0
N Deonarine,18,1.0,0,7.0
CR Brathwaite,8,1.0,0,8.0
MC Sorensen,12,1.0,0,17.0
NW Bracken,10,2.0,0,12.0
MM Iqbal,9,1.0,0,11.0
CK Coventry,40,4.0,0,12.0
D Mongia,19,2.0,0,12.0
D Ganga,4,1.0,0,4.0
AM Guruge,4,1.0,0,6.0
MJ Santner,25,2.0,0,13.0
CT Mutombodzi,9,1.0,0,7.0
CR Ervine,159,13.0,0,11.0
IR Bell,328,18.0,0,11.0
A Symonds,218,20.0,0,13.0
Umar Gul,18,1.0,0,6.0
HDRL Thirimanne,343,26.0,0,11.0
Abdur Rehman,14,2.0,0,9.0
H Masakadza,256,23.0,0,13.0
KO Meth,6,1.0,0,9.0
AM Samad,9,1.0,0,14.0
LOB Cann,14,2.0,0,5.0
B Lee,31,3.0,0,10.0
DF Watts,8,1.0,0,7.0
R Mutumbami,38,2.0,0,9.0
TWM Latham,31,1.0,0,11.0
Saqlain Haider,7,1.0,0,12.0
Nawroz Mangal,34,2.0,0,11.0
JH Kallis,315,19.0,0,12.0
LRPL Taylor,598,38.0,0,13.0
CH Gayle,150,17.0,0,13.0
PC de Silva,24,3.0,0,12.0
MDKJ Perera,38,4.0,0,6.0
Khurram Chohan,15,2.0,0,15.0
SP Narine,38,3.0,0,8.0
SJ Benn,36,5.0,0,9.0
IJL Trott,294,17.0,0,13.0
CJ Anderson,105,10.0,0,8.0
Mahbubul Alam,4,1.0,0,12.0
Hammad Azam,12,1.0,0,10.0
DPMD Jayawardene,884,72.0,0,12.0
AS Hansra,38,3.0,0,12.0
Najeeb Amar,18,2.0,0,13.0
PG Fulton,98,4.0,0,12.0
ST Finn,13,1.0,0,9.0
JAR Blain,42,3.0,0,13.0
JH Davey,23,1.0,0,10.0
SL Malinga,27,2.0,0,5.0
LM Jongwe,14,1.0,0,8.0
Abdur Razzak,83,10.0,0,8.0
Mahmudullah,265,21.0,0,14.0
DJG Sammy,323,44.0,0,11.0
JR Hopes,78,3.0,0,9.0
T Maruma,6,1.0,0,6.0
E Chigumbura,387,26.0,0,12.0
KP Pietersen,229,13.0,0,11.0
VD Philander,17,2.0,0,8.0
CJ Ferguson,80,6.0,0,12.0
DL Vettori,197,18.0,0,9.0
Samiullah Shenwari,129,10.0,0,13.0
A Mishra,5,1.0,0,7.0
RA Jadeja,182,16.0,0,11.0
LD Chandimal,327,21.0,0,11.0
BMAJ Mendis,63,7.0,0,11.0
SMA Priyanjan,57,5.0,0,12.0
JP Duminy,461,24.0,0,12.0
NO Miller,61,6.0,0,12.0
Hamza Tariq,21,2.0,0,13.0
DJ Hussey,266,22.0,0,11.0
MG Johnson,33,3.0,0,6.0
SM Pollock,148,17.0,0,14.0
PD Collingwood,467,34.0,0,12.0
CH Morris,14,3.0,0,7.0
Asad Shafiq,193,14.0,0,10.0
Bazid Khan,12,1.0,0,18.0
PJ Forrest,53,5.0,0,16.0
Mohammad Tauqir,6,1.0,0,7.0
Sikandar Raza,108,9.0,0,10.0
IK Pathan,49,5.0,0,9.0
AC Gilchrist,21,1.0,0,10.0
M Morkel,17,2.0,0,5.0
ST Jayasuriya,68,5.0,0,15.0
CJ Chibhabha,114,6.0,0,10.0
Tamim Iqbal,134,11.0,0,10.0
JM How,56,6.0,0,14.0
N Madziva,11,1.0,0,22.0
D Wiese,20,2.0,0,7.0
Mirwais Ashraf,19,3.0,0,12.0
DR Martyn,36,5.0,0,15.0
Sohaib Maqsood,130,12.0,0,11.0
JWA Taylor,85,9.0,0,12.0
HMCM Bandara,9,1.0,0,6.0
Karim Sadiq,9,3.0,0,5.0
LMP Simmons,160,15.0,0,13.0
Soumya Sarkar,11,2.0,0,10.0
MO Jones,9,2.0,0,7.0
EC Joyce,169,13.0,0,15.0
Mushfiqur Rahim,534,54.0,0,12.0
Mohammad Ashraful,140,14.0,0,10.0
Sohag Gazi,8,1.0,0,8.0
Iftikhar Anjum,31,3.0,0,12.0
TS Chisoro,11,2.0,0,18.0
Farhad Reza,39,4.0,0,10.0
TD Paine,15,2.0,0,13.0
IS Billcliff,12,1.0,0,16.0
KA Pollard,213,18.0,0,10.0
SR Watson,255,28.0,0,9.0
NLTC Perera,125,14.0,0,9.0
SO Ngoche,14,1.0,0,8.0
R McLaren,71,7.0,0,11.0
JC Buttler,254,24.0,0,11.0
KM Dabengwa,41,4.0,0,12.0
GC Smith,135,14.0,0,12.0
MK Tiwary,28,3.0,0,10.0
Inzamam-ul-Haq,51,6.0,0,9.0
MM Sharma,0,1.0,0,3.0
MEK Hussey,611,42.0,0,13.0
JDP Oram,160,13.0,0,11.0
Asghar Stanikzai,42,3.0,0,10.0
Khurram Manzoor,27,4.0,0,23.0
DJ Bravo,329,28.0,0,12.0
Shamsur Rahman,14,2.0,0,19.0
BJ Hodge,46,4.0,0,9.0
HM Amla,405,37.0,0,12.0
AA Mulla,16,2.0,0,14.0
GJ Bailey,340,32.0,0,12.0
R Dravid,132,9.0,0,10.0
PL Mommsen,44,3.0,0,9.0
RP Singh,17,2.0,0,10.0
SHT Kandamby,111,8.0,0,12.0
SB Styris,271,24.0,0,12.0
N Mushangwe,6,1.0,0,5.0
Raqibul Hasan,148,10.0,0,14.0
Fawad Alam,137,9.0,0,12.0
HM Nicholls,28,2.0,0,11.0
JM Kemp,78,8.0,0,10.0
WTS Porterfield,55,5.0,0,9.0
Yuvraj Singh,651,69.0,0,12.0
Mohammad Nabi,132,12.0,0,9.0
SW Billings,10,1.0,0,13.0
SW Masakadza,25,4.0,0,9.0
MS Dhoni,1004,79.0,0,12.0
AC Voges,91,5.0,0,11.0
AJ Strauss,105,11.0,0,14.0
Nasir Jamal,29,3.0,0,15.0
S Prasanna,33,5.0,0,8.0
SCJ Broad,54,5.0,0,8.0
Saad Nasim,14,2.0,0,21.0
Afsar Zazai,20,1.0,0,13.0
NJ O'Brien,148,14.0,0,12.0
A Balbirnie,49,3.0,0,12.0
Mohammad Yousuf,284,21.0,0,12.0
Z Khan,44,2.0,0,12.0
Ahmed Shehzad,142,16.0,0,10.0
SR Thompson,24,2.0,0,12.0
BP Loots,6,1.0,0,5.0
AD Russell,89,10.0,0,8.0
Babar Azam,24,2.0,0,12.0
R Ashwin,88,9.0,0,10.0
CL White,273,22.0,0,11.0
YK Pathan,84,11.0,0,10.0
Imran Nazir,17,2.0,0,12.0
Imran Farhat,34,4.0,0,11.0
CMW Read,15,1.0,0,11.0
AM Rahane,168,19.0,0,14.0
W Barresi,8,1.0,0,13.0
Abdul Shakoor,9,2.0,0,16.0
AU Rashid,28,4.0,0,12.0
Gulbadin Naib,9,1.0,0,11.0
KM Jadhav,15,2.0,0,9.0
Amjad Javed,12,2.0,0,9.0
Mashrafe Mortaza,60,1.0,0,9.0
CD McMillan,69,8.0,0,10.0
GB Brent,16,1.0,0,9.0
M Vijay,5,1.0,0,8.0
JPR Lamsam,6,1.0,0,10.0
SC Ganguly,76,7.0,0,13.0
Sohail Tanvir,36,5.0,0,12.0
V Sibanda,73,6.0,0,16.0
Aftab Ahmed,40,5.0,0,12.0
C Kieswetter,32,2.0,0,12.0
Abdul Razzaq,124,13.0,0,11.0
FRJ Coleman,19,3.0,0,9.0
JJ Tucker,32,3.0,0,13.0
DR Tuffey,13,1.0,0,6.0
Mohammad Irfan,5,1.0,0,5.0
MMA Jonkman,5,1.0,0,12.0
DM Bravo,196,20.0,0,11.0
GD Elliott,297,27.0,0,11.0
Mohammad Hafeez,218,14.0,0,12.0
