Batsman,Total Runs Scored,Home Runs,Milestones Reached, avg Balls Faced
Salman Butt,316,48.0,0,13.0
TM Dowlin,11,1.0,0,7.0
V Sehwag,1089,193.0,0,12.0
TMK Mawoyo,33,3.0,0,15.0
DA Warner,710,105.0,0,13.0
DA Miller,12,1.0,0,12.0
TV Mufambisi,15,2.0,0,12.0
Mehrab Hossain jnr,36,5.0,0,13.0
B Zuiderent,29,4.0,0,15.0
MEK Hussey,16,2.0,0,11.0
MM Ali,222,35.0,0,12.0
Imrul Kayes,374,56.0,0,13.0
RW Chakabva,54,5.0,0,11.0
Shaiman Anwar,9,1.0,0,11.0
SD Outerbridge,18,1.0,0,8.0
MJ Guptill,1020,155.0,1.0,13.0
Asghar Stanikzai,31,4.0,0,11.0
MJ Clarke,184,25.0,0,9.0
AD Hales,214,32.0,0,11.0
Khurram Manzoor,26,4.0,0,12.0
MJ Prior,165,24.0,0,9.0
S Chanderpaul,198,28.0,0,12.0
DJ Bravo,25,4.0,0,8.0
KA Edwards,58,7.0,0,9.0
IH Romaine,10,1.0,0,8.0
CK Kapugedera,5,1.0,0,3.0
RR Watson,55,8.0,0,10.0
N Deonarine,27,4.0,0,10.0
Shahzaib Hasan,48,9.0,0,17.0
Shamsur Rahman,60,8.0,0,11.0
Asif Iqbal (1),4,2.0,0,8.0
ML Udawatte,35,4.0,0,11.0
LMP Simmons,223,29.0,0,11.0
EJG Morgan,38,5.0,0,7.0
HM Amla,1340,206.0,0,14.0
L Ronchi,29,4.0,0,9.0
AA Mulla,46,8.0,0,12.0
Rizwan Cheema,46,9.0,0,8.0
RJ Nicol,170,23.0,0,13.0
KC Sangakkara,412,56.0,0,7.0
RE van der Merwe,7,1.0,0,7.0
MJ Lumb,34,4.0,0,17.0
CK Coventry,30,4.0,0,7.0
PJ Ingram,50,7.0,0,12.0
AT Rayudu,18,3.0,0,9.0
SR Tendulkar,710,104.0,0,12.0
Usman Ghani,116,14.0,0,13.0
JP Bray,43,5.0,0,11.0
KED Carroll,13,1.0,0,13.0
Khurram Khan,6,1.0,0,8.0
JM Davison,76,13.0,0,9.0
R Dravid,51,6.0,0,7.0
GM Hamilton,48,6.0,0,10.0
Mohammad Shahzad (2),14,2.0,0,15.0
CR Ervine,24,4.0,0,7.0
XM Marshall,13,2.0,0,8.0
ME Trescothick,58,10.0,0,13.0
DP Hyatt,16,2.0,0,12.0
RV Uthappa,158,24.0,0,11.0
PL Mommsen,8,1.0,0,4.0
RS Bopara,102,12.0,0,11.0
L Vincent,131,15.0,0,15.0
HDRL Thirimanne,169,20.0,0,11.0
RT Ponting,284,47.0,0,8.0
Javed Ahmadi,133,17.0,0,12.0
A Balbirnie,34,4.0,0,16.0
Tabarak Dar,17,2.0,0,17.0
SB Styris,10,2.0,0,7.0
DR Chumney,13,2.0,0,8.0
Younis Khan,228,27.0,0,8.0
KD Karthik,204,30.0,0,13.0
KO Otieno,10,2.0,0,9.0
Irfan Ahmed,14,3.0,0,23.0
TLW Cooper,21,4.0,0,10.0
