Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Runs Made,Team,Home
ME Trescothick,51.0,36.0,15.0,51,49.0,1,26.0,2,8,13,0,301,England,0
IR Bell,0.0,0.0,0.0,0,49.0,1,26.0,2,8,13,0,301,England,0
AC Botha,28.0,12.0,16.0,55,41.0,1,10.0,1,8,8,302,263,Ireland,1
WK McCallan,1.0,0.0,1.0,10,41.0,1,10.0,1,8,8,302,263,Ireland,1
KP Pietersen,17.0,8.0,9.0,25,16.0,3,22.0,0,12,10,0,166,England,1
JWM Dalrymple,0.0,0.0,0.0,0,16.0,3,22.0,0,12,10,0,166,England,1
PD Collingwood,6.0,4.0,2.0,20,16.0,3,22.0,0,12,10,0,166,England,1
Mohammad Yousuf,2.0,0.0,2.0,20,26.0,2,10.0,0,12,13,167,169,Pakistan,0
Younis Khan,23.0,20.0,3.0,45,26.0,2,10.0,0,12,13,167,169,Pakistan,0
KP Pietersen,1.0,0.0,1.0,1,52.0,1,26.0,1,12,7,0,271,England,1
IR Bell,27.0,4.0,23.0,42,52.0,1,26.0,1,12,7,0,271,England,1
Mohammad Yousuf,9.0,4.0,5.0,22,42.0,2,26.0,0,12,16,272,274,Pakistan,0
Younis Khan,38.0,32.0,6.0,47,42.0,2,26.0,0,12,16,272,274,Pakistan,0
Mohammad Yousuf,7.0,0.0,7.0,35,36.0,2,7.0,1,24,4,0,235,Pakistan,0
Inzamam-ul-Haq,5.0,0.0,5.0,17,36.0,2,7.0,1,24,4,0,235,Pakistan,0
AJ Strauss,40.0,24.0,16.0,58,38.0,1,17.0,0,16,10,236,237,England,1
IR Bell,2.0,0.0,2.0,11,38.0,1,17.0,0,16,10,236,237,England,1
Younis Khan,0.0,0.0,0.0,0,18.0,0,17.0,3,6,9,0,154,Pakistan,0
Mohammad Yousuf,0.0,0.0,0.0,0,18.0,0,17.0,3,6,9,0,154,Pakistan,0
KP Pietersen,13.0,8.0,5.0,15,47.0,3,21.0,0,20,9,155,155,England,1
PD Collingwood,10.0,4.0,6.0,20,47.0,3,21.0,0,20,9,155,155,England,1
JWM Dalrymple,0.0,0.0,0.0,0,47.0,3,21.0,0,20,9,155,155,England,1
WU Tharanga,52.0,40.0,12.0,50,32.0,1,43.0,0,0,13,0,257,Sri Lanka,0
