Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Runs Made,Team,Home
DPMD Jayawardene,12.0,0.0,12.0,27,32.0,1,43.0,0,0,13,0,257,Sri Lanka,0
KP Pietersen,10.0,4.0,6.0,14,43.0,1,19.0,1,4,9,258,237,England,1
PD Collingwood,0.0,0.0,0.0,0,43.0,1,19.0,1,4,9,258,237,England,1
ME Trescothick,33.0,20.0,13.0,53,43.0,1,19.0,1,4,9,258,237,England,1
JWM Dalrymple,0.0,0.0,0.0,0,43.0,1,19.0,1,4,9,258,237,England,1
DPMD Jayawardene,15.0,10.0,5.0,18,41.0,1,27.0,0,4,21,0,319,Sri Lanka,0
ST Jayasuriya,36.0,22.0,14.0,47,41.0,1,27.0,0,4,21,0,319,Sri Lanka,0
IR Bell,27.0,12.0,15.0,37,47.0,2,31.0,0,22,11,320,273,England,1
KP Pietersen,24.0,18.0,6.0,25,47.0,2,31.0,0,22,11,320,273,England,1
IR Bell,3.0,0.0,3.0,7,44.0,0,27.0,2,4,11,0,261,England,1
KP Pietersen,0.0,0.0,0.0,2,44.0,0,27.0,2,4,11,0,261,England,1
DPMD Jayawardene,51.0,40.0,11.0,41,73.0,1,41.0,0,4,12,262,265,Sri Lanka,0
WU Tharanga,40.0,28.0,12.0,40,73.0,1,41.0,0,4,12,262,265,Sri Lanka,0
KC Sangakkara,0.0,0.0,0.0,0,73.0,1,41.0,0,4,12,262,265,Sri Lanka,0
WU Tharanga,37.0,16.0,21.0,52,51.0,1,40.0,0,8,22,0,318,Sri Lanka,0
DPMD Jayawardene,40.0,16.0,24.0,26,51.0,1,40.0,0,8,22,0,318,Sri Lanka,0
AJ Strauss,1.0,0.0,1.0,3,58.0,0,30.0,2,20,11,319,285,England,1
IR Bell,4.0,0.0,4.0,9,58.0,0,30.0,2,20,11,319,285,England,1
AN Cook,34.0,12.0,22.0,46,37.0,0,33.0,0,20,12,0,321,England,1
ME Trescothick,36.0,28.0,8.0,47,37.0,0,33.0,0,20,12,0,321,England,1
IR Bell,0.0,0.0,0.0,0,37.0,0,33.0,0,20,12,0,321,England,1
WU Tharanga,66.0,46.0,20.0,52,117.0,0,27.0,0,12,15,322,324,Sri Lanka,0
ST Jayasuriya,78.0,56.0,22.0,50,117.0,0,27.0,0,12,15,322,324,Sri Lanka,0
M Kaif,9.0,4.0,5.0,16,58.0,1,29.0,1,4,18,0,245,India,0
V Sehwag,52.0,34.0,18.0,43,58.0,1,29.0,1,4,18,0,245,India,0
RR Sarwan,24.0,16.0,8.0,22,31.0,2,22.0,0,18,8,246,248,West Indies,1
CH Gayle,18.0,12.0,6.0,38,31.0,2,22.0,0,18,8,246,248,West Indies,1
R Dravid,13.0,4.0,9.0,38,27.0,2,13.0,0,8,12,0,217,India,0
M Kaif,0.0,0.0,0.0,0,27.0,2,13.0,0,8,12,0,217,India,0
Yuvraj Singh,9.0,4.0,5.0,22,27.0,2,13.0,0,8,12,0,217,India,0
BC Lara,9.0,4.0,5.0,24,45.0,2,15.0,0,0,9,218,218,West Indies,1
CH Gayle,36.0,30.0,6.0,49,45.0,2,15.0,0,0,9,218,218,West Indies,1
CH Gayle,41.0,32.0,9.0,55,46.0,1,15.0,0,8,12,0,255,West Indies,1
RR Sarwan,20.0,4.0,16.0,39,46.0,1,15.0,0,8,12,0,255,West Indies,1
BC Lara,0.0,0.0,0.0,0,46.0,1,15.0,0,8,12,0,255,West Indies,1
Yuvraj Singh,6.0,4.0,2.0,5,44.0,2,31.0,1,14,14,256,236,India,0
V Sehwag,37.0,24.0,13.0,43,44.0,2,31.0,1,14,14,256,236,India,0
RR Sarwan,30.0,24.0,6.0,36,37.0,1,13.0,0,8,6,0,241,West Indies,1
S Chanderpaul,18.0,8.0,10.0,51,37.0,1,13.0,0,8,6,0,241,West Indies,1
MN Samuels,0.0,0.0,0.0,0,37.0,1,13.0,0,8,6,0,241,West Indies,1
Mohammad Yousuf,12.0,0.0,12.0,27,35.0,2,6.0,1,16,4,242,187,Pakistan,0
Inzamam-ul-Haq,3.0,0.0,3.0,20,35.0,2,6.0,1,16,4,242,187,Pakistan,0
JP Bray,35.0,20.0,15.0,43,40.0,2,18.0,2,12,3,0,221,Ireland,0
KJ O'Brien,0.0,0.0,0.0,3,40.0,2,18.0,2,12,3,0,221,Ireland,0
V Sibanda,48.0,28.0,20.0,53,45.0,1,17.0,0,12,7,222,221,Zimbabwe,0
CJ Chibhabha,2.0,0.0,2.0,21,45.0,1,17.0,0,12,7,222,221,Zimbabwe,0
MP Vaughan,26.0,12.0,14.0,50,24.0,2,21.0,0,8,9,0,209,England,0
PD Collingwood,0.0,0.0,0.0,0,24.0,2,21.0,0,8,9,0,209,England,0
KP Pietersen,14.0,12.0,2.0,23,24.0,2,21.0,0,8,9,0,209,England,0
CD McMillan,27.0,12.0,15.0,32,40.0,3,26.0,0,0,8,210,210,New Zealand,0
SB Styris,32.0,20.0,12.0,41,40.0,3,26.0,0,0,8,210,210,New Zealand,0
JDP Oram,0.0,0.0,0.0,0,40.0,3,26.0,0,0,8,210,210,New Zealand,0
SC Ganguly,11.0,0.0,11.0,48,16.0,2,13.0,1,12,8,0,191,India,0
R Dravid,0.0,0.0,0.0,0,16.0,2,13.0,1,12,8,0,191,India,0
Mushfiqur Rahim,8.0,0.0,8.0,23,36.0,1,29.0,1,8,6,192,192,Bangladesh,0
Aftab Ahmed,4.0,0.0,4.0,8,36.0,1,29.0,1,8,6,192,192,Bangladesh,0
Shakib Al Hasan,0.0,0.0,0.0,0,36.0,1,29.0,1,8,6,192,192,Bangladesh,0
Shoaib Malik,1.0,0.0,1.0,8,29.0,2,15.0,2,4,1,0,132,Pakistan,0
Imran Nazir,23.0,12.0,11.0,48,29.0,2,15.0,2,4,1,0,132,Pakistan,0
Kamran Akmal,0.0,0.0,0.0,0,29.0,2,15.0,2,4,1,0,132,Pakistan,0
NJ O'Brien,25.0,8.0,17.0,38,31.0,2,9.0,0,4,8,133,133,Ireland,0
WTS Porterfield,10.0,4.0,6.0,37,31.0,2,9.0,0,4,8,133,133,Ireland,0
BRM Taylor,11.0,4.0,7.0,37,23.0,3,16.0,0,0,10,0,202,Zimbabwe,0
S Matsikenyeri,15.0,8.0,7.0,25,23.0,3,16.0,0,0,10,0,202,Zimbabwe,0
SC Williams,0.0,0.0,0.0,0,23.0,3,16.0,0,0,10,0,202,Zimbabwe,0
CH Gayle,36.0,30.0,6.0,45,21.0,0,33.0,0,0,9,203,204,West Indies,1
S Chanderpaul,18.0,12.0,6.0,52,21.0,0,33.0,0,0,9,203,204,West Indies,1
RR Sarwan,0.0,0.0,0.0,0,21.0,0,33.0,0,0,9,203,204,West Indies,1
MN Samuels,0.0,0.0,0.0,0,21.0,0,33.0,0,0,9,203,204,West Indies,1
DPMD Jayawardene,2.0,0.0,2.0,4,55.0,0,36.0,1,8,8,0,318,Sri Lanka,0
ST Jayasuriya,63.0,44.0,19.0,53,55.0,0,36.0,1,8,8,0,318,Sri Lanka,0
Shakib Al Hasan,2.0,0.0,2.0,18,25.0,3,2.0,1,8,9,319,112,Bangladesh,0
Habibul Bashar,1.0,0.0,1.0,15,25.0,3,2.0,1,8,9,319,112,Bangladesh,0
Mohammad Ashraful,0.0,0.0,0.0,0,25.0,3,2.0,1,8,9,319,112,Bangladesh,0
Imran Nazir,33.0,22.0,11.0,40,31.0,1,33.0,0,12,13,0,349,Pakistan,0
Shoaib Malik,16.0,10.0,6.0,26,31.0,1,33.0,0,12,13,0,349,Pakistan,0
Inzamam-ul-Haq,0.0,0.0,0.0,0,31.0,1,33.0,0,12,13,0,349,Pakistan,0
E Chigumbura,27.0,24.0,3.0,10,23.0,3,51.0,2,12,9,350,99,Zimbabwe,0
GB Brent,0.0,0.0,0.0,0,23.0,3,51.0,2,12,9,350,99,Zimbabwe,0
SC Williams,4.0,0.0,4.0,6,23.0,3,51.0,2,12,9,350,99,Zimbabwe,0
P Utseya,0.0,0.0,0.0,0,23.0,3,51.0,2,12,9,350,99,Zimbabwe,0
T Mupariwa,0.0,0.0,0.0,0,23.0,3,51.0,2,12,9,350,99,Zimbabwe,0
CB Mpofu,0.0,0.0,0.0,0,23.0,3,51.0,2,12,9,350,99,Zimbabwe,0
WU Tharanga,24.0,12.0,12.0,39,28.0,1,14.0,1,8,9,0,254,Sri Lanka,0
KC Sangakkara,5.0,4.0,1.0,12,28.0,1,14.0,1,8,9,0,254,Sri Lanka,0
V Sehwag,32.0,22.0,10.0,29,40.0,1,22.0,2,8,14,255,185,India,0
R Dravid,5.0,4.0,1.0,9,40.0,1,22.0,2,8,14,255,185,India,0
EJG Morgan,18.0,6.0,12.0,31,39.0,1,13.0,0,8,5,0,183,Ireland,0
JP Bray,34.0,24.0,10.0,58,39.0,1,13.0,0,8,5,0,183,Ireland,0
NJ O'Brien,0.0,0.0,0.0,0,39.0,1,13.0,0,8,5,0,183,Ireland,0
S Chanderpaul,34.0,20.0,14.0,48,50.0,1,9.0,0,38,10,184,190,West Indies,1
RR Sarwan,7.0,0.0,7.0,32,50.0,1,9.0,0,38,10,184,190,West Indies,1
ML Hayden,64.0,50.0,14.0,47,77.0,0,29.0,1,38,5,0,377,Australia,0
RT Ponting,0.0,0.0,0.0,1,77.0,0,29.0,1,38,5,0,377,Australia,0
GC Smith,48.0,36.0,12.0,36,70.0,0,40.0,0,30,11,378,294,South Africa,0
AB de Villiers,62.0,46.0,16.0,57,70.0,0,40.0,0,30,11,378,294,South Africa,0
ML Hayden,26.0,12.0,14.0,46,48.0,1,20.0,1,8,11,0,322,Australia,0
MJ Clarke,0.0,0.0,0.0,1,48.0,1,20.0,1,8,11,0,322,Australia,0
BC Lara,8.0,0.0,8.0,20,15.0,3,15.0,0,12,6,323,219,West Indies,1
RR Sarwan,11.0,0.0,11.0,27,15.0,3,15.0,0,12,6,323,219,West Indies,1
KC Sangakkara,13.0,8.0,5.0,18,44.0,1,19.0,2,8,11,0,209,Sri Lanka,0
LPC Silva,0.0,0.0,0.0,2,44.0,1,19.0,2,8,11,0,209,Sri Lanka,0
GC Smith,55.0,34.0,21.0,54,44.0,1,41.0,0,0,16,210,212,South Africa,0
JH Kallis,30.0,12.0,18.0,33,44.0,1,41.0,0,0,16,210,212,South Africa,0
HH Gibbs,0.0,0.0,0.0,0,44.0,1,41.0,0,0,16,210,212,South Africa,0
RR Sarwan,11.0,4.0,7.0,22,24.0,1,25.0,0,12,13,0,177,West Indies,1
CH Gayle,34.0,28.0,6.0,43,24.0,1,25.0,0,12,13,0,177,West Indies,1
MN Samuels,0.0,0.0,0.0,0,24.0,1,25.0,0,12,13,0,177,West Indies,1
SB Styris,1.0,0.0,1.0,17,35.0,2,11.0,0,10,15,178,179,New Zealand,0
SP Fleming,30.0,20.0,10.0,50,35.0,2,11.0,0,10,15,178,179,New Zealand,0
IR Bell,22.0,8.0,14.0,52,35.0,2,28.0,0,0,12,0,266,England,0
KP Pietersen,34.0,20.0,14.0,30,35.0,2,28.0,0,0,12,0,266,England,0
NJ O'Brien,25.0,12.0,13.0,29,34.0,2,21.0,0,4,9,267,218,Ireland,0
WTS Porterfield,28.0,4.0,24.0,57,34.0,2,21.0,0,4,9,267,218,Ireland,0
AC Botha,0.0,0.0,0.0,0,34.0,2,21.0,0,4,9,267,218,Ireland,0
Shakib Al Hasan,23.0,6.0,17.0,33,37.0,4,20.0,0,4,19,0,104,Bangladesh,0
Habibul Bashar,13.0,0.0,13.0,26,37.0,4,20.0,0,4,19,0,104,Bangladesh,0
Mashrafe Mortaza,0.0,0.0,0.0,0,37.0,4,20.0,0,4,19,0,104,Bangladesh,0
DPMD Jayawardene,10.0,0.0,10.0,25,28.0,2,11.0,0,30,12,0,303,Sri Lanka,0
ST Jayasuriya,14.0,4.0,10.0,38,28.0,2,11.0,0,30,12,0,303,Sri Lanka,0
S Chanderpaul,4.0,0.0,4.0,28,34.0,2,8.0,1,0,15,304,190,West Indies,1
RR Sarwan,5.0,0.0,5.0,15,34.0,2,8.0,1,0,15,304,190,West Indies,1
Javed Omar,13.0,8.0,5.0,39,23.0,0,17.0,0,8,11,0,174,Bangladesh,0
Tamim Iqbal,27.0,16.0,11.0,51,23.0,0,17.0,0,8,11,0,174,Bangladesh,0
Aftab Ahmed,0.0,0.0,0.0,0,23.0,0,17.0,0,8,11,0,174,Bangladesh,0
Shakib Al Hasan,0.0,0.0,0.0,0,23.0,0,17.0,0,8,11,0,174,Bangladesh,0
SP Fleming,39.0,20.0,19.0,46,44.0,1,16.0,0,16,10,175,178,New Zealand,0
HJH Marshall,6.0,0.0,6.0,15,44.0,1,16.0,0,16,10,175,178,New Zealand,0
NJ O'Brien,1.0,0.0,1.0,12,17.0,1,14.0,1,16,11,0,152,Ireland,0
EJG Morgan,16.0,8.0,8.0,38,17.0,1,14.0,1,16,11,0,152,Ireland,0
AR White,0.0,0.0,0.0,0,17.0,1,14.0,1,16,11,0,152,Ireland,0
JH Kallis,32.0,24.0,8.0,37,60.0,1,19.0,1,4,8,153,165,South Africa,0
HH Gibbs,6.0,4.0,2.0,8,60.0,1,19.0,1,4,8,153,165,South Africa,0
AG Prince,0.0,0.0,0.0,0,60.0,1,19.0,1,4,8,153,165,South Africa,0
KC Sangakkara,11.0,4.0,7.0,22,42.0,1,13.0,0,4,14,0,235,Sri Lanka,0
WU Tharanga,19.0,0.0,19.0,44,42.0,1,13.0,0,4,14,0,235,Sri Lanka,0
DPMD Jayawardene,0.0,0.0,0.0,0,42.0,1,13.0,0,4,14,0,235,Sri Lanka,0
KP Pietersen,27.0,18.0,9.0,24,33.0,2,36.0,0,0,15,236,233,England,0
IR Bell,32.0,16.0,16.0,42,33.0,2,36.0,0,0,15,236,233,England,0
Tamim Iqbal,27.0,16.0,11.0,45,33.0,0,11.0,1,12,8,0,251,Bangladesh,0
Habibul Bashar,0.0,0.0,0.0,5,33.0,0,11.0,1,12,8,0,251,Bangladesh,0
Shakib Al Hasan,0.0,0.0,0.0,0,33.0,0,11.0,1,12,8,0,251,Bangladesh,0
Mohammad Ashraful,0.0,0.0,0.0,0,33.0,0,11.0,1,12,8,0,251,Bangladesh,0
AB de Villiers,14.0,4.0,10.0,33,36.0,1,22.0,0,0,4,252,184,South Africa,0
JH Kallis,32.0,24.0,8.0,35,36.0,1,22.0,0,0,4,252,184,South Africa,0
JM Kemp,0.0,0.0,0.0,0,36.0,1,22.0,0,0,4,252,184,South Africa,0
AG Prince,0.0,0.0,0.0,0,36.0,1,22.0,0,0,4,252,184,South Africa,0
KP Pietersen,23.0,18.0,5.0,24,34.0,2,35.0,0,8,19,0,247,England,0
IR Bell,34.0,20.0,14.0,50,34.0,2,35.0,0,8,19,0,247,England,0
ML Hayden,34.0,24.0,10.0,44,48.0,0,19.0,1,8,12,248,248,Australia,0
RT Ponting,6.0,4.0,2.0,12,48.0,0,19.0,1,8,12,248,248,Australia,0
MJ Clarke,0.0,0.0,0.0,0,48.0,0,19.0,1,8,12,248,248,Australia,0
PG Fulton,32.0,24.0,8.0,51,51.0,1,15.0,1,8,13,0,263,New Zealand,0
SB Styris,8.0,4.0,4.0,13,51.0,1,15.0,1,8,13,0,263,New Zealand,0
CD McMillan,0.0,0.0,0.0,0,51.0,1,15.0,1,8,13,0,263,New Zealand,0
NJ O'Brien,3.0,0.0,3.0,22,24.0,2,13.0,1,14,9,264,134,Ireland,0
KJ O'Brien,7.0,4.0,3.0,6,24.0,2,13.0,1,14,9,264,134,Ireland,0
AB de Villiers,33.0,16.0,17.0,46,31.0,1,49.0,0,14,12,0,356,South Africa,0
JH Kallis,40.0,26.0,14.0,26,31.0,1,49.0,0,14,12,0,356,South Africa,0
BC Lara,10.0,0.0,10.0,12,61.0,1,26.0,2,16,17,357,289,West Indies,1
RR Sarwan,8.0,4.0,4.0,9,61.0,1,26.0,2,16,17,357,289,West Indies,1
DJ Bravo,0.0,0.0,0.0,0,61.0,1,26.0,2,16,17,357,289,West Indies,1
Aftab Ahmed,8.0,4.0,4.0,3,32.0,3,24.0,2,12,7,0,143,Bangladesh,0
Mashrafe Mortaza,0.0,0.0,0.0,0,32.0,3,24.0,2,12,7,0,143,Bangladesh,0
Shakib Al Hasan,19.0,14.0,5.0,29,32.0,3,24.0,2,12,7,0,143,Bangladesh,0
KP Pietersen,0.0,0.0,0.0,3,20.0,1,20.0,1,0,18,144,147,England,0
MP Vaughan,17.0,12.0,5.0,41,20.0,1,20.0,1,0,18,144,147,England,0
PG Fulton,19.0,12.0,7.0,42,17.0,2,24.0,0,16,10,0,219,New Zealand,0
SB Styris,22.0,12.0,10.0,43,17.0,2,24.0,0,16,10,0,219,New Zealand,0
CD McMillan,0.0,0.0,0.0,0,17.0,2,24.0,0,16,10,0,219,New Zealand,0
ST Jayasuriya,42.0,18.0,24.0,44,49.0,1,23.0,0,0,15,220,222,Sri Lanka,0
KC Sangakkara,19.0,4.0,15.0,28,49.0,1,23.0,0,0,15,220,222,Sri Lanka,0
DT Johnston,14.0,8.0,6.0,16,22.0,4,19.0,2,4,14,0,91,Ireland,0
JF Mooney,0.0,0.0,0.0,0,22.0,4,19.0,2,4,14,0,91,Ireland,0
WK McCallan,3.0,0.0,3.0,8,22.0,4,19.0,2,4,14,0,91,Ireland,0
JH Kallis,14.0,6.0,8.0,42,10.0,2,20.0,0,4,14,0,193,South Africa,0
HH Gibbs,15.0,10.0,5.0,32,10.0,2,20.0,0,4,14,0,193,South Africa,0
SP Fleming,16.0,4.0,12.0,32,37.0,1,9.0,1,8,9,194,196,New Zealand,0
SB Styris,4.0,0.0,4.0,10,37.0,1,9.0,1,8,9,194,196,New Zealand,0
JP Bray,11.0,0.0,11.0,35,26.0,0,21.0,0,8,9,0,243,Ireland,0
WTS Porterfield,36.0,8.0,28.0,60,26.0,0,21.0,0,8,9,0,243,Ireland,0
Tamim Iqbal,17.0,8.0,9.0,49,32.0,1,16.0,2,22,10,244,169,Bangladesh,0
Mohammad Ashraful,9.0,8.0,1.0,9,32.0,1,16.0,2,22,10,244,169,Bangladesh,0
LPC Silva,15.0,12.0,3.0,32,22.0,3,24.0,0,0,13,0,226,Sri Lanka,0
DPMD Jayawardene,13.0,8.0,5.0,24,22.0,3,24.0,0,0,13,0,226,Sri Lanka,0
RT Ponting,6.0,0.0,6.0,12,53.0,0,25.0,2,20,9,227,232,Australia,0
MJ Clarke,1.0,0.0,1.0,3,53.0,0,25.0,2,20,9,227,232,Australia,0
AJ Strauss,19.0,10.0,9.0,21,27.0,1,18.0,1,8,8,0,154,England,0
KP Pietersen,2.0,0.0,2.0,9,27.0,1,18.0,1,8,8,0,154,England,0
PD Collingwood,0.0,0.0,0.0,0,27.0,1,18.0,1,8,8,0,154,England,0
GC Smith,56.0,24.0,32.0,41,77.0,1,31.0,0,28,12,155,157,South Africa,0
JH Kallis,10.0,8.0,2.0,16,77.0,1,31.0,0,28,12,155,157,South Africa,0
NJ O'Brien,2.0,0.0,2.0,16,31.0,3,7.0,0,0,5,0,77,Ireland,0
WTS Porterfield,16.0,4.0,12.0,43,31.0,3,7.0,0,0,5,0,77,Ireland,0
KJ O'Brien,0.0,0.0,0.0,0,31.0,3,7.0,0,0,5,0,77,Ireland,0
KED Carroll,0.0,0.0,0.0,0,31.0,3,7.0,0,0,5,0,77,Ireland,0
DT Johnston,0.0,0.0,0.0,0,31.0,3,7.0,0,0,5,0,77,Ireland,0
WK McCallan,0.0,0.0,0.0,0,31.0,3,7.0,0,0,5,0,77,Ireland,0
MN Samuels,10.0,4.0,6.0,40,15.0,2,9.0,0,8,12,0,230,West Indies,1
S Chanderpaul,8.0,4.0,4.0,28,15.0,2,9.0,0,8,12,0,230,West Indies,1
Javed Omar,15.0,4.0,11.0,50,18.0,2,12.0,2,4,8,231,131,Bangladesh,0
Habibul Bashar,0.0,0.0,0.0,2,18.0,2,12.0,2,4,8,231,131,Bangladesh,0
Mushfiqur Rahim,0.0,0.0,0.0,0,18.0,2,12.0,2,4,8,231,131,Bangladesh,0
ML Hayden,45.0,26.0,19.0,49,70.0,1,22.0,0,4,22,0,348,Australia,0
RT Ponting,46.0,28.0,18.0,46,70.0,1,22.0,0,4,22,0,348,Australia,0
PG Fulton,34.0,12.0,22.0,40,70.0,2,15.0,3,4,19,349,133,New Zealand,0
BB McCullum,2.0,0.0,2.0,4,70.0,2,15.0,3,4,19,349,133,New Zealand,0
DL Vettori,0.0,0.0,0.0,0,70.0,2,15.0,3,4,19,349,133,New Zealand,0
DS Smith,28.0,12.0,16.0,55,60.0,0,32.0,0,4,10,0,300,West Indies,1
CH Gayle,64.0,50.0,14.0,45,60.0,0,32.0,0,4,10,0,300,West Indies,1
MP Vaughan,55.0,32.0,23.0,39,51.0,1,37.0,0,8,14,301,301,England,0
RS Bopara,26.0,12.0,14.0,42,51.0,1,37.0,0,8,14,301,301,England,0
KP Pietersen,0.0,0.0,0.0,0,51.0,1,37.0,0,8,14,301,301,England,0
WU Tharanga,41.0,28.0,13.0,43,39.0,1,21.0,1,4,10,0,289,Sri Lanka,0
DPMD Jayawardene,0.0,0.0,0.0,7,39.0,1,21.0,1,4,10,0,289,Sri Lanka,0
PG Fulton,22.0,4.0,18.0,49,23.0,1,19.0,1,28,13,290,208,New Zealand,0
SB Styris,10.0,8.0,2.0,16,23.0,1,19.0,1,28,13,290,208,New Zealand,0
HH Gibbs,24.0,16.0,8.0,30,26.0,5,22.0,0,4,12,0,149,South Africa,0
JM Kemp,2.0,0.0,2.0,10,26.0,5,22.0,0,4,12,0,149,South Africa,0
ML Hayden,28.0,12.0,16.0,39,45.0,2,14.0,0,16,12,150,153,Australia,0
MJ Clarke,8.0,4.0,4.0,24,45.0,2,14.0,0,16,12,150,153,Australia,0
ML Hayden,21.0,8.0,13.0,41,45.0,0,43.0,0,24,15,0,281,Australia,0
AC Gilchrist,67.0,44.0,23.0,52,45.0,0,43.0,0,24,15,0,281,Australia,0
KC Sangakkara,36.0,22.0,14.0,41,39.0,1,46.0,0,8,23,282,215,Sri Lanka,0
ST Jayasuriya,43.0,32.0,11.0,46,39.0,1,46.0,0,8,23,282,215,Sri Lanka,0
DPMD Jayawardene,0.0,0.0,0.0,0,39.0,1,46.0,0,8,23,282,215,Sri Lanka,0
H Masakadza,13.0,4.0,9.0,25,48.0,1,20.0,0,0,9,0,197,Zimbabwe,1
T Duffin,38.0,28.0,10.0,43,48.0,1,20.0,0,0,9,0,197,Zimbabwe,1
BRM Taylor,0.0,0.0,0.0,0,48.0,1,20.0,0,0,9,0,197,Zimbabwe,1
Shahriar Nafees,40.0,20.0,20.0,54,39.0,0,23.0,0,12,14,198,201,Bangladesh,0
Rajin Saleh,22.0,16.0,6.0,40,39.0,0,23.0,0,12,14,198,201,Bangladesh,0
HH Gibbs,2.0,0.0,2.0,11,43.0,2,16.0,0,12,7,0,248,South Africa,1
AB de Villiers,0.0,0.0,0.0,0,43.0,2,16.0,0,12,7,0,248,South Africa,1
JH Kallis,34.0,24.0,10.0,51,43.0,2,16.0,0,12,7,0,248,South Africa,1
R Dravid,13.0,8.0,5.0,20,39.0,2,16.0,0,16,4,249,91,India,0
SR Tendulkar,34.0,20.0,14.0,49,39.0,2,16.0,0,16,4,249,91,India,0
SK Raina,0.0,0.0,0.0,0,39.0,2,16.0,0,16,4,249,91,India,0
MS Dhoni,0.0,0.0,0.0,0,39.0,2,16.0,0,16,4,249,91,India,0
MV Boucher,1.0,0.0,1.0,9,36.0,2,8.0,2,20,10,0,274,South Africa,1
AB de Villiers,2.0,0.0,2.0,11,36.0,2,8.0,2,20,10,0,274,South Africa,1
SM Pollock,0.0,0.0,0.0,0,36.0,2,8.0,2,20,10,0,274,South Africa,1
R Dravid,11.0,0.0,11.0,40,18.0,3,19.0,0,18,4,275,168,India,0
KD Karthik,14.0,14.0,0.0,21,18.0,3,19.0,0,18,4,275,168,India,0
MS Dhoni,0.0,0.0,0.0,0,18.0,3,19.0,0,18,4,275,168,India,0
JH Kallis,43.0,32.0,11.0,56,32.0,2,31.0,0,14,13,0,243,South Africa,1
HH Gibbs,20.0,12.0,8.0,31,32.0,2,31.0,0,14,13,0,243,South Africa,1
AB de Villiers,0.0,0.0,0.0,0,32.0,2,31.0,0,14,13,0,243,South Africa,1
MV Boucher,0.0,0.0,0.0,0,32.0,2,31.0,0,14,13,0,243,South Africa,1
KD Karthik,5.0,4.0,1.0,15,38.0,3,16.0,1,18,8,244,163,India,0
MS Dhoni,10.0,8.0,2.0,9,38.0,3,16.0,1,18,8,244,163,India,0
IK Pathan,0.0,0.0,0.0,0,38.0,3,16.0,1,18,8,244,163,India,0
SR Tendulkar,4.0,0.0,4.0,41,19.0,2,1.0,0,12,11,0,200,India,0
D Mongia,5.0,0.0,5.0,28,19.0,2,1.0,0,12,11,0,200,India,0
AB de Villiers,50.0,36.0,14.0,51,59.0,0,23.0,0,4,22,201,201,South Africa,1
GC Smith,32.0,26.0,6.0,44,59.0,0,23.0,0,4,22,201,201,South Africa,1
AC Gilchrist,48.0,34.0,14.0,51,60.0,0,16.0,1,18,7,0,289,Australia,1
RT Ponting,1.0,0.0,1.0,5,60.0,0,16.0,1,18,7,0,289,Australia,1
MJ Clarke,0.0,0.0,0.0,0,60.0,0,16.0,1,18,7,0,289,Australia,1
SP Fleming,25.0,10.0,15.0,35,30.0,2,30.0,0,8,10,290,184,New Zealand,0
