Batsman,Total Runs Scored,Number of Home Runs,Number of Milestones Reached,Average Balls Faced,Team
NT Broom,64,4.0,0,11.4444444444,New Zealand
KD Mills,65,11.0,0,15.0,New Zealand
CT Mutombodzi,17,1.0,0,11.5,Zimbabwe
WB Rankin,9,1.0,0,10.0,Ireland
SR Watson,298,27.0,0,11.0333333333,Australia
BB McCullum,239,20.0,0,12.36,New Zealand
AB Agarkar,17,2.0,0,11.0,India
KMDN Kulasekara,60,8.0,0,10.25,Sri Lanka
BJ Watling,47,4.0,0,11.0,New Zealand
SK Raina,711,62.0,0,12.3333333333,India
R Mutumbami,31,3.0,0,14.6666666667,Zimbabwe
R McLaren,32,2.0,0,9.75,South Africa
SL Stewart,14,1.0,0,14.0,New Zealand
TL Best,7,1.0,0,14.0,West Indies
R Vinay Kumar,12,1.0,0,15.0,India
BA Stokes,95,13.0,0,12.6666666667,England
Q de Kock,126,12.0,0,13.0,South Africa
VD Philander,9,1.0,0,3.75,South Africa
P Kumar,11,2.0,0,6.0,India
GH Worker,14,2.0,0,15.0,New Zealand
RR Sarwan,206,13.0,0,12.24,West Indies
MN Samuels,351,34.0,0,10.6511627907,West Indies
KM Dabengwa,37,1.0,0,16.8333333333,Zimbabwe
SR Patel,51,4.0,0,11.5,England
V Kohli,921,86.0,0,13.0136986301,India
GC Smith,168,11.0,0,11.2631578947,South Africa
RV Uthappa,26,3.0,0,9.5,India
