Batsman,Total Runs Scored,Home Runs,Milestones Reached, avg Balls Faced
JA Morkel,35,5.0,0,12.0
Nasir Aziz,9,1.0,0,13.0
V Sehwag,385,49.0,0,13.0
KA Edwards,25,1.0,0,12.0
SC Williams,312,28.0,0,12.0
DE Bernard,26,2.0,0,15.0
WK McCallan,14,2.0,0,7.0
S Mukuddem,10,1.0,0,5.0
SD Outerbridge,12,1.0,0,9.0
MJ Guptill,516,53.0,0,13.0
Najibullah Zadran,22,5.0,0,8.0
Usman Limbada,28,3.0,0,21.0
CK Kapugedera,148,18.0,0,11.0
RR Watson,22,4.0,0,8.0
N Deonarine,66,7.0,0,10.0
CR Brathwaite,9,1.0,0,14.0
DLS van Bunge,38,4.0,0,12.0
Shaiman Anwar,71,10.0,0,14.0
MJ Lumb,21,1.0,0,12.0
CK Coventry,42,3.0,0,10.0
D Mongia,24,3.0,0,10.0
Mohammad Shahzad (2),19,3.0,0,15.0
CR Ervine,120,11.0,0,13.0
XM Marshall,12,1.0,0,16.0
IR Bell,597,46.0,0,12.0
A Symonds,90,13.0,0,8.0
Javed Ahmadi,43,6.0,0,14.0
Umar Gul,8,1.0,0,13.0
HDRL Thirimanne,265,21.0,0,12.0
MBS Jonkman,7,1.0,0,7.0
SW Billings,14,2.0,0,11.0
H Masakadza,403,37.0,0,11.0
AM Samad,28,1.0,0,11.0
LOB Cann,28,5.0,0,5.0
DF Watts,28,2.0,0,9.0
R Mutumbami,29,5.0,0,13.0
Nawroz Mangal,75,6.0,0,10.0
JH Kallis,463,34.0,0,12.0
LRPL Taylor,645,67.0,0,12.0
CH Gayle,304,33.0,0,11.0
MDKJ Perera,115,10.0,0,13.0
IJL Trott,370,20.0,0,13.0
CJ Anderson,141,20.0,0,12.0
Hammad Azam,14,1.0,0,18.0
DPMD Jayawardene,808,77.0,0,11.0
AS Hansra,37,3.0,0,11.0
PG Fulton,187,23.0,0,10.0
JH Davey,33,5.0,0,11.0
KOA Powell,76,7.0,0,11.0
Mahmudullah,156,15.0,0,11.0
DJG Sammy,63,8.0,0,9.0
E Chigumbura,177,16.0,0,8.0
KP Pietersen,493,52.0,0,11.0
DO Obuya,13,1.0,0,9.0
CJ Ferguson,23,1.0,0,10.0
DL Vettori,81,3.0,0,10.0
Samiullah Shenwari,94,7.0,0,14.0
GW Flower,14,1.0,0,11.0
RA Jadeja,98,9.0,0,10.0
LD Chandimal,295,29.0,0,11.0
BMAJ Mendis,25,2.0,0,10.0
SMA Priyanjan,17,3.0,0,13.0
JP Duminy,239,12.0,0,10.0
DJ Hussey,86,5.0,0,9.0
SR Patel,16,1.0,0,7.0
SM Pollock,13,1.0,0,10.0
PD Collingwood,349,37.0,0,10.0
Asad Shafiq,221,22.0,0,13.0
PJ Forrest,39,5.0,0,13.0
Sikandar Raza,62,4.0,0,10.0
IK Pathan,34,4.0,0,9.0
AC Gilchrist,110,14.0,0,11.0
ST Jayasuriya,194,20.0,0,11.0
CJ Chibhabha,249,22.0,0,13.0
Tamim Iqbal,467,45.0,0,12.0
JM How,121,15.0,0,14.0
AC Evans,8,2.0,0,6.0
DR Martyn,39,3.0,0,16.0
Sohaib Maqsood,47,3.0,0,7.0
DT Johnston,22,2.0,0,6.0
LE Bosman,48,9.0,0,9.0
JWA Taylor,116,9.0,0,13.0
DCC Borden,5,1.0,0,21.0
LMP Simmons,222,19.0,0,13.0
EC Joyce,176,12.0,0,11.0
Mushfiqur Rahim,378,30.0,0,10.0
