Batsman,Total Runs Scored,Home Runs,Milestones Reached, avg Balls Faced
JA Morkel,109,10.0,0,9.0
HH Gibbs,81,7.0,0,10.0
T Thushara,45,4.0,0,12.0
V Sehwag,76,11.0,0,10.0
KA Edwards,34,4.0,0,11.0
SC Williams,241,22.0,0,12.0
DE Bernard,19,1.0,0,8.0
LE Plunkett,49,7.0,0,9.0
S Mukuddem,9,1.0,0,14.0
Gulbodin Naib,10,2.0,0,8.0
Nasir Aziz,30,5.0,0,20.0
Shaiman Anwar,67,11.0,0,10.0
MJ Guptill,157,18.0,0,12.0
Najibullah Zadran,52,7.0,0,7.0
GB Hogg,42,5.0,0,11.0
Usman Limbada,15,1.0,0,10.0
CK Kapugedera,176,16.0,0,9.0
N Deonarine,59,6.0,0,10.0
CR Brathwaite,9,1.0,0,5.0
MC Sorensen,27,4.0,0,10.0
NW Bracken,10,1.0,0,9.0
DLS van Bunge,10,2.0,0,7.0
SR Patel,110,12.0,0,8.0
M Kartik,14,2.0,0,16.0
Ziaur Rahman,9,1.0,0,5.0
CK Coventry,47,3.0,0,17.0
D Mongia,23,1.0,0,10.0
MJ Santner,41,4.0,0,13.0
CR Ervine,148,11.0,0,15.0
A Symonds,300,28.0,0,12.0
Umar Gul,62,7.0,0,5.0
HDRL Thirimanne,230,16.0,0,9.0
Abdur Rehman,17,1.0,0,6.0
H Masakadza,146,16.0,0,10.0
Fayyaz Ahmed,14,2.0,0,10.0
AM Samad,9,1.0,0,9.0
LOB Cann,22,2.0,0,13.0
B Lee,70,8.0,0,10.0
R Mutumbami,28,1.0,0,8.0
TWM Latham,12,2.0,0,15.0
Nawroz Mangal,20,3.0,0,12.0
JH Kallis,183,16.0,0,9.0
LRPL Taylor,700,78.0,0,11.0
CH Gayle,92,8.0,0,9.0
DR Lockhart,7,1.0,0,12.0
PC de Silva,17,2.0,0,9.0
Mohammad Yousuf,269,23.0,0,12.0
Haseeb Amjad,17,3.0,0,9.0
Shafiqullah,22,3.0,0,10.0
MDKJ Perera,49,7.0,0,11.0
SP Narine,83,13.0,0,7.0
SJ Benn,28,2.0,0,9.0
IJL Trott,330,29.0,0,14.0
PD McGlashan,19,3.0,0,17.0
RJ Sidebottom,29,3.0,0,12.0
CJ Anderson,188,24.0,0,10.0
Mahbubul Alam,36,3.0,0,14.0
Hammad Azam,4,1.0,0,5.0
DPMD Jayawardene,664,75.0,0,10.0
AS Hansra,31,2.0,0,9.0
Najeeb Amar,11,2.0,0,6.0
PG Fulton,47,4.0,0,9.0
ST Finn,37,5.0,0,6.0
JAR Blain,16,2.0,0,13.0
JH Davey,22,3.0,0,8.0
SL Malinga,47,5.0,0,6.0
PC Connell,4,1.0,0,7.0
LM Jongwe,65,6.0,0,11.0
RR Emrit,9,1.0,0,18.0
Abdur Razzak,103,11.0,0,8.0
Qaiser Ali,9,1.0,0,20.0
ND McKenzie,42,4.0,0,14.0
JR Hopes,192,17.0,0,12.0
E Chigumbura,538,56.0,0,10.0
KP Pietersen,262,32.0,0,11.0
DO Obuya,20,1.0,0,18.0
CJ Ferguson,90,8.0,0,8.0
DL Vettori,229,19.0,0,10.0
Samiullah Shenwari,149,16.0,0,13.0
Ahmed Shehzad,71,6.0,0,12.0
JDS Neesham,34,6.0,0,8.0
RA Jadeja,299,23.0,0,10.0
EJG Morgan,594,71.0,0,11.0
BMAJ Mendis,105,12.0,0,10.0
SMA Priyanjan,44,4.0,0,8.0
JP Duminy,551,33.0,0,12.0
NO Miller,32,4.0,0,5.0
RJ Trott,34,2.0,0,16.0
DJ Hussey,226,16.0,0,11.0
MG Johnson,79,8.0,0,7.0
SM Pollock,104,12.0,0,9.0
PD Collingwood,314,16.0,0,12.0
CH Morris,16,1.0,0,6.0
Asad Shafiq,93,12.0,0,9.0
PJ Forrest,30,3.0,0,10.0
Mirwais Ashraf,21,2.0,0,9.0
AJ Hall,31,4.0,0,16.0
Sikandar Raza,154,19.0,0,13.0
IK Pathan,119,13.0,0,9.0
AC Gilchrist,20,1.0,0,14.0
ST Jayasuriya,45,3.0,0,8.0
CJ Chibhabha,50,2.0,0,8.0
Tamim Iqbal,104,14.0,0,15.0
JM How,37,1.0,0,8.0
N Madziva,8,1.0,0,10.0
