Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Target,Team
AJ Strauss,4,4,0,12,22,0,27,1,0,England
PD Collingwood,0,0,0,0,22,0,27,1,0,England
ME Trescothick,35,28,7,30,22,0,27,1,0,England
AC Botha,19,12,7,36,15,1,26,0,232,Ireland
JP Bray,22,12,10,27,15,1,26,0,233,Ireland
WK McCallan,0,0,0,0,15,1,26,0,234,Ireland
KP Pietersen,1,0,1,8,9,1,7,2,0,England
PD Collingwood,0,0,0,7,9,1,7,2,0,England
Mohammad Yousuf,0,0,0,8,16,1,10,1,158,Pakistan
Younis Khan,15,12,3,27,16,1,10,1,159,Pakistan
IR Bell,15,4,11,28,27,1,25,0,0,England
AJ Strauss,37,24,13,33,27,1,25,0,0,England
KP Pietersen,0,0,0,0,27,1,25,0,0,England
Mohammad Yousuf,2,0,2,9,23,1,19,1,252,Pakistan
Younis Khan,19,16,3,29,23,1,19,1,253,Pakistan
Shahid Afridi,23,14,9,27,21,2,15,0,0,Pakistan
Inzamam-ul-Haq,0,0,0,0,21,2,15,0,0,Pakistan
Mohammad Yousuf,5,0,5,22,21,2,15,0,0,Pakistan
AJ Strauss,25,16,9,36,18,0,20,1,219,England
IR Bell,0,0,0,1,18,0,20,1,220,England
Imran Farhat,9,0,9,34,5,0,13,0,0,Pakistan
Mohammad Hafeez,9,8,1,30,5,0,13,0,0,Pakistan
Shahid Afridi,0,0,0,0,5,0,13,0,0,Pakistan
KP Pietersen,1,0,1,2,27,1,20,2,140,England
PD Collingwood,1,0,1,3,27,1,20,2,141,England
WU Tharanga,16,8,8,31,13,1,19,0,0,Sri Lanka
DPMD Jayawardene,5,0,5,10,13,1,19,0,0,Sri Lanka
IR Bell,7,4,3,7,15,0,28,1,226,England
KP Pietersen,0,0,0,0,15,0,28,1,227,England
ME Trescothick,24,16,8,38,15,0,28,1,228,England
ST Jayasuriya,24,12,12,29,18,0,23,1,0,Sri Lanka
DPMD Jayawardene,0,0,0,2,18,0,23,1,0,Sri Lanka
IR Bell,20,8,12,29,22,1,25,1,262,England
KP Pietersen,0,0,0,1,22,1,25,1,263,England
AJ Strauss,26,12,14,34,17,0,27,0,0,England
ME Trescothick,18,12,6,28,17,0,27,0,0,England
IR Bell,0,0,0,0,17,0,27,0,0,England
KP Pietersen,0,0,0,0,17,0,27,0,0,England
DPMD Jayawardene,30,24,6,22,37,0,36,1,249,Sri Lanka
WU Tharanga,20,12,8,28,37,0,36,1,250,Sri Lanka
DPMD Jayawardene,21,8,13,13,19,1,32,0,0,Sri Lanka
WU Tharanga,16,8,8,33,19,1,32,0,0,Sri Lanka
ME Trescothick,28,20,8,33,23,0,35,0,276,England
AN Cook,30,24,6,28,23,0,35,0,277,England
IR Bell,0,0,0,0,23,0,35,0,278,England
AJ Strauss,0,0,0,0,23,0,35,0,279,England
AN Cook,9,0,9,25,6,0,31,0,0,England
ME Trescothick,28,24,4,37,6,0,31,0,0,England
ST Jayasuriya,65,56,9,33,52,0,65,0,297,Sri Lanka
WU Tharanga,52,46,6,35,52,0,65,0,298,Sri Lanka
V Sehwag,32,18,14,30,21,1,37,0,0,India
SK Raina,26,16,10,27,21,1,37,0,0,India
M Kaif,0,0,0,0,21,1,37,0,0,India
CH Gayle,16,12,4,25,13,0,18,2,232,West Indies
RR Sarwan,4,4,0,3,13,0,18,2,233,West Indies
R Dravid,8,4,4,26,14,1,13,1,0,India
Yuvraj Singh,1,0,1,2,14,1,13,1,0,India
BC Lara,0,0,0,4,25,1,20,1,205,West Indies
CH Gayle,30,26,4,37,25,1,20,1,206,West Indies
CH Gayle,35,32,3,35,24,1,22,0,0,West Indies
RR Sarwan,11,4,7,28,24,1,22,0,0,West Indies
