Batsman,Total Runs Scored,Home Runs,Milestones Reached, avg Balls Faced
JA Morkel,45,3.0,0,9.0
HH Gibbs,210,22.0,1.0,13.0
T Thushara,16,2.0,0,8.0
V Sehwag,232,29.0,0,12.0
KA Edwards,22,1.0,0,13.0
SC Williams,286,25.0,0,9.0
DE Bernard,15,1.0,0,8.0
S Mukuddem,13,2.0,0,22.0
Nasir Aziz,13,2.0,0,18.0
Shaiman Anwar,57,8.0,0,17.0
MJ Guptill,234,17.0,0,13.0
Najibullah Zadran,33,2.0,0,13.0
Usman Limbada,10,1.0,0,16.0
CK Kapugedera,200,9.0,0,12.0
N Deonarine,38,1.0,0,13.0
CR Brathwaite,12,2.0,0,7.0
NW Bracken,11,1.0,0,8.0
DLS van Bunge,15,2.0,0,9.0
MM Iqbal,12,1.0,0,11.0
Rubel Hossain,22,5.0,0,9.0
MJ Lumb,25,3.0,0,23.0
CK Coventry,44,5.0,0,9.0
D Mongia,33,4.0,0,13.0
MJ Santner,31,3.0,0,13.0
Mohammad Shahzad (2),18,3.0,0,14.0
CR Ervine,158,16.0,0,12.0
ME Trescothick,38,3.0,0,15.0
A Symonds,151,15.0,0,14.0
Umar Gul,14,1.0,0,8.0
HDRL Thirimanne,306,21.0,0,11.0
D Elgar,22,1.0,0,11.0
Saqib Ali,10,1.0,0,12.0
H Masakadza,293,28.0,0,13.0
Fayyaz Ahmed,9,2.0,0,11.0
LOB Cann,37,5.0,0,7.0
B Lee,16,2.0,0,5.0
DF Watts,23,2.0,0,17.0
R Mutumbami,77,9.0,0,16.0
PP Ojha,7,1.0,0,6.0
Nawroz Mangal,35,3.0,0,15.0
JH Kallis,416,26.0,0,12.0
Babar Hayat,30,4.0,0,16.0
MM Patel,4,1.0,0,2.0
LRPL Taylor,663,45.0,0,13.0
CH Gayle,190,19.0,0,15.0
PC de Silva,9,1.0,0,15.0
Shafiqullah,10,1.0,0,14.0
MDKJ Perera,49,3.0,0,13.0
Khurram Chohan,0,1.0,0,6.0
SP Narine,20,3.0,0,9.0
SJ Benn,10,2.0,0,3.0
IJL Trott,343,24.0,0,12.0
CJ Anderson,75,11.0,0,8.0
Khaled Mashud,21,2.0,0,12.0
Hammad Azam,21,2.0,0,13.0
DPMD Jayawardene,898,74.0,0,12.0
AS Hansra,49,3.0,0,12.0
Najeeb Amar,5,1.0,0,4.0
PG Fulton,103,6.0,0,11.0
JH Davey,19,2.0,0,9.0
SL Malinga,35,6.0,0,8.0
KOA Powell,80,14.0,0,10.0
Abdur Razzak,35,2.0,0,9.0
Mahmudullah,220,14.0,0,10.0
DJG Sammy,179,16.0,0,10.0
JR Hopes,41,4.0,0,11.0
HF Gurney,4,1.0,0,4.0
E Chigumbura,354,33.0,0,11.0
KP Pietersen,295,23.0,0,12.0
VD Philander,9,1.0,0,3.0
CJ Ferguson,116,11.0,0,14.0
DL Vettori,152,15.0,0,7.0
