Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Runs Made,Home,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,ME Trescothick,106,44,62,114,163,3,28,0,8,31,0,301,0,6.625,0.375,49.5,87.4172,8,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,61,12,49,92,163,3,28,0,8,31,0,301,0,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,0,0,0,0,163,3,28,0,8,31,0,301,0,1.41667,0.0833333,19,73.7864,24,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,AR White,30,16,14,36,134,6,21,0,18,20,302,263,1,1.17647,0,14.1765,59.9502,17,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,KJ O'Brien,22,4,18,40,134,6,21,0,18,20,302,263,1,2.64706,0.0588235,22.3824,79.4363,34,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,D Langford-Smith,0,0,0,0,134,6,21,0,18,20,302,263,1,0.888889,0,8.66667,92.8571,9,0
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,JF Mooney,0,0,0,0,134,6,21,0,18,20,302,263,1,1.47619,0,13.7619,72.796,21,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,44,12,32,67,162,4,30,0,8,24,0,271,1,1.41667,0.0833333,19,73.7864,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,PD Collingwood,36,16,20,39,162,4,30,0,8,24,0,271,1,2.62366,0.193548,30.5161,76.8065,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,R Clarke,0,0,0,0,162,4,30,0,8,24,0,271,1,1.5,0,19.5,81.25,2,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,CMW Read,0,0,0,0,162,4,30,0,8,24,0,271,1,1,0,10,80,6,1
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Inzamam-ul-Haq,18,14,4,10,172,2,28,2,6,21,272,274,0,3.16667,0,26.9167,70.989,12,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Shahid Afridi,0,0,0,1,172,2,28,2,6,21,272,274,0,2.72917,0.0972222,21.4097,127.766,144,0
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Abdul Razzaq,0,0,0,0,172,2,28,2,6,21,272,274,0,2.225,0.075,20.475,82.0641,40,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Abdul Razzaq,18,4,14,34,119,6,16,1,10,10,0,235,0,2.225,0.075,20.475,82.0641,40,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Shoaib Akhtar,0,0,0,5,119,6,16,1,10,10,0,235,0,0.421053,0,3.21053,67.033,19,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,74,36,38,100,159,2,26,0,12,11,236,237,1,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,KP Pietersen,20,12,8,23,159,2,26,0,12,11,236,237,1,3.69892,0.236559,33.4946,82.2117,93,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Younis Khan,37,12,25,70,87,7,15,1,4,9,0,154,0,2.64655,0.215517,28.5,73.2713,116,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Iftikhar Anjum,0,0,0,2,87,7,15,1,4,9,0,154,0,0.666667,0,7.33333,58.7786,21,3
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,WPUJC Vaas,0,0,0,0,156,4,18,2,0,17,0,257,0,0.653846,0,8.65385,66.1765,26,1
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,WU Tharanga,102,52,50,137,156,4,18,2,0,17,0,257,0,3.93985,0.263158,32.9699,71.6035,133,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,TT Bresnan,1,0,1,1,138,5,30,1,8,20,258,237,1,1.52381,0.015873,13.8095,88.4146,63,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,52,16,36,72,138,5,30,1,8,20,258,237,1,1.41667,0.0833333,19,73.7864,24,1
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,KC Sangakkara,24,10,14,21,183,2,35,0,20,16,0,319,0,4.33659,0.360976,41.9854,80.6276,205,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,ST Jayasuriya,111,64,47,135,183,2,35,0,20,16,0,319,0,4.91549,0.211268,33.9859,98.4898,71,0
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,TM Dilshan,0,0,0,0,183,2,35,0,20,16,0,319,0,4.60199,0.273632,38.3632,86.0219,201,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,17,0,17,22,181,4,32,1,24,11,320,273,1,1.41667,0.0833333,19,73.7864,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,GO Jones,0,0,0,1,181,4,32,1,24,11,320,273,1,1.5,0,15.5,110.714,6,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,TT Bresnan,0,0,0,0,181,4,32,1,24,11,320,273,1,1.52381,0.015873,13.8095,88.4146,63,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,SI Mahmood,0,0,0,0,181,4,32,1,24,11,320,273,1,0.888889,0,7.11111,81.0127,9,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,10,0,10,18,139,4,23,0,18,22,0,261,1,1.41667,0.0833333,19,73.7864,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,45,8,37,87,139,4,23,0,18,22,0,261,1,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,GO Jones,0,0,0,0,139,4,23,0,18,22,0,261,1,1.5,0,15.5,110.714,6,0
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,DPMD Jayawardene,118,72,46,124,193,2,40,0,8,7,262,265,0,3.20833,0.244792,31.6979,79.1109,192,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,KC Sangakkara,51,16,35,68,193,2,40,0,8,7,262,265,0,4.33659,0.360976,41.9854,80.6276,205,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,MF Maharoof,10,0,10,21,186,4,22,2,8,17,0,318,0,1.38889,0.0277778,14.3611,81.2893,36,1
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,WPUJC Vaas,3,0,3,5,186,4,22,2,8,17,0,318,0,0.653846,0,8.65385,66.1765,26,1
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,HMCM Bandara,0,0,0,0,186,4,22,2,8,17,0,318,0,1,0,12.2857,80.3738,7,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,TT Bresnan,0,0,0,0,176,5,35,1,8,27,319,285,1,1.52381,0.015873,13.8095,88.4146,63,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,20,4,16,33,176,5,35,1,8,27,319,285,1,1.41667,0.0833333,19,73.7864,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,LE Plunkett,0,0,0,0,176,5,35,1,8,27,319,285,1,1.38095,0,13.1905,113.992,21,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,VS Solanki,14,8,6,10,193,2,27,2,18,20,0,321,1,2,0,27,101.887,2,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,0,0,0,4,193,2,27,2,18,20,0,321,1,1.41667,0.0833333,19,73.7864,24,1
