Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Runs Made,Home,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,29,4,25,49,121,3,22,0,4,16,0,301,0,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,ME Trescothick,90,40,50,94,121,3,22,0,4,16,0,301,0,6.625,0.375,49.5,87.4172,8,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,AR White,5,0,5,11,93,2,17,4,12,12,302,263,1,1.17647,0,14.1765,59.9502,17,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,KJ O'Brien,2,0,2,5,93,2,17,4,12,12,302,263,1,2.64706,0.0588235,22.3824,79.4363,34,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,CMW Read,4,0,4,7,83,5,21,1,8,16,0,166,1,1,0,10,80,6,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,R Clarke,20,4,16,21,83,5,21,1,8,16,0,166,1,1.5,0,19.5,81.25,2,1
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Inzamam-ul-Haq,5,0,5,5,90,2,18,1,20,23,167,169,0,3.16667,0,26.9167,70.989,12,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Mohammad Yousuf,37,8,29,63,90,2,18,1,20,23,167,169,0,3.27586,0.275862,36.7931,73.9176,58,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,11,4,7,23,122,4,22,0,4,14,0,271,1,1.41667,0.0833333,19,73.7864,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,PD Collingwood,21,12,9,23,122,4,22,0,4,14,0,271,1,2.62366,0.193548,30.5161,76.8065,93,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Mohammad Yousuf,46,16,30,78,118,2,22,0,14,18,272,274,0,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Younis Khan,73,44,29,87,118,2,22,0,14,18,272,274,0,2.64655,0.215517,28.5,73.2713,116,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Inzamam-ul-Haq,46,24,22,57,93,3,13,2,0,13,0,235,0,3.16667,0,26.9167,70.989,12,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Abdul Razzaq,0,0,0,3,93,3,13,2,0,13,0,235,0,2.225,0.075,20.475,82.0641,40,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Kamran Akmal,0,0,0,0,93,3,13,2,0,13,0,235,0,3.01124,0.11236,23.0787,81.4433,89,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,51,32,19,59,113,1,29,1,0,17,236,237,1,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,KP Pietersen,0,0,0,1,113,1,29,1,0,17,236,237,1,3.69892,0.236559,33.4946,82.2117,93,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Kamran Akmal,1,0,1,1,54,5,17,1,4,12,0,154,0,3.01124,0.11236,23.0787,81.4433,89,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Younis Khan,17,4,13,43,54,5,17,1,4,12,0,154,0,2.64655,0.215517,28.5,73.2713,116,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Naved-ul-Hasan,0,0,0,0,54,5,17,1,4,12,0,154,0,1.15,0,11.35,83.4559,20,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,MH Yardy,8,0,8,29,114,7,21,0,0,4,155,155,1,0.875,0.0833333,13.5833,66.5306,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,SI Mahmood,22,16,6,24,114,7,21,0,0,4,155,155,1,0.888889,0,7.11111,81.0127,9,1
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,WU Tharanga,77,44,33,104,110,2,23,1,4,19,0,257,0,3.93985,0.263158,32.9699,71.6035,133,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,TM Dilshan,6,0,6,8,110,2,23,1,4,19,0,257,0,4.60199,0.273632,38.3632,86.0219,201,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,RP Arnold,0,0,0,0,110,2,23,1,4,19,0,257,0,1.14286,0.142857,16.4286,73.2484,14,1
