Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Runs Made,Home,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,40,4,36,68,143,3,20,0,8,20,0,301,0,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,ME Trescothick,99,44,55,106,143,3,20,0,8,20,0,301,0,6.625,0.375,49.5,87.4172,8,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,KJ O'Brien,10,0,10,20,110,6,24,0,8,13,302,263,1,2.64706,0.0588235,22.3824,79.4363,34,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,AR White,21,12,9,26,110,6,24,0,8,13,302,263,1,1.17647,0,14.1765,59.9502,17,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,R Clarke,31,8,23,38,104,6,24,0,14,11,0,166,1,1.5,0,19.5,81.25,2,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,CMW Read,17,4,13,22,104,6,24,0,14,11,0,166,1,1,0,10,80,6,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,J Lewis,0,0,0,0,104,6,24,0,14,11,0,166,1,0.571429,0,6,85.7143,7,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,SCJ Broad,0,0,0,0,104,6,24,0,14,11,0,166,1,0.725806,0,8.04839,74.0356,62,1
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Mohammad Yousuf,44,8,36,73,108,3,43,0,4,2,167,169,0,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Inzamam-ul-Haq,41,20,21,25,108,3,43,0,4,2,167,169,0,3.16667,0,26.9167,70.989,12,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,PD Collingwood,30,16,14,33,144,4,18,0,8,22,0,271,1,2.62366,0.193548,30.5161,76.8065,93,4
