Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Match Index,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,6,IR Bell,7,4,3,7,15,0,28,1,8,11,19,32,30,62,258,237,3,1,3,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,6,KP Pietersen,0,0,0,0,15,0,28,1,8,11,19,32,30,62,258,237,3,1,3,3.69892,0.236559,33.4946,82.2117,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,6,ME Trescothick,24,16,8,38,15,0,28,1,8,11,19,32,30,62,258,237,3,1,3,6.625,0.375,49.5,87.4172,8,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,7,ST Jayasuriya,24,12,12,29,18,0,23,1,20,7,27,40,28,68,0,319,10,0,3,4.91549,0.211268,33.9859,98.4898,71,0
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,7,DPMD Jayawardene,0,0,0,2,18,0,23,1,20,7,27,40,28,68,0,319,10,0,3,3.20833,0.244792,31.6979,79.1109,192,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,7,IR Bell,20,8,12,29,22,1,25,1,22,9,31,46,32,78,320,273,6,1,3,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,7,KP Pietersen,0,0,0,1,22,1,25,1,22,9,31,46,32,78,320,273,6,1,3,3.69892,0.236559,33.4946,82.2117,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,8,AJ Strauss,26,12,14,34,17,0,27,0,12,15,27,36,35,71,0,261,4,1,3,3.93243,0.27027,33.9054,79.8028,74,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,8,ME Trescothick,18,12,6,28,17,0,27,0,12,15,27,36,35,71,0,261,4,1,3,6.625,0.375,49.5,87.4172,8,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,8,IR Bell,0,0,0,0,17,0,27,0,12,15,27,36,35,71,0,261,4,1,3,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,8,KP Pietersen,0,0,0,0,17,0,27,0,12,15,27,36,35,71,0,261,4,1,3,3.69892,0.236559,33.4946,82.2117,93,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,8,DPMD Jayawardene,30,24,6,22,37,0,36,1,32,9,41,90,24,114,262,265,5,0,3,3.20833,0.244792,31.6979,79.1109,192,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,8,WU Tharanga,20,12,8,28,37,0,36,1,32,9,41,90,24,114,262,265,5,0,3,3.93985,0.263158,32.9699,71.6035,133,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,9,DPMD Jayawardene,21,8,13,13,19,1,32,0,16,24,40,44,47,91,0,318,11,0,3,3.20833,0.244792,31.6979,79.1109,192,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,9,WU Tharanga,16,8,8,33,19,1,32,0,16,24,40,44,47,91,0,318,11,0,3,3.93985,0.263158,32.9699,71.6035,133,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,9,ME Trescothick,28,20,8,33,23,0,35,0,22,8,30,66,22,88,319,285,2,1,3,6.625,0.375,49.5,87.4172,8,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,9,AN Cook,30,24,6,28,23,0,35,0,22,8,30,66,22,88,319,285,2,1,3,4.17045,0.272727,35.75,75.5524,88,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,9,IR Bell,0,0,0,0,23,0,35,0,22,8,30,66,22,88,319,285,2,1,3,3.63433,0.246269,35.3806,75.6623,134,4
