Match Index,Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
1,IR Bell,29.0,4.0,25.0,49,121.0,3,22.0,0,4.0,16.0,20,64,99,163,0,301,24,England,0,7
1,ME Trescothick,90.0,40.0,50.0,94,121.0,3,22.0,0,4.0,16.0,20,64,99,163,0,301,24,England,0,7
1,AR White,5.0,0.0,5.0,11,93.0,2,17.0,4,12.0,12.0,24,56,78,134,302,263,29,Ireland,1,7
1,KJ O'Brien,2.0,0.0,2.0,5,93.0,2,17.0,4,12.0,12.0,24,56,78,134,302,263,29,Ireland,1,7
2,CMW Read,4.0,0.0,4.0,7,83.0,5,21.0,1,8.0,16.0,24,48,80,128,0,166,11,England,1,7
2,R Clarke,20.0,4.0,16.0,21,83.0,5,21.0,1,8.0,16.0,24,48,80,128,0,166,11,England,1,7
2,Inzamam-ul-Haq,5.0,0.0,5.0,5,90.0,2,18.0,1,20.0,23.0,43,64,87,151,167,169,12,Pakistan,0,7
2,Mohammad Yousuf,37.0,8.0,29.0,63,90.0,2,18.0,1,20.0,23.0,43,64,87,151,167,169,12,Pakistan,0,7
3,JWM Dalrymple,11.0,4.0,7.0,23,122.0,4,22.0,0,4.0,14.0,18,76,86,162,0,271,3,England,1,7
3,PD Collingwood,21.0,12.0,9.0,23,122.0,4,22.0,0,4.0,14.0,18,76,86,162,0,271,3,England,1,7
3,Mohammad Yousuf,46.0,16.0,30.0,78,118.0,2,22.0,0,14.0,18.0,32,88,84,172,272,274,12,Pakistan,0,7
3,Younis Khan,73.0,44.0,29.0,87,118.0,2,22.0,0,14.0,18.0,32,88,84,172,272,274,12,Pakistan,0,7
4,Inzamam-ul-Haq,46.0,24.0,22.0,57,93.0,3,13.0,2,0.0,13.0,13,50,69,119,0,235,9,Pakistan,0,7
4,Abdul Razzaq,0.0,0.0,0.0,3,93.0,3,13.0,2,0.0,13.0,13,50,69,119,0,235,9,Pakistan,0,7
4,Kamran Akmal,0.0,0.0,0.0,0,93.0,3,13.0,2,0.0,13.0,13,50,69,119,0,235,9,Pakistan,0,7
4,IR Bell,51.0,32.0,19.0,59,113.0,1,29.0,1,0.0,17.0,17,80,79,159,236,237,8,England,1,7
4,KP Pietersen,0.0,0.0,0.0,1,113.0,1,29.0,1,0.0,17.0,17,80,79,159,236,237,8,England,1,7
5,Kamran Akmal,1.0,0.0,1.0,1,54.0,5,17.0,1,4.0,12.0,16,26,61,87,0,154,21,Pakistan,0,7
5,Younis Khan,17.0,4.0,13.0,43,54.0,5,17.0,1,4.0,12.0,16,26,61,87,0,154,21,Pakistan,0,7
5,Naved-ul-Hasan,0.0,0.0,0.0,0,54.0,5,17.0,1,4.0,12.0,16,26,61,87,0,154,21,Pakistan,0,7
5,MH Yardy,8.0,0.0,8.0,29,114.0,7,21.0,0,0.0,4.0,4,96,43,139,155,155,16,England,1,7
5,SI Mahmood,22.0,16.0,6.0,24,114.0,7,21.0,0,0.0,4.0,4,96,43,139,155,155,16,England,1,7
6,WU Tharanga,77.0,44.0,33.0,104,110.0,2,23.0,1,4.0,19.0,23,70,86,156,0,257,33,Sri Lanka,0,7
6,TM Dilshan,6.0,0.0,6.0,8,110.0,2,23.0,1,4.0,19.0,23,70,86,156,0,257,33,Sri Lanka,0,7
6,RP Arnold,0.0,0.0,0.0,0,110.0,2,23.0,1,4.0,19.0,23,70,86,156,0,257,33,Sri Lanka,0,7
