Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Match Index,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,ME Trescothick,80,40,40,79,96,3,25,0,0,22,22,60,83,143,0,301,22,0,6,6.625,0.375,49.5,87.4172,8,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,IR Bell,17,4,13,34,96,3,25,0,0,22,22,60,83,143,0,301,22,0,6,3.63433,0.246269,35.3806,75.6623,134,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,WK McCallan,23,8,15,44,67,2,26,0,4,13,17,44,66,110,302,263,29,1,6,0.692308,0,7.69231,56.8182,13,3
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,AC Botha,48,20,28,84,67,2,26,0,4,13,17,44,66,110,302,263,29,1,6,1.25,0.0833333,14.3333,53.75,12,3
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,DT Johnston,0,0,0,0,67,2,26,0,4,13,17,44,66,110,302,263,29,1,6,1.27273,0,12.1818,74.2382,22,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,AR White,0,0,0,0,67,2,26,0,4,13,17,44,66,110,302,263,29,1,6,1.17647,0,14.1765,59.9502,17,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,KJ O'Brien,0,0,0,0,67,2,26,0,4,13,17,44,66,110,302,263,29,1,6,2.64706,0.0588235,22.3824,79.4363,34,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,2,PD Collingwood,31,12,19,52,60,4,23,1,0,21,21,40,64,104,0,166,9,1,6,2.62366,0.193548,30.5161,76.8065,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,2,R Clarke,7,4,3,8,60,4,23,1,0,21,21,40,64,104,0,166,9,1,6,1.5,0,19.5,81.25,2,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,2,CMW Read,0,0,0,0,60,4,23,1,0,21,21,40,64,104,0,166,9,1,6,1,0,10,80,6,1
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,2,Mohammad Yousuf,29,8,21,48,61,2,29,0,0,18,18,44,64,108,167,169,11,0,6,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,2,Younis Khan,50,36,14,78,61,2,29,0,0,18,18,44,64,108,167,169,11,0,6,2.64655,0.215517,28.5,73.2713,116,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,2,Inzamam-ul-Haq,0,0,0,0,61,2,29,0,0,18,18,44,64,108,167,169,11,0,6,3.16667,0,26.9167,70.989,12,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,3,PD Collingwood,10,8,2,12,97,2,25,2,8,14,22,72,72,144,0,271,3,1,6,2.62366,0.193548,30.5161,76.8065,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,3,JWM Dalrymple,0,0,0,4,97,2,25,2,8,14,22,72,72,144,0,271,3,1,6,1.41667,0.0833333,19,73.7864,24,1
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,3,Younis Khan,58,40,18,71,96,2,22,0,4,18,22,74,66,140,272,274,10,0,6,2.64655,0.215517,28.5,73.2713,116,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,3,Mohammad Yousuf,39,16,23,64,96,2,22,0,4,18,22,74,66,140,272,274,10,0,6,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,4,Inzamam-ul-Haq,40,24,16,47,71,3,22,0,0,13,13,50,56,106,0,235,9,0,6,3.16667,0,26.9167,70.989,12,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,4,Mohammad Yousuf,22,4,18,66,71,3,22,0,0,13,13,50,56,106,0,235,9,0,6,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,4,Shoaib Malik,0,0,0,0,71,3,22,0,0,13,13,50,56,106,0,235,9,0,6,2.77551,0.193878,28.7041,81.4418,98,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,4,Abdul Razzaq,0,0,0,0,71,3,22,0,0,13,13,50,56,106,0,235,9,0,6,2.225,0.075,20.475,82.0641,40,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,4,AJ Strauss,62,36,26,85,81,1,32,0,12,17,29,80,62,142,236,237,6,1,6,3.93243,0.27027,33.9054,79.8028,74,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,4,IR Bell,38,24,14,47,81,1,32,0,12,17,29,80,62,142,236,237,6,1,6,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,4,KP Pietersen,0,0,0,0,81,1,32,0,12,17,29,80,62,142,236,237,6,1,6,3.69892,0.236559,33.4946,82.2117,93,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,5,Younis Khan,6,0,6,29,50,3,4,2,4,13,17,22,49,71,0,154,21,0,6,2.64655,0.215517,28.5,73.2713,116,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,5,Abdul Razzaq,0,0,0,11,50,3,4,2,4,13,17,22,49,71,0,154,21,0,6,2.225,0.075,20.475,82.0641,40,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,5,Kamran Akmal,0,0,0,0,50,3,4,2,4,13,17,22,49,71,0,154,21,0,6,3.01124,0.11236,23.0787,81.4433,89,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,5,MH Yardy,3,0,3,15,97,5,17,2,12,9,21,96,39,135,155,155,14,1,6,0.875,0.0833333,13.5833,66.5306,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,5,SI Mahmood,6,4,2,6,97,5,17,2,12,9,21,96,39,135,155,155,14,1,6,0.888889,0,7.11111,81.0127,9,1
