Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Match Index,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,IR Bell,80,16,64,105,191,3,39,1,22,19,41,102,169,271,0,301,30,0,10,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,GO Jones,0,0,0,0,191,3,39,1,22,19,41,102,169,271,0,301,30,0,10,1.5,0,15.5,110.714,6,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,JWM Dalrymple,13,0,13,13,191,3,39,1,22,19,41,102,169,271,0,301,30,0,10,1.41667,0.0833333,19,73.7864,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,G Chapple,0,0,0,0,191,3,39,1,22,19,41,102,169,271,0,301,30,0,10,2,0,13,185.714,1,2
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,LE Plunkett,0,0,0,0,191,3,39,1,22,19,41,102,169,271,0,301,30,0,10,1.38095,0,13.1905,113.992,21,0
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,D Langford-Smith,5,0,5,6,155,6,38,2,8,30,38,90,141,231,302,263,32,1,10,0.888889,0,8.66667,92.8571,9,0
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,JF Mooney,10,6,4,8,155,6,38,2,8,30,38,90,141,231,302,263,32,1,10,1.47619,0,13.7619,72.796,21,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,PJK Mooney,0,0,0,0,155,6,38,2,8,30,38,90,141,231,302,263,32,1,10,0.5,0,4.5,112.5,2,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,3,CMW Read,1,0,1,3,192,4,32,2,16,23,39,108,155,263,0,271,8,1,10,1,0,10,80,6,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,3,PD Collingwood,49,16,33,56,192,4,32,2,16,23,39,108,155,263,0,271,8,1,10,2.62366,0.193548,30.5161,76.8065,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,3,J Lewis,0,0,0,0,192,4,32,2,16,23,39,108,155,263,0,271,8,1,10,0.571429,0,6,85.7143,7,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,3,SCJ Broad,0,0,0,0,192,4,32,2,16,23,39,108,155,263,0,271,8,1,10,0.725806,0,8.04839,74.0356,62,1
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,3,Abdul Razzaq,10,0,10,13,200,4,27,1,12,12,24,124,127,251,272,274,23,0,10,2.225,0.075,20.475,82.0641,40,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,3,Inzamam-ul-Haq,35,20,15,26,200,4,27,1,12,12,24,124,127,251,272,274,23,0,10,3.16667,0,26.9167,70.989,12,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,3,Kamran Akmal,0,0,0,0,200,4,27,1,12,12,24,124,127,251,272,274,23,0,10,3.01124,0.11236,23.0787,81.4433,89,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,3,Naved-ul-Hasan,0,0,0,0,200,4,27,1,12,12,24,124,127,251,272,274,23,0,10,1.15,0,11.35,83.4559,20,1
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,3,Shoaib Akhtar,0,0,0,0,200,4,27,1,12,12,24,124,127,251,272,274,23,0,10,0.421053,0,3.21053,67.033,19,1
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,4,Shoaib Akhtar,10,6,4,17,135,7,20,0,46,10,56,110,101,211,0,235,24,0,10,0.421053,0,3.21053,67.033,19,1
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,4,Abdul Razzaq,28,8,20,53,135,7,20,0,46,10,56,110,101,211,0,235,24,0,10,2.225,0.075,20.475,82.0641,40,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,4,Naved-ul-Hasan,0,0,0,0,135,7,20,0,46,10,56,110,101,211,0,235,24,0,10,1.15,0,11.35,83.4559,20,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,4,IR Bell,80,36,44,110,185,2,23,0,8,2,10,116,102,218,236,237,19,1,10,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,4,KP Pietersen,37,24,13,46,185,2,23,0,8,2,10,116,102,218,236,237,19,1,10,3.69892,0.236559,33.4946,82.2117,93,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,5,Iftikhar Anjum,3,0,3,19,102,8,13,1,4,11,15,38,92,130,0,154,24,0,10,0.666667,0,7.33333,58.7786,21,3
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,6,WPUJC Vaas,8,0,8,14,174,6,17,0,8,16,24,82,133,215,0,257,42,0,10,0.653846,0,8.65385,66.1765,26,1
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,6,WU Tharanga,111,52,59,154,174,6,17,0,8,16,24,82,133,215,0,257,42,0,10,3.93985,0.263158,32.9699,71.6035,133,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,6,SL Malinga,0,0,0,0,174,6,17,0,8,16,24,82,133,215,0,257,42,0,10,0.617284,0.0123457,4.97531,74.6296,81,1
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,6,CRD Fernando,0,0,0,0,174,6,17,0,8,16,24,82,133,215,0,257,42,0,10,0.571429,0,5.42857,64.7727,21,1
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,6,M Muralitharan,0,0,0,0,174,6,17,0,8,16,24,82,133,215,0,257,42,0,10,0.69697,0,5.63636,99.4652,33,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,6,TT Bresnan,15,4,11,19,168,6,28,0,4,25,29,70,155,225,258,237,12,1,10,1.52381,0.015873,13.8095,88.4146,63,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,6,JWM Dalrymple,66,20,46,85,168,6,28,0,4,25,29,70,155,225,258,237,12,1,10,1.41667,0.0833333,19,73.7864,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,6,SI Mahmood,0,0,0,0,168,6,28,0,4,25,29,70,155,225,258,237,12,1,10,0.888889,0,7.11111,81.0127,9,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,6,LE Plunkett,0,0,0,0,168,6,28,0,4,25,29,70,155,225,258,237,12,1,10,1.38095,0,13.1905,113.992,21,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,6,SJ Harmison,0,0,0,0,168,6,28,0,4,25,29,70,155,225,258,237,12,1,10,0.142857,0,5.14286,72,7,1
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,7,TM Dilshan,8,4,4,8,218,2,36,1,16,16,32,144,142,286,0,319,33,0,10,4.60199,0.273632,38.3632,86.0219,201,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,7,KC Sangakkara,41,18,23,36,218,2,36,1,16,16,32,144,142,286,0,319,33,0,10,4.33659,0.360976,41.9854,80.6276,205,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,7,RP Arnold,0,0,0,0,218,2,36,1,16,16,32,144,142,286,0,319,33,0,10,1.14286,0.142857,16.4286,73.2484,14,1
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,7,WPUJC Vaas,0,0,0,0,218,2,36,1,16,16,32,144,142,286,0,319,33,0,10,0.653846,0,8.65385,66.1765,26,1
