Match Index,Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
1,ME Trescothick,51.0,36.0,15.0,51,49.0,1,26.0,2,8.0,13.0,21,60,36,96,0,301,22,England,0,4
1,IR Bell,0.0,0.0,0.0,0,49.0,1,26.0,2,8.0,13.0,21,60,36,96,0,301,22,England,0,4
1,AC Botha,28.0,12.0,16.0,55,41.0,1,10.0,1,8.0,8.0,16,32,35,67,302,263,22,Ireland,1,4
1,WK McCallan,1.0,0.0,1.0,10,41.0,1,10.0,1,8.0,8.0,16,32,35,67,302,263,22,Ireland,1,4
2,KP Pietersen,17.0,8.0,9.0,25,16.0,3,22.0,0,12.0,10.0,22,32,28,60,0,166,7,England,1,4
2,JWM Dalrymple,0.0,0.0,0.0,0,16.0,3,22.0,0,12.0,10.0,22,32,28,60,0,166,7,England,1,4
2,PD Collingwood,6.0,4.0,2.0,20,16.0,3,22.0,0,12.0,10.0,22,32,28,60,0,166,7,England,1,4
2,Mohammad Yousuf,2.0,0.0,2.0,20,26.0,2,10.0,0,12.0,13.0,25,32,29,61,167,169,8,Pakistan,0,4
2,Younis Khan,23.0,20.0,3.0,45,26.0,2,10.0,0,12.0,13.0,25,32,29,61,167,169,8,Pakistan,0,4
3,KP Pietersen,1.0,0.0,1.0,1,52.0,1,26.0,1,12.0,7.0,19,48,49,97,0,271,3,England,1,4
3,IR Bell,27.0,4.0,23.0,42,52.0,1,26.0,1,12.0,7.0,19,48,49,97,0,271,3,England,1,4
3,Mohammad Yousuf,9.0,4.0,5.0,22,42.0,2,26.0,0,12.0,16.0,28,62,34,96,272,274,8,Pakistan,0,4
3,Younis Khan,38.0,32.0,6.0,47,42.0,2,26.0,0,12.0,16.0,28,62,34,96,272,274,8,Pakistan,0,4
4,Mohammad Yousuf,7.0,0.0,7.0,35,36.0,2,7.0,1,24.0,4.0,28,46,25,71,0,235,7,Pakistan,0,4
4,Inzamam-ul-Haq,5.0,0.0,5.0,17,36.0,2,7.0,1,24.0,4.0,28,46,25,71,0,235,7,Pakistan,0,4
4,AJ Strauss,40.0,24.0,16.0,58,38.0,1,17.0,0,16.0,10.0,26,48,33,81,236,237,4,England,1,4
4,IR Bell,2.0,0.0,2.0,11,38.0,1,17.0,0,16.0,10.0,26,48,33,81,236,237,4,England,1,4
5,Younis Khan,0.0,0.0,0.0,0,18.0,0,17.0,3,6.0,9.0,15,18,32,50,0,154,17,Pakistan,0,4
5,Mohammad Yousuf,0.0,0.0,0.0,0,18.0,0,17.0,3,6.0,9.0,15,18,32,50,0,154,17,Pakistan,0,4
5,KP Pietersen,13.0,8.0,5.0,15,47.0,3,21.0,0,20.0,9.0,29,72,25,97,155,155,5,England,1,4
5,PD Collingwood,10.0,4.0,6.0,20,47.0,3,21.0,0,20.0,9.0,29,72,25,97,155,155,5,England,1,4
5,JWM Dalrymple,0.0,0.0,0.0,0,47.0,3,21.0,0,20.0,9.0,29,72,25,97,155,155,5,England,1,4
6,WU Tharanga,52.0,40.0,12.0,50,32.0,1,43.0,0,0.0,13.0,13,48,40,88,0,257,27,Sri Lanka,0,4
6,DPMD Jayawardene,12.0,0.0,12.0,27,32.0,1,43.0,0,0.0,13.0,13,48,40,88,0,257,27,Sri Lanka,0,4
6,KP Pietersen,10.0,4.0,6.0,14,43.0,1,19.0,1,4.0,9.0,13,36,39,75,258,237,6,England,1,4
6,PD Collingwood,0.0,0.0,0.0,0,43.0,1,19.0,1,4.0,9.0,13,36,39,75,258,237,6,England,1,4
6,ME Trescothick,33.0,20.0,13.0,53,43.0,1,19.0,1,4.0,9.0,13,36,39,75,258,237,6,England,1,4
6,JWM Dalrymple,0.0,0.0,0.0,0,43.0,1,19.0,1,4.0,9.0,13,36,39,75,258,237,6,England,1,4
7,DPMD Jayawardene,15.0,10.0,5.0,18,41.0,1,27.0,0,4.0,21.0,25,44,49,93,0,319,13,Sri Lanka,0,4
7,ST Jayasuriya,36.0,22.0,14.0,47,41.0,1,27.0,0,4.0,21.0,25,44,49,93,0,319,13,Sri Lanka,0,4
7,IR Bell,27.0,12.0,15.0,37,47.0,2,31.0,0,22.0,11.0,33,68,43,111,320,273,6,England,1,4
7,KP Pietersen,24.0,18.0,6.0,25,47.0,2,31.0,0,22.0,11.0,33,68,43,111,320,273,6,England,1,4
8,IR Bell,3.0,0.0,3.0,7,44.0,0,27.0,2,4.0,11.0,15,40,46,86,0,261,5,England,1,4
8,KP Pietersen,0.0,0.0,0.0,2,44.0,0,27.0,2,4.0,11.0,15,40,46,86,0,261,5,England,1,4
8,DPMD Jayawardene,51.0,40.0,11.0,41,73.0,1,41.0,0,4.0,12.0,16,94,36,130,262,265,5,Sri Lanka,0,4
8,WU Tharanga,40.0,28.0,12.0,40,73.0,1,41.0,0,4.0,12.0,16,94,36,130,262,265,5,Sri Lanka,0,4
8,KC Sangakkara,0.0,0.0,0.0,0,73.0,1,41.0,0,4.0,12.0,16,94,36,130,262,265,5,Sri Lanka,0,4
9,WU Tharanga,37.0,16.0,21.0,52,51.0,1,40.0,0,8.0,22.0,30,52,69,121,0,318,12,Sri Lanka,0,4
9,DPMD Jayawardene,40.0,16.0,24.0,26,51.0,1,40.0,0,8.0,22.0,30,52,69,121,0,318,12,Sri Lanka,0,4
9,AJ Strauss,1.0,0.0,1.0,3,58.0,0,30.0,2,20.0,11.0,31,86,33,119,319,285,3,England,1,4
9,IR Bell,4.0,0.0,4.0,9,58.0,0,30.0,2,20.0,11.0,31,86,33,119,319,285,3,England,1,4
10,M Kaif,9.0,4.0,5.0,16,58.0,1,29.0,1,4.0,18.0,22,58,51,109,0,245,7,India,0,4
10,V Sehwag,52.0,34.0,18.0,43,58.0,1,29.0,1,4.0,18.0,22,58,51,109,0,245,7,India,0,4
10,RR Sarwan,24.0,16.0,8.0,22,31.0,2,22.0,0,18.0,8.0,26,50,29,79,246,248,9,West Indies,1,4
10,CH Gayle,18.0,12.0,6.0,38,31.0,2,22.0,0,18.0,8.0,26,50,29,79,246,248,9,West Indies,1,4
11,R Dravid,13.0,4.0,9.0,38,27.0,2,13.0,0,8.0,12.0,20,24,36,60,0,217,9,India,0,4
11,M Kaif,0.0,0.0,0.0,0,27.0,2,13.0,0,8.0,12.0,20,24,36,60,0,217,9,India,0,4
11,Yuvraj Singh,9.0,4.0,5.0,22,27.0,2,13.0,0,8.0,12.0,20,24,36,60,0,217,9,India,0,4
11,BC Lara,9.0,4.0,5.0,24,45.0,2,15.0,0,0.0,9.0,9,46,23,69,218,218,11,West Indies,1,4
11,CH Gayle,36.0,30.0,6.0,49,45.0,2,15.0,0,0.0,9.0,9,46,23,69,218,218,11,West Indies,1,4
12,CH Gayle,41.0,32.0,9.0,55,46.0,1,15.0,0,8.0,12.0,20,44,37,81,0,255,11,West Indies,1,4
12,RR Sarwan,20.0,4.0,16.0,39,46.0,1,15.0,0,8.0,12.0,20,44,37,81,0,255,11,West Indies,1,4
12,BC Lara,0.0,0.0,0.0,0,46.0,1,15.0,0,8.0,12.0,20,44,37,81,0,255,11,West Indies,1,4
12,Yuvraj Singh,6.0,4.0,2.0,5,44.0,2,31.0,1,14.0,14.0,28,62,41,103,256,236,9,India,0,4
12,V Sehwag,37.0,24.0,13.0,43,44.0,2,31.0,1,14.0,14.0,28,62,41,103,256,236,9,India,0,4
13,RR Sarwan,30.0,24.0,6.0,36,37.0,1,13.0,0,8.0,6.0,14,40,24,64,0,241,5,West Indies,1,4
13,S Chanderpaul,18.0,8.0,10.0,51,37.0,1,13.0,0,8.0,6.0,14,40,24,64,0,241,5,West Indies,1,4
13,MN Samuels,0.0,0.0,0.0,0,37.0,1,13.0,0,8.0,6.0,14,40,24,64,0,241,5,West Indies,1,4
13,Mohammad Yousuf,12.0,0.0,12.0,27,35.0,2,6.0,1,16.0,4.0,20,38,23,61,242,187,3,Pakistan,0,4
13,Inzamam-ul-Haq,3.0,0.0,3.0,20,35.0,2,6.0,1,16.0,4.0,20,38,23,61,242,187,3,Pakistan,0,4
16,JP Bray,35.0,20.0,15.0,43,40.0,2,18.0,2,12.0,3.0,15,48,25,73,0,221,8,Ireland,0,4
16,KJ O'Brien,0.0,0.0,0.0,3,40.0,2,18.0,2,12.0,3.0,15,48,25,73,0,221,8,Ireland,0,4
16,V Sibanda,48.0,28.0,20.0,53,45.0,1,17.0,0,12.0,7.0,19,48,33,81,222,221,8,Zimbabwe,0,4
16,CJ Chibhabha,2.0,0.0,2.0,21,45.0,1,17.0,0,12.0,7.0,19,48,33,81,222,221,8,Zimbabwe,0,4
18,MP Vaughan,26.0,12.0,14.0,50,24.0,2,21.0,0,8.0,9.0,17,32,30,62,0,209,8,England,0,4
18,PD Collingwood,0.0,0.0,0.0,0,24.0,2,21.0,0,8.0,9.0,17,32,30,62,0,209,8,England,0,4
18,KP Pietersen,14.0,12.0,2.0,23,24.0,2,21.0,0,8.0,9.0,17,32,30,62,0,209,8,England,0,4
