Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Match Index,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,ME Trescothick,0,0,0,0,0,0,0,0,16,6,22,16,6,22,0,301,10,0,1,6.625,0.375,49.5,87.4172,8,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,EC Joyce,0,0,0,0,0,0,0,0,16,6,22,16,6,22,0,301,10,0,1,3.08571,0.2,28.3429,68.6505,35,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,DI Joyce,0,0,0,0,0,0,0,0,8,7,15,8,7,15,302,263,15,1,1,1.33333,0,9.66667,47.541,3,3
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,AC Botha,0,0,0,0,0,0,0,0,8,7,15,8,7,15,302,263,15,1,1,1.25,0.0833333,14.3333,53.75,12,3
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,JP Bray,0,0,0,0,0,0,0,0,8,7,15,8,7,15,302,263,15,1,1,2.7,0.1,23.4,63.0728,10,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,2,ME Trescothick,0,0,0,0,0,0,0,0,4,5,9,4,5,9,0,166,1,1,1,6.625,0.375,49.5,87.4172,8,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,2,AJ Strauss,0,0,0,0,0,0,0,0,4,5,9,4,5,9,0,166,1,1,1,3.93243,0.27027,33.9054,79.8028,74,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,2,IR Bell,0,0,0,0,0,0,0,0,4,5,9,4,5,9,0,166,1,1,1,3.63433,0.246269,35.3806,75.6623,134,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,2,Shoaib Malik,0,0,0,0,0,0,0,0,4,12,16,4,12,16,167,169,4,0,1,2.77551,0.193878,28.7041,81.4418,98,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,2,Mohammad Hafeez,0,0,0,0,0,0,0,0,4,12,16,4,12,16,167,169,4,0,1,4.04511,0.255639,34.3534,78.0625,133,4
