Match Index,Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
10,V Sehwag,11.0,4.0,7.0,16,0.0,0,21.0,1,22.0,15.0,37,34,24,58,0,245,3,India,0,2
10,SK Raina,10.0,8.0,2.0,11,0.0,0,21.0,1,22.0,15.0,37,34,24,58,0,245,3,India,0,2
10,MN Samuels,4.0,0.0,4.0,17,0.0,0,13.0,0,12.0,6.0,18,20,11,31,246,248,4,West Indies,1,2
10,CH Gayle,9.0,8.0,1.0,16,0.0,0,13.0,0,12.0,6.0,18,20,11,31,246,248,4,West Indies,1,2
10,RS Morton,0.0,0.0,0.0,0,0.0,0,13.0,0,12.0,6.0,18,20,11,31,246,248,4,West Indies,1,2
10,RR Sarwan,0.0,0.0,0.0,0,0.0,0,13.0,0,12.0,6.0,18,20,11,31,246,248,4,West Indies,1,2
11,R Dravid,2.0,0.0,2.0,11,0.0,0,14.0,1,4.0,9.0,13,12,15,27,0,217,3,India,0,2
11,SK Raina,1.0,0.0,1.0,9,0.0,0,14.0,1,4.0,9.0,13,12,15,27,0,217,3,India,0,2
11,Yuvraj Singh,0.0,0.0,0.0,0,0.0,0,14.0,1,4.0,9.0,13,12,15,27,0,217,3,India,0,2
11,CH Gayle,16.0,14.0,2.0,17,0.0,0,25.0,1,16.0,4.0,20,38,7,45,218,218,4,West Indies,1,2
11,RR Sarwan,0.0,0.0,0.0,2,0.0,0,25.0,1,16.0,4.0,20,38,7,45,218,218,4,West Indies,1,2
11,BC Lara,0.0,0.0,0.0,0,0.0,0,25.0,1,16.0,4.0,20,38,7,45,218,218,4,West Indies,1,2
12,RR Sarwan,0.0,0.0,0.0,13,0.0,0,24.0,1,12.0,10.0,22,36,10,46,0,255,6,West Indies,1,2
12,CH Gayle,24.0,24.0,0.0,19,0.0,0,24.0,1,12.0,10.0,22,36,10,46,0,255,6,West Indies,1,2
12,MS Dhoni,13.0,8.0,5.0,14,0.0,0,21.0,1,16.0,7.0,23,28,16,44,256,236,6,India,0,2
12,V Sehwag,8.0,4.0,4.0,15,0.0,0,21.0,1,16.0,7.0,23,28,16,44,256,236,6,India,0,2
12,R Dravid,0.0,0.0,0.0,0,0.0,0,21.0,1,16.0,7.0,23,28,16,44,256,236,6,India,0,2
13,RR Sarwan,9.0,8.0,1.0,8,0.0,0,19.0,1,12.0,6.0,18,24,13,37,0,241,3,West Indies,1,2
13,S Chanderpaul,8.0,4.0,4.0,19,0.0,0,19.0,1,12.0,6.0,18,24,13,37,0,241,3,West Indies,1,2
13,Mohammad Yousuf,0.0,0.0,0.0,0,0.0,0,20.0,2,4.0,11.0,15,22,13,35,242,187,2,Pakistan,0,2
13,Mohammad Hafeez,5.0,4.0,1.0,14,0.0,0,20.0,2,4.0,11.0,15,22,13,35,242,187,2,Pakistan,0,2
