Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Match Index,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,ME Trescothick,106,44,62,114,163,3,28,0,8,31,39,80,150,230,0,301,28,0,9,6.625,0.375,49.5,87.4172,8,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,IR Bell,61,12,49,92,163,3,28,0,8,31,39,80,150,230,0,301,28,0,9,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,JWM Dalrymple,0,0,0,0,163,3,28,0,8,31,39,80,150,230,0,301,28,0,9,1.41667,0.0833333,19,73.7864,24,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,AR White,30,16,14,36,134,6,21,0,18,20,38,82,111,193,302,263,32,1,9,1.17647,0,14.1765,59.9502,17,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,KJ O'Brien,22,4,18,40,134,6,21,0,18,20,38,82,111,193,302,263,32,1,9,2.64706,0.0588235,22.3824,79.4363,34,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,D Langford-Smith,0,0,0,0,134,6,21,0,18,20,38,82,111,193,302,263,32,1,9,0.888889,0,8.66667,92.8571,9,0
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,JF Mooney,0,0,0,0,134,6,21,0,18,20,38,82,111,193,302,263,32,1,9,1.47619,0,13.7619,72.796,21,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,3,JWM Dalrymple,44,12,32,67,162,4,30,0,8,24,32,92,132,224,0,271,6,1,9,1.41667,0.0833333,19,73.7864,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,3,PD Collingwood,36,16,20,39,162,4,30,0,8,24,32,92,132,224,0,271,6,1,9,2.62366,0.193548,30.5161,76.8065,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,3,R Clarke,0,0,0,0,162,4,30,0,8,24,32,92,132,224,0,271,6,1,9,1.5,0,19.5,81.25,2,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,3,CMW Read,0,0,0,0,162,4,30,0,8,24,32,92,132,224,0,271,6,1,9,1,0,10,80,6,1
