Match Index,Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
1,IR Bell,40.0,4.0,36.0,68,143.0,3,20.0,0,8.0,20.0,28,72,119,191,0,301,26,England,0,8
1,ME Trescothick,99.0,44.0,55.0,106,143.0,3,20.0,0,8.0,20.0,28,72,119,191,0,301,26,England,0,8
1,KJ O'Brien,10.0,0.0,10.0,20,110.0,6,24.0,0,8.0,13.0,21,64,91,155,302,263,30,Ireland,1,8
1,AR White,21.0,12.0,9.0,26,110.0,6,24.0,0,8.0,13.0,21,64,91,155,302,263,30,Ireland,1,8
2,R Clarke,31.0,8.0,23.0,38,104.0,6,24.0,0,14.0,11.0,25,62,91,153,0,166,13,England,1,8
2,CMW Read,17.0,4.0,13.0,22,104.0,6,24.0,0,14.0,11.0,25,62,91,153,0,166,13,England,1,8
2,D Gough,0.0,0.0,0.0,0,104.0,6,24.0,0,14.0,11.0,25,62,91,153,0,166,13,England,1,8
2,J Lewis,0.0,0.0,0.0,0,104.0,6,24.0,0,14.0,11.0,25,62,91,153,0,166,13,England,1,8
2,SCJ Broad,0.0,0.0,0.0,0,104.0,6,24.0,0,14.0,11.0,25,62,91,153,0,166,13,England,1,8
2,Mohammad Yousuf,44.0,8.0,36.0,73,108.0,3,43.0,0,4.0,2.0,6,68,89,157,167,169,12,Pakistan,0,8
2,Inzamam-ul-Haq,41.0,20.0,21.0,25,108.0,3,43.0,0,4.0,2.0,6,68,89,157,167,169,12,Pakistan,0,8
3,PD Collingwood,30.0,16.0,14.0,33,144.0,4,18.0,0,8.0,22.0,30,84,108,192,0,271,3,England,1,8
3,JWM Dalrymple,20.0,4.0,16.0,43,144.0,4,18.0,0,8.0,22.0,30,84,108,192,0,271,3,England,1,8
3,Younis Khan,94.0,54.0,40.0,103,140.0,2,32.0,0,18.0,10.0,28,106,94,200,272,274,15,Pakistan,0,8
3,Mohammad Yousuf,57.0,20.0,37.0,94,140.0,2,32.0,0,18.0,10.0,28,106,94,200,272,274,15,Pakistan,0,8
3,Inzamam-ul-Haq,0.0,0.0,0.0,0,140.0,2,32.0,0,18.0,10.0,28,106,94,200,272,274,15,Pakistan,0,8
3,Shahid Afridi,0.0,0.0,0.0,0,140.0,2,32.0,0,18.0,10.0,28,106,94,200,272,274,15,Pakistan,0,8
4,Kamran Akmal,4.0,0.0,4.0,11,106.0,5,13.0,1,4.0,12.0,16,54,81,135,0,235,9,Pakistan,0,8
4,Abdul Razzaq,8.0,0.0,8.0,20,106.0,5,13.0,1,4.0,12.0,16,54,81,135,0,235,9,Pakistan,0,8
4,Shoaib Akhtar,0.0,0.0,0.0,0,106.0,5,13.0,1,4.0,12.0,16,54,81,135,0,235,9,Pakistan,0,8
4,IR Bell,64.0,32.0,32.0,84,142.0,2,17.0,0,16.0,10.0,26,96,89,185,236,237,10,England,1,8
4,KP Pietersen,4.0,0.0,4.0,8,142.0,2,17.0,0,16.0,10.0,26,96,89,185,236,237,10,England,1,8
5,Younis Khan,26.0,8.0,18.0,57,71.0,6,16.0,1,4.0,11.0,15,30,72,102,0,154,22,Pakistan,0,8
5,Naved-ul-Hasan,4.0,0.0,4.0,10,71.0,6,16.0,1,4.0,11.0,15,30,72,102,0,154,22,Pakistan,0,8
5,Iftikhar Anjum,0.0,0.0,0.0,0,71.0,6,16.0,1,4.0,11.0,15,30,72,102,0,154,22,Pakistan,0,8
6,RP Arnold,2.0,0.0,2.0,6,133.0,3,23.0,1,4.0,14.0,18,74,100,174,0,257,33,Sri Lanka,0,8
6,WU Tharanga,91.0,48.0,43.0,122,133.0,3,23.0,1,4.0,14.0,18,74,100,174,0,257,33,Sri Lanka,0,8
6,CK Kapugedera,0.0,0.0,0.0,0,133.0,3,23.0,1,4.0,14.0,18,74,100,174,0,257,33,Sri Lanka,0,8
6,GO Jones,5.0,0.0,5.0,6,123.0,4,15.0,1,4.0,26.0,30,58,110,168,258,237,8,England,1,8
6,JWM Dalrymple,37.0,12.0,25.0,60,123.0,4,15.0,1,4.0,26.0,30,58,110,168,258,237,8,England,1,8
6,TT Bresnan,0.0,0.0,0.0,0,123.0,4,15.0,1,4.0,26.0,30,58,110,168,258,237,8,England,1,8
7,KC Sangakkara,3.0,0.0,3.0,4,167.0,1,16.0,1,18.0,17.0,35,108,110,218,0,319,24,Sri Lanka,0,8
7,ST Jayasuriya,97.0,56.0,41.0,121,167.0,1,16.0,1,18.0,17.0,35,108,110,218,0,319,24,Sri Lanka,0,8
7,PD Collingwood,36.0,4.0,32.0,46,163.0,3,18.0,1,4.0,28.0,32,88,125,213,320,273,9,England,1,8
7,JWM Dalrymple,5.0,0.0,5.0,9,163.0,3,18.0,1,4.0,28.0,32,88,125,213,320,273,9,England,1,8
7,GO Jones,0.0,0.0,0.0,0,163.0,3,18.0,1,4.0,28.0,32,88,125,213,320,273,9,England,1,8
8,JWM Dalrymple,3.0,0.0,3.0,7,120.0,3,19.0,1,8.0,15.0,23,60,102,162,0,261,10,England,1,8
8,IR Bell,29.0,0.0,29.0,68,120.0,3,19.0,1,8.0,15.0,23,60,102,162,0,261,10,England,1,8
8,KC Sangakkara,26.0,0.0,26.0,51,169.0,2,24.0,0,24.0,16.0,40,138,95,233,262,265,15,Sri Lanka,0,8
8,DPMD Jayawardene,103.0,64.0,39.0,110,169.0,2,24.0,0,24.0,16.0,40,138,95,233,262,265,15,Sri Lanka,0,8
9,DPMD Jayawardene,91.0,28.0,63.0,84,159.0,3,27.0,1,8.0,14.0,22,72,136,208,0,318,24,Sri Lanka,0,8
9,RP Arnold,7.0,0.0,7.0,7,159.0,3,27.0,1,8.0,14.0,22,72,136,208,0,318,24,Sri Lanka,0,8
9,MF Maharoof,0.0,0.0,0.0,0,159.0,3,27.0,1,8.0,14.0,22,72,136,208,0,318,24,Sri Lanka,0,8
9,WPUJC Vaas,0.0,0.0,0.0,0,159.0,3,27.0,1,8.0,14.0,22,72,136,208,0,318,24,Sri Lanka,0,8
9,GO Jones,1.0,0.0,1.0,1,161.0,4,15.0,1,14.0,21.0,35,104,107,211,319,285,5,England,1,8
9,JWM Dalrymple,7.0,0.0,7.0,22,161.0,4,15.0,1,14.0,21.0,35,104,107,211,319,285,5,England,1,8
10,M Kaif,54.0,8.0,46.0,80,164.0,3,25.0,0,0.0,11.0,11,82,118,200,0,245,15,India,0,8
10,MS Dhoni,12.0,4.0,8.0,19,164.0,3,25.0,0,0.0,11.0,11,82,118,200,0,245,15,India,0,8
10,Y Venugopal Rao,0.0,0.0,0.0,0,164.0,3,25.0,0,0.0,11.0,11,82,118,200,0,245,15,India,0,8
10,IK Pathan,0.0,0.0,0.0,0,164.0,3,25.0,0,0.0,11.0,11,82,118,200,0,245,15,India,0,8
10,RR Sarwan,72.0,40.0,32.0,79,119.0,4,28.0,0,4.0,14.0,18,90,75,165,246,248,15,West Indies,1,8
10,S Chanderpaul,19.0,12.0,7.0,25,119.0,4,28.0,0,4.0,14.0,18,90,75,165,246,248,15,West Indies,1,8
11,MS Dhoni,3.0,0.0,3.0,11,107.0,3,14.0,1,8.0,16.0,24,52,93,145,0,217,15,India,0,8
11,M Kaif,33.0,12.0,21.0,54,107.0,3,14.0,1,8.0,16.0,24,52,93,145,0,217,15,India,0,8
11,DJ Bravo,29.0,4.0,25.0,40,111.0,3,27.0,0,22.0,15.0,37,88,87,175,218,218,13,West Indies,1,8
11,BC Lara,48.0,20.0,28.0,83,111.0,3,27.0,0,22.0,15.0,37,88,87,175,218,218,13,West Indies,1,8
12,DJ Bravo,5.0,0.0,5.0,4,109.0,2,22.0,1,6.0,18.0,24,54,101,155,0,255,18,West Indies,1,8
12,BC Lara,23.0,4.0,19.0,49,109.0,2,22.0,1,6.0,18.0,24,54,101,155,0,255,18,West Indies,1,8
12,WW Hinds,0.0,0.0,0.0,0,109.0,2,22.0,1,6.0,18.0,24,54,101,155,0,255,18,West Indies,1,8
12,V Sehwag,88.0,42.0,46.0,103,140.0,4,20.0,1,4.0,14.0,18,78,100,178,256,236,19,India,0,8
12,SK Raina,2.0,0.0,2.0,13,140.0,4,20.0,1,4.0,14.0,18,78,100,178,256,236,19,India,0,8
12,AB Agarkar,0.0,0.0,0.0,0,140.0,4,20.0,1,4.0,14.0,18,78,100,178,256,236,19,India,0,8
12,Harbhajan Singh,0.0,0.0,0.0,0,140.0,4,20.0,1,4.0,14.0,18,78,100,178,256,236,19,India,0,8
13,MN Samuels,35.0,24.0,11.0,39,94.0,3,35.0,0,0.0,19.0,19,82,66,148,0,241,8,West Indies,1,8
13,BC Lara,24.0,14.0,10.0,43,94.0,3,35.0,0,0.0,19.0,19,82,66,148,0,241,8,West Indies,1,8
13,Shoaib Malik,19.0,8.0,11.0,21,102.0,4,19.0,2,4.0,15.0,19,54,86,140,242,187,3,Pakistan,0,8
13,Naved-ul-Hasan,3.0,0.0,3.0,7,102.0,4,19.0,2,4.0,15.0,19,54,86,140,242,187,3,Pakistan,0,8
