Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Team,Home
PD Collingwood,22,12,10,34,38,3,22,1,0,9,0,England,1
JWM Dalrymple,6,4,2,16,38,3,22,1,4,3,0,England,1
R Clarke,0,0,0,0,38,3,22,1,4,3,0,England,1
Mohammad Yousuf,18,8,10,33,36,2,25,0,0,11,158,Pakistan,0
Younis Khan,32,24,8,62,36,2,25,0,12,6,158,Pakistan,0
KP Pietersen,14,8,6,17,78,2,19,0,4,2,0,England,1
IR Bell,33,8,25,57,78,2,19,0,4,5,0,England,1
PD Collingwood,0,0,0,0,78,2,19,0,8,2,0,England,1
JWM Dalrymple,0,0,0,0,78,2,19,0,0,0,0,England,1
Mohammad Yousuf,32,16,16,45,68,2,28,0,0,7,252,Pakistan,0
Younis Khan,43,32,11,58,68,2,28,0,8,7,252,Pakistan,0
Mohammad Yousuf,13,4,9,51,43,3,28,0,0,9,0,Pakistan,0
Inzamam-ul-Haq,27,20,7,31,43,3,28,0,4,9,0,Pakistan,0
IR Bell,19,12,7,29,55,1,26,0,12,7,219,England,1
AJ Strauss,49,28,21,72,55,1,26,0,8,5,219,England,1
Younis Khan,4,0,4,16,35,3,15,0,0,2,0,Pakistan,0
Mohammad Yousuf,11,6,5,15,35,3,15,0,0,0,0,Pakistan,0
Inzamam-ul-Haq,0,0,0,0,35,3,15,0,0,2,0,Pakistan,0
Abdul Razzaq,0,0,0,0,35,3,15,0,0,0,0,Pakistan,0
PD Collingwood,18,8,10,29,68,3,29,2,4,0,140,England,1
CMW Read,0,0,0,0,68,3,29,2,4,0,140,England,1
MH Yardy,0,0,0,0,68,3,29,2,0,3,140,England,1
SI Mahmood,0,0,0,0,68,3,29,2,4,2,140,England,1
DPMD Jayawardene,17,0,17,34,75,1,13,0,6,1,0,Sri Lanka,0
WU Tharanga,60,40,20,73,75,1,13,0,4,6,0,Sri Lanka,0
KC Sangakkara,0,0,0,0,75,1,13,0,4,1,0,Sri Lanka,0
ME Trescothick,39,20,19,65,62,2,13,2,4,10,226,England,1
JWM Dalrymple,7,4,3,10,62,2,13,2,0,10,226,England,1
DPMD Jayawardene,30,10,20,32,68,1,25,0,4,10,0,Sri Lanka,0
ST Jayasuriya,46,26,20,66,68,1,25,0,12,9,0,Sri Lanka,0
KP Pietersen,44,30,14,41,78,2,33,1,8,4,262,England,1
PD Collingwood,0,0,0,0,78,2,33,1,0,8,262,England,1
IR Bell,12,0,12,26,71,2,15,0,0,5,0,England,1
KP Pietersen,6,4,2,14,71,2,15,0,0,0,0,England,1
PD Collingwood,0,0,0,0,71,2,15,0,4,6,0,England,1
KC Sangakkara,3,0,3,12,114,1,16,1,0,10,249,Sri Lanka,0
DPMD Jayawardene,63,44,19,56,114,1,16,1,0,9,249,Sri Lanka,0
WU Tharanga,53,20,33,69,91,1,30,0,0,7,0,Sri Lanka,0
DPMD Jayawardene,54,20,34,39,91,1,30,0,4,11,0,Sri Lanka,0
KC Sangakkara,0,0,0,0,91,1,30,0,0,1,0,Sri Lanka,0
AJ Strauss,24,16,8,23,88,2,31,0,4,10,276,England,1
IR Bell,12,4,8,19,88,2,31,0,0,12,276,England,1
V Sehwag,65,38,27,58,87,2,22,0,6,8,0,India,0
M Kaif,18,4,14,35,87,2,22,0,0,11,0,India,0
RR Sarwan,39,26,13,37,53,2,26,0,10,5,232,West Indies,1
CH Gayle,29,20,9,55,53,2,26,0,6,5,232,West Indies,1
BC Lara,0,0,0,0,53,2,26,0,0,0,232,West Indies,1
M Kaif,11,4,7,11,40,2,20,1,4,5,0,India,0
Yuvraj Singh,16,8,8,41,40,2,20,1,8,10,0,India,0
BC Lara,14,4,10,40,60,2,9,0,0,6,205,West Indies,1
CH Gayle,40,30,10,64,60,2,9,0,0,6,205,West Indies,1
DJ Bravo,0,0,0,0,60,2,9,0,0,6,205,West Indies,1
BC Lara,1,0,1,1,61,1,20,1,4,3,0,West Indies,1
RR Sarwan,29,4,25,63,61,1,20,1,0,7,0,West Indies,1
V Sehwag,51,34,17,59,75,3,28,0,4,8,217,India,0
Yuvraj Singh,20,8,12,19,75,3,28,0,0,6,217,India,0
M Kaif,0,0,0,0,75,3,28,0,0,1,217,India,0
MN Samuels,1,0,1,3,50,1,14,1,0,1,0,West Indies,1
RR Sarwan,42,32,10,51,50,1,14,1,4,3,0,West Indies,1
BC Lara,0,0,0,0,50,1,14,1,0,0,0,West Indies,1
Inzamam-ul-Haq,16,12,4,30,41,3,20,0,4,6,184,Pakistan,0
Mohammad Yousuf,19,4,15,47,41,3,20,0,0,8,184,Pakistan,0
KJ O'Brien,9,8,1,18,58,4,15,0,0,1,0,Ireland,0
JP Bray,41,24,17,59,58,4,15,0,12,3,0,Ireland,0
AR White,0,0,0,0,58,4,15,0,0,1,0,Ireland,0
V Sibanda,59,36,23,72,62,1,19,0,0,2,212,Zimbabwe,0
CJ Chibhabha,10,4,6,33,62,1,19,0,0,2,212,Zimbabwe,0
SC Williams,0,0,0,0,62,1,19,0,8,6,212,Zimbabwe,0
S Matsikenyeri,0,0,0,0,62,1,19,0,0,0,212,Zimbabwe,0
PD Collingwood,9,4,5,14,45,2,17,1,0,4,0,England,0
KP Pietersen,22,16,6,37,45,2,17,1,0,10,0,England,0
SB Styris,36,20,16,52,66,3,8,1,4,13,185,New Zealand,0
JDP Oram,4,0,4,17,66,3,8,1,6,7,185,New Zealand,0
Shoaib Malik,5,4,1,25,44,4,5,1,4,0,0,Pakistan,0
Azhar Mahmood,0,0,0,0,44,4,5,1,0,0,0,Pakistan,0
Kamran Akmal,0,0,0,6,44,4,5,1,4,3,0,Pakistan,0
NJ O'Brien,34,12,22,55,40,2,12,0,4,9,120,Ireland,0
WTS Porterfield,13,4,9,50,40,2,12,0,0,0,120,Ireland,0
AC Botha,0,0,0,0,40,2,12,0,0,0,120,Ireland,0
KJ O'Brien,0,0,0,0,40,2,12,0,0,0,120,Ireland,0
SC Williams,1,0,1,6,39,3,10,1,0,6,0,Zimbabwe,0
BRM Taylor,19,4,15,59,39,3,10,1,0,5,0,Zimbabwe,0
MN Samuels,2,0,2,11,54,0,9,2,8,5,183,West Indies,1
RR Sarwan,0,0,0,4,54,0,9,2,8,4,183,West Indies,1
ST Jayasuriya,74,48,26,65,91,1,16,0,0,9,0,Sri Lanka,0
DPMD Jayawardene,7,4,3,22,91,1,16,0,0,5,0,Sri Lanka,0
Mohammad Ashraful,1,0,1,6,27,4,17,1,8,6,106,Bangladesh,0
Habibul Bashar,15,8,7,37,27,4,17,1,0,3,106,Bangladesh,0
Imran Nazir,49,30,19,57,64,1,25,1,4,7,0,Pakistan,0
Inzamam-ul-Haq,4,0,4,8,64,1,25,1,20,5,0,Pakistan,0
KC Sangakkara,12,8,4,25,42,2,17,0,0,3,0,Sri Lanka,0
WU Tharanga,34,16,18,56,42,2,17,0,4,8,0,Sri Lanka,0
LPC Silva,0,0,0,0,42,2,17,0,0,3,0,Sri Lanka,0
R Dravid,14,8,6,28,62,3,22,0,0,7,178,India,0
V Sehwag,45,26,19,42,62,3,22,0,0,3,178,India,0
Yuvraj Singh,0,0,0,0,62,3,22,0,0,3,178,India,0
JP Bray,36,24,12,67,52,1,13,1,4,1,0,Ireland,0
NJ O'Brien,11,8,3,19,52,1,13,1,0,0,0,Ireland,0
AC Botha,0,0,0,0,52,1,13,1,4,7,0,Ireland,0
KJ O'Brien,0,0,0,0,52,1,13,1,0,2,0,Ireland,0
RR Sarwan,17,4,13,46,59,1,48,0,4,6,184,West Indies,1
S Chanderpaul,72,54,18,64,59,1,48,0,0,4,184,West Indies,1
ML Hayden,91,74,17,60,106,1,43,0,6,4,0,Australia,0
RT Ponting,16,14,2,20,106,1,43,0,0,8,0,Australia,0
MJ Clarke,0,0,0,0,106,1,43,0,0,4,0,Australia,0
GC Smith,62,44,18,53,110,0,41,0,4,6,278,South Africa,0
AB de Villiers,89,68,21,70,110,0,41,0,0,3,278,South Africa,0
JH Kallis,0,0,0,0,110,0,41,0,4,1,278,South Africa,0
ML Hayden,32,12,20,58,68,2,19,0,12,11,0,Australia,0
MJ Clarke,13,8,5,19,68,2,19,0,4,4,0,Australia,0
RR Sarwan,16,0,16,38,30,3,18,0,4,9,204,West Indies,1
BC Lara,21,12,9,40,30,3,18,0,16,5,204,West Indies,1
LPC Silva,4,0,4,16,63,3,19,0,4,1,0,Sri Lanka,0
KC Sangakkara,28,16,12,35,63,3,19,0,0,0,0,Sri Lanka,0
TM Dilshan,0,0,0,0,63,3,19,0,0,4,0,Sri Lanka,0
RP Arnold,0,0,0,0,63,3,19,0,0,1,0,Sri Lanka,0
JH Kallis,36,12,24,41,85,1,16,1,4,10,200,South Africa,0
HH Gibbs,6,0,6,10,85,1,16,1,4,8,200,South Africa,0
MN Samuels,9,4,5,15,49,1,25,1,0,0,0,West Indies,1
BC Lara,0,0,0,0,49,1,25,1,0,4,0,West Indies,1
CH Gayle,42,32,10,52,49,1,25,1,0,2,0,West Indies,1
DJ Bravo,0,0,0,0,49,1,25,1,0,5,0,West Indies,1
SB Styris,12,0,12,32,46,2,25,0,0,10,174,New Zealand,0
SP Fleming,44,30,14,65,46,2,25,0,0,1,174,New Zealand,0
CD McMillan,0,0,0,0,46,2,25,0,0,1,174,New Zealand,0
Mashrafe Mortaza,12,4,8,11,57,4,23,1,10,3,0,Bangladesh,0
Habibul Bashar,22,0,22,42,57,4,23,1,0,2,0,Bangladesh,0
Mushfiqur Rahim,0,0,0,0,57,4,23,1,0,2,0,Bangladesh,0
ST Jayasuriya,50,34,16,53,39,2,42,0,6,6,0,Sri Lanka,0
