Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Team,Home
CMW Read,1,0,1,3,192,4,32,2,8,12,0,England,1
PD Collingwood,49,16,33,56,192,4,32,2,4,8,0,England,1
J Lewis,0,0,0,0,192,4,32,2,4,3,0,England,1
SCJ Broad,0,0,0,0,192,4,32,2,0,0,0,England,1
Abdul Razzaq,10,0,10,13,200,4,27,1,4,2,252,Pakistan,0
Inzamam-ul-Haq,35,20,15,26,200,4,27,1,4,5,252,Pakistan,0
Kamran Akmal,0,0,0,0,200,4,27,1,0,0,252,Pakistan,0
Naved-ul-Hasan,0,0,0,0,200,4,27,1,4,3,252,Pakistan,0
Shoaib Akhtar,0,0,0,0,200,4,27,1,0,2,252,Pakistan,0
Shoaib Akhtar,10,6,4,17,135,7,20,0,0,0,0,Pakistan,0
Abdul Razzaq,28,8,20,53,135,7,20,0,42,5,0,Pakistan,0
Naved-ul-Hasan,0,0,0,0,135,7,20,0,4,5,0,Pakistan,0
IR Bell,80,36,44,110,185,2,23,0,4,2,219,England,1
KP Pietersen,37,24,13,46,185,2,23,0,4,0,219,England,1
Iftikhar Anjum,3,0,3,19,102,8,13,1,4,7,0,Pakistan,0
Mohammad Asif,0,0,0,1,102,8,13,1,0,4,0,Pakistan,0
WPUJC Vaas,8,0,8,14,174,6,17,0,0,2,0,Sri Lanka,0
WU Tharanga,111,52,59,154,174,6,17,0,4,5,0,Sri Lanka,0
SL Malinga,0,0,0,0,174,6,17,0,0,3,0,Sri Lanka,0
CRD Fernando,0,0,0,0,174,6,17,0,4,6,0,Sri Lanka,0
M Muralitharan,0,0,0,0,174,6,17,0,0,0,0,Sri Lanka,0
TT Bresnan,15,4,11,19,168,6,28,0,0,1,226,England,1
JWM Dalrymple,66,20,46,85,168,6,28,0,0,1,226,England,1
SI Mahmood,0,0,0,0,168,6,28,0,0,8,226,England,1
LE Plunkett,0,0,0,0,168,6,28,0,4,10,226,England,1
SJ Harmison,0,0,0,0,168,6,28,0,0,5,226,England,1
TM Dilshan,8,4,4,8,218,2,36,1,0,1,0,Sri Lanka,0
KC Sangakkara,41,18,23,36,218,2,36,1,8,2,0,Sri Lanka,0
RP Arnold,0,0,0,0,218,2,36,1,0,5,0,Sri Lanka,0
WPUJC Vaas,0,0,0,0,218,2,36,1,8,5,0,Sri Lanka,0
SL Malinga,0,0,0,0,218,2,36,1,0,2,0,Sri Lanka,0
M Muralitharan,0,0,0,0,218,2,36,1,0,1,0,Sri Lanka,0
TT Bresnan,3,0,3,5,213,5,35,3,6,2,262,England,1
LE Plunkett,0,0,0,0,213,5,35,3,0,3,262,England,1
SJ Harmison,0,0,0,0,213,5,35,3,0,2,262,England,1
IR Bell,59,8,51,102,162,4,40,1,4,14,0,England,1
GO Jones,1,0,1,1,162,4,40,1,12,9,0,England,1
LE Plunkett,0,0,0,0,162,4,40,1,4,2,0,England,1
HMCM Bandara,4,0,4,5,208,6,25,1,18,6,0,Sri Lanka,0
MF Maharoof,27,8,19,38,208,6,25,1,24,7,0,Sri Lanka,0
LE Plunkett,6,0,6,5,211,6,35,1,16,7,276,England,1
JWM Dalrymple,29,4,25,46,211,6,35,1,0,4,276,England,1
Kabir Ali,0,0,0,0,211,6,35,1,0,0,276,England,1
SJ Harmison,0,0,0,0,211,6,35,1,0,2,276,England,1
Y Venugopal Rao,8,0,8,25,200,5,11,2,0,3,0,India,0
AB Agarkar,2,0,2,4,200,5,11,2,0,6,0,India,0
Harbhajan Singh,0,0,0,0,200,5,11,2,0,8,0,India,0
S Sreesanth,0,0,0,0,200,5,11,2,0,1,0,India,0
S Chanderpaul,48,18,30,57,165,4,31,0,4,6,232,West Indies,1
RR Sarwan,92,44,48,108,165,4,31,0,8,15,232,West Indies,1
DJ Bravo,0,0,0,0,165,4,31,0,0,1,232,West Indies,1
CS Baugh,0,0,0,0,165,4,31,0,0,1,232,West Indies,1
MS Dhoni,23,8,15,45,145,4,18,0,16,7,0,India,0
M Kaif,55,20,35,80,145,4,18,0,0,7,0,India,0
IK Pathan,0,0,0,0,145,4,18,0,4,4,0,India,0
AB Agarkar,0,0,0,0,145,4,18,0,0,0,0,India,0
WW Hinds,15,0,15,24,155,4,31,0,8,9,0,West Indies,1
DJ Bravo,32,4,28,29,155,4,31,0,12,18,0,West Indies,1
DR Smith,0,0,0,0,155,4,31,0,0,1,0,West Indies,1
D Ramdin,0,0,0,0,155,4,31,0,0,1,0,West Indies,1
Harbhajan Singh,19,8,11,26,178,7,23,0,4,3,217,India,0
AB Agarkar,15,0,15,26,178,7,23,0,0,6,217,India,0
MM Patel,0,0,0,0,178,7,23,0,0,0,217,India,0
S Sreesanth,0,0,0,0,178,7,23,0,0,2,217,India,0
DR Smith,1,0,1,1,148,3,28,3,24,7,0,West Indies,1
DJ Bravo,4,0,4,8,148,3,28,3,8,4,0,West Indies,1
JE Taylor,0,0,0,0,148,3,28,3,0,2,0,West Indies,1
DBL Powell,0,0,0,0,148,3,28,3,0,1,0,West Indies,1
CD Collymore,0,0,0,0,148,3,28,3,6,2,0,West Indies,1
Shoaib Malik,54,26,28,46,140,6,31,1,4,4,184,Pakistan,0
Iftikhar Anjum,7,0,7,14,140,6,31,1,0,4,184,Pakistan,0
Umar Gul,0,0,0,0,140,6,31,1,0,0,184,Pakistan,0
JP Bray,91,44,47,122,152,6,20,2,8,16,0,Ireland,0
D Langford-Smith,0,0,0,3,152,6,20,2,4,11,0,Ireland,0
GB Brent,1,0,1,6,166,5,32,1,0,2,212,Zimbabwe,0
S Matsikenyeri,64,42,22,62,166,5,32,1,0,9,212,Zimbabwe,0
P Utseya,0,0,0,0,166,5,32,1,0,1,212,Zimbabwe,0
CB Mpofu,0,0,0,0,166,5,32,1,0,0,212,Zimbabwe,0
EC Rainsford,0,0,0,0,166,5,32,1,0,1,212,Zimbabwe,0
PA Nixon,16,4,12,25,134,7,17,0,16,10,0,England,0
LE Plunkett,10,4,6,19,134,7,17,0,6,13,0,England,0
Iftikhar Anjum,7,0,7,43,97,8,5,1,0,1,0,Pakistan,0
Umar Gul,1,0,1,11,97,8,5,1,0,0,0,Pakistan,0
SC Williams,58,24,34,76,124,4,25,1,4,8,0,Zimbabwe,0
E Chigumbura,12,8,4,14,124,4,25,1,12,6,0,Zimbabwe,0
BC Lara,30,4,26,57,143,4,20,0,10,4,183,West Indies,1
DJ Bravo,32,20,12,43,143,4,20,0,4,1,183,West Indies,1
LPC Silva,29,18,11,32,206,2,35,1,14,9,0,Sri Lanka,0
ST Jayasuriya,84,48,36,80,206,2,35,1,22,3,0,Sri Lanka,0
RP Arnold,0,0,0,0,206,2,35,1,0,5,0,Sri Lanka,0
Mohammad Sami,4,0,4,6,238,4,47,3,0,1,0,Pakistan,0
Iftikhar Anjum,1,0,1,1,238,4,47,3,20,11,0,Pakistan,0
Umar Gul,0,0,0,0,238,4,47,3,8,2,0,Pakistan,0
Danish Kaneria,0,0,0,0,238,4,47,3,4,2,0,Pakistan,0
TM Dilshan,34,8,26,38,154,4,31,0,4,0,0,Sri Lanka,0
RP Arnold,0,0,0,0,154,4,31,0,12,7,0,Sri Lanka,0
LPC Silva,59,20,39,70,154,4,31,0,0,0,0,Sri Lanka,0
WPUJC Vaas,0,0,0,0,154,4,31,0,14,5,0,Sri Lanka,0
AR White,13,0,13,26,122,6,16,0,0,5,0,Ireland,0
WK McCallan,10,4,6,17,122,6,16,0,4,6,0,Ireland,0
JF Mooney,0,0,0,0,122,6,16,0,0,0,0,Ireland,0
D Langford-Smith,0,0,0,0,122,6,16,0,4,4,0,Ireland,0
