Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Team,Home
JWM Dalrymple,44,12,32,67,162,4,30,0,8,10,0,England,1
PD Collingwood,36,16,20,39,162,4,30,0,0,13,0,England,1
R Clarke,0,0,0,0,162,4,30,0,0,0,0,England,1
CMW Read,0,0,0,0,162,4,30,0,0,1,0,England,1
Inzamam-ul-Haq,18,14,4,10,172,2,28,2,6,11,252,Pakistan,0
Shahid Afridi,0,0,0,1,172,2,28,2,0,0,252,Pakistan,0
Abdul Razzaq,0,0,0,0,172,2,28,2,0,10,252,Pakistan,0
Abdul Razzaq,18,4,14,34,119,6,16,1,4,6,0,Pakistan,0
Shoaib Akhtar,0,0,0,5,119,6,16,1,6,4,0,Pakistan,0
IR Bell,74,36,38,100,159,2,26,0,0,6,219,England,1
KP Pietersen,20,12,8,23,159,2,26,0,12,5,219,England,1
Younis Khan,37,12,25,70,87,7,15,1,4,6,0,Pakistan,0
Iftikhar Anjum,0,0,0,2,87,7,15,1,0,3,0,Pakistan,0
Mohammad Asif,0,0,0,0,87,7,15,1,0,0,0,Pakistan,0
WPUJC Vaas,0,0,0,0,156,4,18,2,0,8,0,Sri Lanka,0
WU Tharanga,102,52,50,137,156,4,18,2,0,9,0,Sri Lanka,0
TT Bresnan,1,0,1,1,138,5,30,1,4,10,226,England,1
JWM Dalrymple,52,16,36,72,138,5,30,1,4,10,226,England,1
KC Sangakkara,24,10,14,21,183,2,35,0,8,9,0,Sri Lanka,0
ST Jayasuriya,111,64,47,135,183,2,35,0,8,3,0,Sri Lanka,0
TM Dilshan,0,0,0,0,183,2,35,0,4,4,0,Sri Lanka,0
JWM Dalrymple,17,0,17,22,181,4,32,1,14,6,262,England,1
GO Jones,0,0,0,1,181,4,32,1,6,2,262,England,1
TT Bresnan,0,0,0,0,181,4,32,1,0,3,262,England,1
SI Mahmood,0,0,0,0,181,4,32,1,4,0,262,England,1
JWM Dalrymple,10,0,10,18,139,4,23,0,18,7,0,England,1
IR Bell,45,8,37,87,139,4,23,0,0,14,0,England,1
GO Jones,0,0,0,0,139,4,23,0,0,1,0,England,1
DPMD Jayawardene,118,72,46,124,193,2,40,0,4,4,249,Sri Lanka,0
KC Sangakkara,51,16,35,68,193,2,40,0,4,3,249,Sri Lanka,0
MF Maharoof,10,0,10,21,186,4,22,2,8,9,0,Sri Lanka,0
WPUJC Vaas,3,0,3,5,186,4,22,2,0,4,0,Sri Lanka,0
HMCM Bandara,0,0,0,0,186,4,22,2,0,4,0,Sri Lanka,0
TT Bresnan,0,0,0,0,176,5,35,1,8,12,276,England,1
JWM Dalrymple,20,4,16,33,176,5,35,1,0,9,276,England,1
LE Plunkett,0,0,0,0,176,5,35,1,0,6,276,England,1
Y Venugopal Rao,1,0,1,9,189,3,11,2,0,7,0,India,0
IK Pathan,0,0,0,2,189,3,11,2,0,1,0,India,0
RR Powar,0,0,0,0,189,3,11,2,0,1,0,India,0
AB Agarkar,0,0,0,0,189,3,11,2,0,2,0,India,0
S Chanderpaul,27,12,15,40,147,4,18,0,6,15,232,West Indies,1
RR Sarwan,82,44,38,94,147,4,18,0,0,10,232,West Indies,1
M Kaif,45,16,29,69,121,4,24,0,4,6,0,India,0
MS Dhoni,15,4,11,26,121,4,24,0,4,4,0,India,0
WW Hinds,0,0,0,0,138,3,37,1,12,1,205,West Indies,1
DJ Bravo,45,8,37,53,138,3,37,1,10,6,205,West Indies,1
DJ Bravo,13,0,13,13,131,3,24,1,4,15,0,West Indies,1
WW Hinds,3,0,3,9,131,3,24,1,0,12,0,West Indies,1
AB Agarkar,8,0,8,16,160,5,18,2,0,7,217,India,0
Harbhajan Singh,3,0,3,6,160,5,18,2,8,8,217,India,0
MN Samuels,46,24,22,57,129,3,19,0,14,3,0,West Indies,1
BC Lara,32,14,18,55,129,3,19,0,4,1,0,West Indies,1
DJ Bravo,0,0,0,0,129,3,19,0,0,4,0,West Indies,1
D Ramdin,0,0,0,0,129,3,19,0,0,1,0,West Indies,1
DR Smith,0,0,0,0,129,3,19,0,0,1,0,West Indies,1
Shoaib Malik,30,12,18,30,121,6,19,0,14,10,184,Pakistan,0
Naved-ul-Hasan,11,0,11,28,121,6,19,0,0,0,184,Pakistan,0
Iftikhar Anjum,0,0,0,0,121,6,19,0,0,7,184,Pakistan,0
DT Johnston,8,4,4,8,121,5,31,1,4,8,0,Ireland,0
JP Bray,83,40,43,114,121,5,31,1,4,4,0,Ireland,0
WK McCallan,0,0,0,0,121,5,31,1,0,0,0,Ireland,0
D Langford-Smith,0,0,0,0,121,5,31,1,0,0,0,Ireland,0
BRM Taylor,14,8,6,31,149,5,17,0,4,6,212,Zimbabwe,0
S Matsikenyeri,43,30,13,48,149,5,17,0,12,9,212,Zimbabwe,0
GB Brent,0,0,0,0,149,5,17,0,0,1,212,Zimbabwe,0
PA Nixon,8,4,4,10,122,4,12,3,0,8,0,England,0
LE Plunkett,1,0,1,4,122,4,12,3,4,5,0,England,0
SB Styris,86,36,50,113,147,4,26,0,0,1,185,New Zealand,0
JDP Oram,53,14,39,82,147,4,26,0,8,2,185,New Zealand,0
Mohammad Sami,8,4,4,25,88,8,9,0,0,4,0,Pakistan,0
Iftikhar Anjum,7,0,7,34,88,8,9,0,0,0,0,Pakistan,0
Umar Gul,0,0,0,0,88,8,9,0,0,1,0,Pakistan,0
KJ O'Brien,14,8,6,49,102,7,9,0,0,2,120,Ireland,0
DT Johnston,3,0,3,12,102,7,9,0,6,0,120,Ireland,0
SC Williams,46,16,30,59,101,4,23,0,8,4,0,Zimbabwe,0
BRM Taylor,49,10,39,128,101,4,23,0,0,1,0,Zimbabwe,0
E Chigumbura,0,0,0,0,101,4,23,0,8,4,0,Zimbabwe,0
DJ Bravo,18,10,8,21,115,4,28,0,10,4,183,West Indies,1
BC Lara,24,4,20,47,115,4,28,0,0,6,183,West Indies,1
LPC Silva,13,10,3,14,178,1,28,1,8,8,0,Sri Lanka,0
KC Sangakkara,38,10,28,45,178,1,28,1,8,10,0,Sri Lanka,0
ST Jayasuriya,83,48,35,79,178,1,28,1,0,1,0,Sri Lanka,0
Younis Khan,27,10,17,30,184,4,54,0,0,1,0,Pakistan,0
Shahid Afridi,0,0,0,0,184,4,54,0,10,6,0,Pakistan,0
Imran Nazir,135,88,47,112,184,4,54,0,16,9,0,Pakistan,0
Mohammad Sami,0,0,0,0,184,4,54,0,0,4,0,Pakistan,0
Iftikhar Anjum,0,0,0,0,184,4,54,0,0,1,0,Pakistan,0
TM Dilshan,21,4,17,25,123,4,31,0,4,9,0,Sri Lanka,0
LPC Silva,41,12,29,51,123,4,31,0,8,10,0,Sri Lanka,0
Harbhajan Singh,3,0,3,10,130,7,23,2,10,4,178,India,0
MM Patel,0,0,0,6,130,7,23,2,4,6,178,India,0
WK McCallan,1,0,1,2,112,4,10,2,4,5,0,Ireland,0
AR White,6,0,6,11,112,4,10,2,0,7,0,Ireland,0
MJ Clarke,58,32,26,57,230,2,44,0,10,12,0,Australia,0
RT Ponting,73,36,37,77,230,2,44,0,8,10,0,Australia,0
JH Kallis,39,16,23,53,216,3,28,1,4,5,278,South Africa,0
JM Kemp,1,0,1,4,216,3,28,1,0,0,278,South Africa,0
GC Smith,72,48,24,68,216,3,28,1,0,2,278,South Africa,0
SM Pollock,0,0,0,0,216,3,28,1,4,3,278,South Africa,0
AJ Hall,0,0,0,0,216,3,28,1,0,0,278,South Africa,0
CK Langeveldt,0,0,0,0,216,3,28,1,0,0,278,South Africa,0
ML Hayden,105,38,67,119,188,3,20,1,24,8,0,Australia,0
MEK Hussey,7,4,3,17,188,3,20,1,0,2,0,Australia,0
SR Watson,0,0,0,0,188,3,20,1,0,10,0,Australia,0
D Ramdin,35,16,19,31,145,5,27,2,8,9,204,West Indies,1
JE Taylor,2,0,2,8,145,5,27,2,4,4,204,West Indies,1
DBL Powell,0,0,0,0,145,5,27,2,0,5,204,West Indies,1
CD Collymore,0,0,0,0,145,5,27,2,0,1,204,West Indies,1
RP Arnold,28,4,24,49,128,5,27,0,0,9,0,Sri Lanka,0
TM Dilshan,40,8,32,57,128,5,27,0,8,9,0,Sri Lanka,0
JH Kallis,78,16,62,97,161,4,13,1,0,7,200,South Africa,0
SM Pollock,1,0,1,7,161,4,13,1,4,8,200,South Africa,0
AJ Hall,0,0,0,0,161,4,13,1,0,0,200,South Africa,0
LMP Simmons,1,0,1,13,133,5,13,1,8,5,0,West Indies,1
D Ramdin,14,8,6,19,133,5,13,1,0,1,0,West Indies,1
DR Smith,0,0,0,0,133,5,13,1,6,2,0,West Indies,1
DBL Powell,0,0,0,0,133,5,13,1,0,0,0,West Indies,1
CD Collymore,0,0,0,0,133,5,13,1,0,0,0,West Indies,1
LPC Silva,4,0,4,6,177,2,27,1,0,14,0,Sri Lanka,0
DPMD Jayawardene,70,14,56,103,177,2,27,1,0,12,0,Sri Lanka,0
TM Dilshan,0,0,0,0,177,2,27,1,0,4,0,Sri Lanka,0
IDR Bradshaw,2,0,2,7,127,4,25,3,0,4,180,West Indies,1
S Chanderpaul,68,28,40,108,127,4,25,3,6,2,180,West Indies,1
JE Taylor,0,0,0,0,127,4,25,3,8,5,180,West Indies,1
DBL Powell,0,0,0,0,127,4,25,3,0,2,180,West Indies,1
Mohammad Rafique,1,0,1,8,114,4,4,3,16,5,0,Bangladesh,0
Mashrafe Mortaza,2,0,2,13,114,4,4,3,0,0,0,Bangladesh,0
Abdur Razzak,0,0,0,0,114,4,4,3,0,0,0,Bangladesh,0
Syed Rasel,0,0,0,0,114,4,4,3,4,2,0,Bangladesh,0
LPC Silva,12,4,8,18,152,3,21,1,4,4,0,Sri Lanka,0
TM Dilshan,1,0,1,2,152,3,21,1,0,4,0,Sri Lanka,0
RP Arnold,0,0,0,0,152,3,21,1,4,9,0,Sri Lanka,0
PA Nixon,11,0,11,20,134,6,20,0,0,8,228,England,0
RS Bopara,12,0,12,20,134,6,20,0,8,11,228,England,0
Mohammad Ashraful,43,20,23,58,118,4,31,1,12,7,0,Bangladesh,0
Mushfiqur Rahim,2,0,2,6,118,4,31,1,0,4,0,Bangladesh,0
Mashrafe Mortaza,0,0,0,0,118,4,31,1,8,5,0,Bangladesh,0
HH Gibbs,35,10,25,39,121,6,12,2,0,10,171,South Africa,0
CK Langeveldt,1,0,1,12,121,6,12,2,0,5,171,South Africa,0
KP Pietersen,75,26,49,92,164,4,16,1,4,13,0,England,0
RS Bopara,10,4,6,19,164,4,16,1,4,5,0,England,0
RT Ponting,86,44,42,107,164,2,30,0,0,0,238,Australia,0
A Symonds,0,0,0,0,164,2,30,0,14,5,238,Australia,0
MJ Clarke,40,4,36,48,164,2,30,0,4,7,238,Australia,0
BB McCullum,4,0,4,8,150,4,14,1,0,15,0,New Zealand,0
JDP Oram,19,0,19,46,150,4,14,1,0,1,0,New Zealand,0
DL Vettori,0,0,0,0,150,4,14,1,0,5,0,New Zealand,0
JEC Franklin,0,0,0,0,150,4,14,1,0,4,0,New Zealand,0
HH Gibbs,11,4,7,14,182,1,32,1,16,10,0,South Africa,0
AB de Villiers,115,54,61,122,182,1,32,1,24,7,0,South Africa,0
MV Boucher,0,0,0,0,182,1,32,1,4,3,0,South Africa,0
DBL Powell,5,0,5,6,200,7,15,1,14,7,283,West Indies,1
IDR Bradshaw,8,0,8,27,200,7,15,1,4,8,283,West Indies,1
SB Styris,79,24,55,125,119,4,26,2,0,14,0,New Zealand,0
DL Vettori,5,0,5,6,119,4,26,2,0,0,0,New Zealand,0
JEC Franklin,0,0,0,0,119,4,26,2,0,7,0,New Zealand,0
TM Dilshan,2,0,2,8,150,3,15,1,0,12,197,Sri Lanka,0
KC Sangakkara,50,4,46,87,150,3,15,1,4,11,197,Sri Lanka,0
MV Boucher,8,4,4,14,105,3,22,1,0,8,0,South Africa,0
AG Prince,36,8,28,56,105,3,22,1,0,1,0,South Africa,0
SM Pollock,0,0,0,0,105,3,22,1,0,4,0,South Africa,0
AJ Hall,0,0,0,0,105,3,22,1,0,7,0,South Africa,0
CD McMillan,18,4,14,34,122,3,21,0,10,9,185,New Zealand,0
SB Styris,49,12,37,77,122,3,21,0,4,3,185,New Zealand,0
JDP Oram,0,0,0,0,122,3,21,0,0,2,185,New Zealand,0
KJ O'Brien,22,10,12,22,118,3,31,0,4,8,0,Ireland,0
WTS Porterfield,81,12,69,134,118,3,31,0,0,4,0,Ireland,0
DT Johnston,0,0,0,0,118,3,31,0,0,7,0,Ireland,0
Abdur Razzak,11,0,11,18,123,8,24,0,0,0,148,Bangladesh,0
Shahadat Hossain,0,0,0,0,123,8,24,0,0,0,148,Bangladesh,0
Habibul Bashar,32,8,24,58,123,8,24,0,0,0,148,Bangladesh,0
TM Dilshan,4,0,4,7,140,3,18,2,0,3,0,Sri Lanka,0
RP Arnold,0,0,0,2,140,3,18,2,0,3,0,Sri Lanka,0
MF Maharoof,0,0,0,0,140,3,18,2,0,3,0,Sri Lanka,0
KMDN Kulasekara,0,0,0,0,140,3,18,2,0,1,0,Sri Lanka,0
HMCM Bandara,0,0,0,0,140,3,18,2,0,2,0,Sri Lanka,0
