Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Team,Home
CJ Chibhabha,0,0,0,0,0,0,0,0,0,2,0,Zimbabwe,0
BRM Taylor,0,0,0,0,0,0,0,0,0,2,0,Zimbabwe,0
CH Gayle,0,0,0,0,0,0,0,0,0,2,183,West Indies,1
S Chanderpaul,0,0,0,0,0,0,0,0,4,6,183,West Indies,1
WU Tharanga,0,0,0,0,0,0,0,0,0,6,0,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,10,3,0,Sri Lanka,0
Tamim Iqbal,0,0,0,0,0,0,0,0,4,2,106,Bangladesh,0
Shahriar Nafees,0,0,0,0,0,0,0,0,0,0,106,Bangladesh,0
Mushfiqur Rahim,0,0,0,0,0,0,0,0,0,1,106,Bangladesh,0
Aftab Ahmed,0,0,0,0,0,0,0,0,0,0,106,Bangladesh,0
Kamran Akmal,0,0,0,0,0,0,0,0,4,7,0,Pakistan,0
Imran Nazir,0,0,0,0,0,0,0,0,8,4,0,Pakistan,0
V Sibanda,0,0,0,0,0,0,0,0,0,0,96,Zimbabwe,0
F Kasteni,0,0,0,0,0,0,0,0,0,8,96,Zimbabwe,0
CJ Chibhabha,0,0,0,0,0,0,0,0,0,3,96,Zimbabwe,0
WU Tharanga,0,0,0,0,0,0,0,0,0,6,0,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,0,3,0,Sri Lanka,0
RV Uthappa,0,0,0,0,0,0,0,0,12,2,178,India,0
SC Ganguly,0,0,0,0,0,0,0,0,0,4,178,India,0
JP Bray,0,0,0,0,0,0,0,0,4,3,0,Ireland,0
WTS Porterfield,0,0,0,0,0,0,0,0,0,0,0,Ireland,0
EJG Morgan,0,0,0,0,0,0,0,0,6,4,0,Ireland,0
CH Gayle,0,0,0,0,0,0,0,0,12,6,184,West Indies,1
S Chanderpaul,0,0,0,0,0,0,0,0,0,4,184,West Indies,1
AC Gilchrist,0,0,0,0,0,0,0,0,16,7,0,Australia,0
ML Hayden,0,0,0,0,0,0,0,0,24,3,0,Australia,0
AB de Villiers,0,0,0,0,0,0,0,0,18,4,278,South Africa,0
GC Smith,0,0,0,0,0,0,0,0,12,3,278,South Africa,0
AC Gilchrist,0,0,0,0,0,0,0,0,0,7,0,Australia,0
ML Hayden,0,0,0,0,0,0,0,0,0,0,0,Australia,0
RT Ponting,0,0,0,0,0,0,0,0,0,2,0,Australia,0
CH Gayle,0,0,0,0,0,0,0,0,0,1,204,West Indies,1
S Chanderpaul,0,0,0,0,0,0,0,0,0,5,204,West Indies,1
RR Sarwan,0,0,0,0,0,0,0,0,0,2,204,West Indies,1
WU Tharanga,0,0,0,0,0,0,0,0,8,4,0,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,8,3,0,Sri Lanka,0
DPMD Jayawardene,0,0,0,0,0,0,0,0,0,2,0,Sri Lanka,0
GC Smith,0,0,0,0,0,0,0,0,12,5,200,South Africa,0
AB de Villiers,0,0,0,0,0,0,0,0,0,0,200,South Africa,0
JH Kallis,0,0,0,0,0,0,0,0,0,6,200,South Africa,0
CH Gayle,0,0,0,0,0,0,0,0,0,1,0,West Indies,1
S Chanderpaul,0,0,0,0,0,0,0,0,0,4,0,West Indies,1
PG Fulton,0,0,0,0,0,0,0,0,0,0,174,New Zealand,0
HJH Marshall,0,0,0,0,0,0,0,0,4,5,174,New Zealand,0
SP Fleming,0,0,0,0,0,0,0,0,4,2,174,New Zealand,0
Tamim Iqbal,0,0,0,0,0,0,0,0,0,3,0,Bangladesh,0
Shahriar Nafees,0,0,0,0,0,0,0,0,0,1,0,Bangladesh,0
Aftab Ahmed,0,0,0,0,0,0,0,0,4,7,0,Bangladesh,0
Shakib Al Hasan,0,0,0,0,0,0,0,0,6,1,0,Bangladesh,0
AC Gilchrist,0,0,0,0,0,0,0,0,24,7,107,Australia,0
ML Hayden,0,0,0,0,0,0,0,0,4,5,107,Australia,0
WU Tharanga,0,0,0,0,0,0,0,0,0,4,0,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,0,5,0,Sri Lanka,0
CH Gayle,0,0,0,0,0,0,0,0,4,4,180,West Indies,1
DJ Bravo,0,0,0,0,0,0,0,0,4,5,180,West Indies,1
Javed Omar,0,0,0,0,0,0,0,0,8,3,0,Bangladesh,0
Tamim Iqbal,0,0,0,0,0,0,0,0,0,3,0,Bangladesh,0
PG Fulton,0,0,0,0,0,0,0,0,4,1,168,New Zealand,0
SP Fleming,0,0,0,0,0,0,0,0,12,6,168,New Zealand,0
JP Bray,0,0,0,0,0,0,0,0,0,0,0,Ireland,0
WTS Porterfield,0,0,0,0,0,0,0,0,0,3,0,Ireland,0
EJG Morgan,0,0,0,0,0,0,0,0,4,2,0,Ireland,0
AB de Villiers,0,0,0,0,0,0,0,0,0,0,161,South Africa,0
JH Kallis,0,0,0,0,0,0,0,0,12,2,161,South Africa,0
GC Smith,0,0,0,0,0,0,0,0,0,4,161,South Africa,0
WU Tharanga,0,0,0,0,0,0,0,0,0,7,0,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,8,3,0,Sri Lanka,0
EC Joyce,0,0,0,0,0,0,0,0,4,6,228,England,0
MP Vaughan,0,0,0,0,0,0,0,0,0,0,228,England,0
IR Bell,0,0,0,0,0,0,0,0,0,1,228,England,0
Javed Omar,0,0,0,0,0,0,0,0,0,2,0,Bangladesh,0
Tamim Iqbal,0,0,0,0,0,0,0,0,8,1,0,Bangladesh,0
GC Smith,0,0,0,0,0,0,0,0,4,8,171,South Africa,0
AB de Villiers,0,0,0,0,0,0,0,0,0,5,171,South Africa,0
IR Bell,0,0,0,0,0,0,0,0,0,4,0,England,0
MP Vaughan,0,0,0,0,0,0,0,0,4,1,0,England,0
AJ Strauss,0,0,0,0,0,0,0,0,0,7,0,England,0
AC Gilchrist,0,0,0,0,0,0,0,0,12,0,238,Australia,0
ML Hayden,0,0,0,0,0,0,0,0,8,0,238,Australia,0
PG Fulton,0,0,0,0,0,0,0,0,16,4,0,New Zealand,0
SP Fleming,0,0,0,0,0,0,0,0,0,6,0,New Zealand,0
WTS Porterfield,0,0,0,0,0,0,0,0,0,7,122,Ireland,0
JP Bray,0,0,0,0,0,0,0,0,0,1,122,Ireland,0
EJG Morgan,0,0,0,0,0,0,0,0,0,2,122,Ireland,0
