Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Team,Home
CMW Read,4,0,4,7,83,5,21,1,4,9,0,England,1
R Clarke,20,4,16,21,83,5,21,1,4,7,0,England,1
Inzamam-ul-Haq,5,0,5,5,90,2,18,1,20,16,158,Pakistan,0
Mohammad Yousuf,37,8,29,63,90,2,18,1,0,7,158,Pakistan,0
JWM Dalrymple,11,4,7,23,122,4,22,0,0,9,0,England,1
PD Collingwood,21,12,9,23,122,4,22,0,4,5,0,England,1
Mohammad Yousuf,46,16,30,78,118,2,22,0,4,7,252,Pakistan,0
Younis Khan,73,44,29,87,118,2,22,0,10,11,252,Pakistan,0
Inzamam-ul-Haq,46,24,22,57,93,3,13,2,0,1,0,Pakistan,0
Abdul Razzaq,0,0,0,3,93,3,13,2,0,8,0,Pakistan,0
Kamran Akmal,0,0,0,0,93,3,13,2,0,4,0,Pakistan,0
IR Bell,51,32,19,59,113,1,29,1,0,13,219,England,1
KP Pietersen,0,0,0,1,113,1,29,1,0,4,219,England,1
Kamran Akmal,1,0,1,1,54,5,17,1,0,3,0,Pakistan,0
Younis Khan,17,4,13,43,54,5,17,1,4,5,0,Pakistan,0
Naved-ul-Hasan,0,0,0,0,54,5,17,1,0,4,0,Pakistan,0
MH Yardy,8,0,8,29,114,7,21,0,0,4,140,England,1
SI Mahmood,22,16,6,24,114,7,21,0,0,0,140,England,1
WU Tharanga,77,44,33,104,110,2,23,1,4,10,0,Sri Lanka,0
TM Dilshan,6,0,6,8,110,2,23,1,0,7,0,Sri Lanka,0
RP Arnold,0,0,0,0,110,2,23,1,0,2,0,Sri Lanka,0
JWM Dalrymple,27,8,19,40,99,4,24,0,4,6,226,England,1
ME Trescothick,67,30,37,95,99,4,24,0,0,0,226,England,1
GO Jones,0,0,0,0,99,4,24,0,0,5,226,England,1
ST Jayasuriya,86,52,34,98,128,1,39,0,4,7,0,Sri Lanka,0
DPMD Jayawardene,64,26,38,65,128,1,39,0,0,2,0,Sri Lanka,0
KC Sangakkara,0,0,0,0,128,1,39,0,0,3,0,Sri Lanka,0
KP Pietersen,71,42,29,73,131,3,32,0,0,2,262,England,1
PD Collingwood,25,4,21,30,131,3,32,0,0,11,262,England,1
JWM Dalrymple,0,0,0,0,131,3,32,0,0,5,262,England,1
PD Collingwood,20,8,12,25,101,3,19,0,4,9,0,England,1
IR Bell,26,0,26,62,101,3,19,0,0,3,0,England,1
JWM Dalrymple,0,0,0,0,101,3,19,0,0,3,0,England,1
KC Sangakkara,21,0,21,39,149,2,20,0,0,5,249,Sri Lanka,0
DPMD Jayawardene,84,52,32,91,149,2,20,0,12,7,249,Sri Lanka,0
TM Dilshan,0,0,0,4,144,2,15,1,4,3,0,Sri Lanka,0
DPMD Jayawardene,78,24,54,67,144,2,15,1,4,9,0,Sri Lanka,0
RP Arnold,0,0,0,0,144,2,15,1,0,7,0,Sri Lanka,0
VS Solanki,2,0,2,3,145,2,16,2,0,8,276,England,1
JWM Dalrymple,1,0,1,7,145,2,16,2,0,6,276,England,1
GO Jones,0,0,0,0,145,2,16,2,0,1,276,England,1
M Kaif,38,4,34,63,134,2,30,1,4,12,0,India,0
MS Dhoni,3,0,3,6,134,2,30,1,4,5,0,India,0
S Chanderpaul,1,0,1,10,105,3,14,1,12,6,232,West Indies,1
RR Sarwan,62,36,26,64,105,3,14,1,4,6,232,West Indies,1
Yuvraj Singh,47,20,27,73,87,3,20,0,0,5,0,India,0
M Kaif,27,12,15,40,87,3,20,0,0,6,0,India,0
MS Dhoni,0,0,0,0,87,3,20,0,0,3,0,India,0
DJ Bravo,15,4,11,23,87,3,24,0,0,14,205,West Indies,1
BC Lara,35,12,23,70,87,3,24,0,8,5,205,West Indies,1
BC Lara,15,4,11,35,95,2,14,0,0,8,0,West Indies,1
RR Sarwan,43,4,39,91,95,2,14,0,0,9,0,West Indies,1
DJ Bravo,0,0,0,0,95,2,14,0,0,5,0,West Indies,1
M Kaif,10,4,6,25,122,4,18,0,0,2,217,India,0
V Sehwag,72,38,34,87,122,4,18,0,4,12,217,India,0
SK Raina,0,0,0,0,122,4,18,0,0,2,217,India,0
MN Samuels,18,10,8,26,72,3,22,0,14,3,0,West Indies,1
BC Lara,6,4,2,25,72,3,22,0,10,8,0,West Indies,1
Shoaib Malik,5,4,1,4,79,3,23,1,4,10,184,Pakistan,0
Inzamam-ul-Haq,34,16,18,61,79,3,23,1,0,2,184,Pakistan,0
Kamran Akmal,0,0,0,0,79,3,23,1,0,0,184,Pakistan,0
